Gene,Locus,Molecule D23580,Start,End,Strand,Product,Input 1 (for Macrophage) read counts,Input 2 (for MAcropahge) read counts,Macrophage 1 (output) read counts,Macrophage 2 (output) read counts,Log2 fold-change output (MAcrophage) vs. input,p-value
STMMW_00291,STMMW_00291,D23580,32545,32994,-,putative membrane protein,29,18,12,6,-1.22948151903122,0.496258303144415
STMMW_00301,STMMW_00301,D23580,33364,34368,+,putative transcriptional regulator (LysR family),150,94,80,71,-0.486491958038103,0.509744141380549
STMMW_00311,STMMW_00311,D23580,34376,34816,-,putative transcriptional regulator,43,48,46,31,-0.167374720571612,0.944827142442206
STMMW_00331,STMMW_00331,D23580,35339,37057,+,possible sulfatase,6493,4116,4545,3518,-0.20630725399282,0.0349481363268702
STMMW_00341,STMMW_00341,D23580,37103,38674,-,putative secreted 5'-nucleotidase,3050,1758,2281,1720,-0.0597860438243675,0.797548121567575
STMMW_00351,STMMW_00351,D23580,38773,39534,-,putative exported protein,508,325,315,263,-0.330857133592945,0.348769865391852
STMMW_00361,STMMW_00361,D23580,40131,41624,+,putative secreted sulfatase,2645,1358,1921,1396,-0.0491444540666527,0.87165841331205
STMMW_00371,STMMW_00371,D23580,41723,42913,+,possible sulfatase regulatory protein,1725,908,1241,936,-0.0530115702056177,0.892010633340632
STMMW_00381,STMMW_00381,D23580,42932,44185,+,conserved hypothetical protein,3600,1923,2565,1852,-0.107989482871709,0.464715674453787
STMMW_00391,STMMW_00391,D23580,44312,46027,+,possible sulfatase,4593,2619,3268,2594,-0.0862888594515929,0.607654690640838
nhaA,STMMW_00401,D23580,46190,47356,+,Na( )/H( ) antiporter 1,716,323,419,281,-0.332965957125232,0.287051677338915
nhaR,STMMW_00411,D23580,47418,48317,+,transcriptional activator protein NhaR,1064,563,672,479,-0.284631123121909,0.188369188278045
STMMW_00421,STMMW_00421,D23580,48372,50411,-,putative glycosyl hydrolase,2065,1056,1481,1194,0.0114175495472186,0.986877397488556
STMMW_00431,STMMW_00431,D23580,50451,51824,-,putative transport protein,2641,1513,1800,1371,-0.182231094395287,0.194456522895326
rpsT,STMMW_00441,D23580,52280,52543,-,30S ribosomal protein S20,17,18,20,18,0.235686536817067,0.947451849495368
yaaY,STMMW_00451,D23580,52649,52864,+,conserved hypothetical protein,47,17,45,20,0.252606941358327,0.923083470217961
ribF,STMMW_00461,D23580,52872,53810,+,riboflavin biosynthesis protein RibF,2,5,2,0,-2.00958420589727,NA
ileS,STMMW_00471,D23580,53855,56689,+,isoleucyl-tRNA synthetase,17,45,37,30,0.0630517212571836,0.989090437738042
lspA,STMMW_00481,D23580,56689,57189,+,lipoprotein signal peptidase,23,22,24,18,0.0153114134886927,0.99720355301793
fkpB,STMMW_00491,D23580,57344,57793,+,probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase,443,212,280,209,-0.184956558498628,0.74921612581191
ispH,STMMW_00501,D23580,57796,58746,+,LytB protein,102,53,88,61,0.157783258667831,0.922338101173073
STMMW_00511,STMMW_00511,D23580,58946,60148,+,conserved hypothetical protein,2002,1172,1596,1117,-0.0314404462866748,0.937514454722637
rihC,STMMW_00521,D23580,60164,61084,+,putative nucleoside hydrolase (IUNH family),1520,1003,1214,799,-0.159890223262397,0.520139576736303
citB2,STMMW_00531,D23580,61106,61792,-,transcriptional regulatory protein citb,1887,1110,1399,958,-0.15471625886568,0.414293884102572
citA2,STMMW_00541,D23580,61794,63413,-,sensor kinase cita,7675,4379,5802,4411,-0.0310611721246953,0.874976834299023
STMMW_00551,STMMW_00551,D23580,63548,64849,-,oxaloacetate decarboxylase beta chain (ec 4.1.1.3),2832,1557,2365,1721,0.106873707553026,0.516953825602105
STMMW_00561,STMMW_00561,D23580,64862,66637,-,oxaloacetate decarboxylase alpha chain,3358,1867,2731,1964,0.0525878323458372,0.812899031596544
oadG,STMMW_00571,D23580,66654,66893,-,oxaloacetate decarboxylase gamma chain 1,382,192,285,217,0.0366773209917077,0.976320209100393
STMMW_00581,STMMW_00581,D23580,67052,68392,-,citrate-sodium symporter,2435,1431,1880,1424,-0.0243373078483649,0.9507646572299
citC2,STMMW_00591,D23580,68637,69680,+,[citrate (PRO-3S)-lyase] ligase,1105,644,915,585,-0.0349489115642891,0.9507646572299
citD2,STMMW_00601,D23580,69710,70003,+,citrate lyase acyl carrier protein,254,141,253,206,0.436679049985369,0.294257554429308
citE2,STMMW_00611,D23580,70000,70869,+,citrate lyase beta chain,1544,788,1128,827,-0.0305471545323218,0.9507646572299
citF2,STMMW_00621,D23580,70880,72400,+,citrate lyase alpha chain,2111,1098,1531,1145,-0.0393972966149871,0.918592297411099
citX2,STMMW_00631,D23580,72400,72951,+,citx protein,1010,561,803,635,0.089178948974822,0.829384160893087
citG2,STMMW_00641,D23580,72929,73837,+,citg protein,1104,538,904,498,-0.0249449172108688,0.977313514992845
dapB,STMMW_00651,D23580,74017,74838,+,dihydrodipicolinate reductase,17,12,13,8,-0.316280572070584,0.937879524585791
STMMW_00661,STMMW_00661,D23580,75088,75436,+,putative viral protein (pseudogene),175,113,173,109,0.137066635229798,0.905461211887436
carA,STMMW_00681,D23580,75881,77029,+,carbamoyl-phosphate synthase small chain,530,263,68,21,-2.98382004594332,1.68E-18
carB,STMMW_00691,D23580,77048,80275,+,carbamoyl-phosphate synthase large chain,2201,1258,314,232,-2.46010246306209,4.81E-80
caiF,STMMW_00701,D23580,80549,80944,+,transcriptional activator CaiF,1426,878,1122,840,-0.0391170082780469,0.933266786932614
caiE,STMMW_00711,D23580,81021,81617,-,carnitine operon protein CaiE,977,512,781,552,0.0557163962511143,0.916795605312359
caiD,STMMW_00721,D23580,81726,82511,-,carnitine racemase,1422,800,1051,915,0.0484259163807163,0.922668727185208
caiC,STMMW_00731,D23580,82565,84118,-,probable crotonobetaine/carnitine-CoA ligase,3082,1748,2273,1794,-0.0350406621667024,0.916294586175967
caiB,STMMW_00741,D23580,84181,85398,-,L-carnitine dehydratase,2308,1178,1832,1245,0.0361255010309684,0.923494595869386
caiA,STMMW_00751,D23580,85510,86652,-,probable carnitine operon oxidoreductase CaiA,1845,971,1445,1048,0.0415748377547695,0.916795605312359
caiT,STMMW_00761,D23580,86687,88204,-,probable carnitine transporter,3076,1760,2541,1761,0.0292033005121992,0.924479175495423
fixA,STMMW_00771,D23580,88685,89455,+,FixA protein,1222,620,873,702,0.00866938038140079,0.990976228648781
fixB,STMMW_00781,D23580,89471,90412,+,FixB protein,1357,708,1065,780,0.0572839701563226,0.892797717153349
fixC,STMMW_00791,D23580,90462,91748,+,FixC protein,1549,845,1330,799,0.0224763661767162,0.972552381087426
fixX,STMMW_00801,D23580,91745,92032,+,ferredoxin like protein FixX,222,130,156,123,-0.128378990414587,0.906311874432108
yaaU,STMMW_00811,D23580,92095,93519,+,putative metabolite transport protein,1851,972,1504,948,0.00024706763559011,0.999604006776961
STMMW_00821,STMMW_00821,D23580,93575,93838,+,putative lipoprotein,456,276,347,316,0.0734503427819269,0.92689735262143
STMMW_00841,STMMW_00841,D23580,94132,94548,+,probable secreted protein,1258,748,921,634,-0.176882018851637,0.459372126898707
STMMW_00851,STMMW_00851,D23580,94772,95062,-,probable secreted protein,584,340,492,392,0.145514599453219,0.749904229896649
STMMW_00861,STMMW_00861,D23580,95132,95224,-,,223,187,156,140,-0.316969454197772,0.646955481944113
STMMW_00871,STMMW_00871,D23580,95272,95466,+,putative inner membrane protein,251,208,171,128,-0.481956639495115,0.32590209809935
STMMW_00881,STMMW_00881,D23580,95960,97849,+,putative sulfatase,4762,2671,3037,2267,-0.277803731576044,0.000666147325974849
STMMW_00891,STMMW_00891,D23580,98054,98119,-,,88,60,70,49,-0.146621122112181,0.933266786932614
yabF,STMMW_00901,D23580,98256,98786,+,putative NAD(P)H oxidoreductase,631,297,472,325,0.0117936345036396,0.990976228648781
kefC,STMMW_00911,D23580,98779,100641,+,glutathione-regulated potassium-efflux system protein KefC,1384,663,1033,767,0.0508638896746822,0.916795605312359
folA,STMMW_00921,D23580,100840,101319,+,dihydrofolate reductase type I,334,162,286,160,0.0520805414829826,0.968782782903426
apaH,STMMW_00931,D23580,101425,102273,-,bis(5'-nucleosyl)-tetraphosphatase,274,139,18,9,-3.72905564395599,9.04E-16
apaG,STMMW_00941,D23580,102284,102661,-,CorD protein,773,473,538,393,-0.229145697548405,0.442765837832609
ksgA,STMMW_00951,D23580,102664,103485,-,dimethyladenosine transferase,446,225,125,83,-1.47224471264825,0.000000144
pdxAa,STMMW_00961,D23580,103482,104471,-,pyridoxal phosphate biosynthetic protein PdxA,1183,586,895,597,-0.026195844269642,0.971189843271751
surA,STMMW_00971,D23580,104471,105757,-,survival protein SurA precursor,1294,699,495,358,-1.01183045122134,9.25E-12
imp,STMMW_00981,D23580,105811,108171,-,organic solvent tolerance protein precursor,47,23,21,9,-1.03809079017939,0.479606882448802
djlA,STMMW_00991,D23580,108425,109237,+,DNAj-like protein,1628,846,1206,786,-0.103745252509196,0.722907250224669
rluA,STMMW_01001,D23580,109332,109991,-,ribosomal large subunit pseudouridine synthase A,931,538,761,494,-0.0373760778886667,0.9507646572299
hepA,STMMW_01011,D23580,110003,112909,-,probable ATP-dependent helicase HepA,3116,1570,2818,1786,0.185779242144937,0.177358282618026
polB,STMMW_01021,D23580,113083,115434,-,DNA polymerase II,3002,1497,2353,1645,0.0529919100813435,0.845806103187903
STMMW_01031,STMMW_01031,D23580,115478,116098,-,probable secreted protein,2708,1363,1842,1359,-0.11957876388478,0.52502747660674
STMMW_01041,STMMW_01041,D23580,116193,116252,-,,126,94,54,54,-0.842534996423899,0.19363126674338
STMMW_01051,STMMW_01051,D23580,116300,116602,+,putative inner membrane protein,601,480,490,316,-0.296800354681112,0.415981991808538
STMMW_01061,STMMW_01061,D23580,116817,117236,+,hypothetical protein,531,334,289,241,-0.50770758919752,0.0693830527412637
araD,STMMW_01071,D23580,117242,117937,-,L-ribulose-5-phosphate 4-epimerase,902,468,776,475,0.0715259021908148,0.894835492713994
araA,STMMW_01081,D23580,118078,119580,-,L-arabinose isomerase,2176,1085,1673,1163,0.0211713979503102,0.967827442341596
araB,STMMW_01091,D23580,119591,121300,-,L-ribulokinase,3068,1532,2386,1644,0.0307512201323432,0.92689735262143
araC,STMMW_01101,D23580,121641,122486,+,arabinose operon regulatory protein,1305,686,1010,724,0.0169281805826928,0.979418192004189
yabI,STMMW_01111,D23580,122605,123372,+,DedA family integral membrane protein,1388,680,1029,686,-0.0485730041703351,0.922338101173073
thiQ,STMMW_01121,D23580,123411,124118,-,hypothetical ABC transporter,1165,620,1014,565,0.0114114764459545,0.989090437738042
thiP,STMMW_01131,D23580,124102,125712,-,putative ABC transporter integral membrane protein,2839,1359,2187,1542,0.0607639267063091,0.83493803755904
tbpA,STMMW_01141,D23580,125688,126671,-,thiamine-binding periplasmic protein precursor,1378,730,985,751,-0.0588119691578981,0.892010633340632
yabN,STMMW_01151,D23580,126849,128507,-,putative ABC transporter periplasmic solute binding protein,2522,1284,2082,1663,0.210572247309506,0.137268388670377
sgrT,STMMW_01152,D23580,128600,128722,+,hypothetical protein,0,0,0,0,NA,NA
leuD,STMMW_01161,D23580,129058,129663,-,3-isopropylmalate dehydratase small subunit,933,490,483,382,-0.491810146077182,0.0124805686892725
leuC,STMMW_01171,D23580,129674,131074,-,3-isopropylmalate dehydratase large subunit,2280,1188,1107,756,-0.682954999651017,0.00000000121
leuB,STMMW_01181,D23580,131077,132168,-,3-IPM-DH,1975,971,979,709,-0.573740630159544,0.00000784
leuA,STMMW_01191,D23580,132168,133739,-,2-isopropylmalate synthase,2428,1369,1261,1082,-0.473897715642318,0.00014448047284425
leuL,STMMW_01201,D23580,133827,133913,-,leu operon leader peptide,1013,606,740,550,-0.130555745248255,0.701284701713483
leuO,STMMW_01211,D23580,134570,135514,+,probable activator protein in leuABCD operon,2971,1763,2106,1419,-0.237073377923109,0.0403071825910586
ilvI,STMMW_01221,D23580,135899,137560,+,acetolactate synthase isozyme III large subunit,2618,1667,2287,1706,0.0839601765501607,0.72328759361246
ilvH,STMMW_01231,D23580,137563,138054,+,acetolactate synthase isozyme III small subunit,533,282,356,289,-0.109718146340163,0.863781128460271
fruR,STMMW_01241,D23580,138338,139342,+,fructose repressor,408,208,114,79,-1.45507885364549,0.000000617
mraZ,STMMW_01251,D23580,139948,140406,+,Protein mraZ,344,210,322,264,0.285245628833548,0.515446288473768
mraW,STMMW_01261,D23580,140408,141349,+,S-adenosyl-methyltransferase,346,143,205,100,-0.459571027259341,0.386448119043259
ftsL,STMMW_01271,D23580,141346,141711,+,cell division protein FtsL,29,20,6,27,-0.241653180595745,0.9507646572299
ftsI,STMMW_01281,D23580,141727,143493,+,penicillin-binding protein 3 precursor,32,14,41,22,0.66967653640812,0.696234567964798
murE,STMMW_01291,D23580,143480,144967,+,Meso-diaminopimelate-adding enzyme,2,1,3,1,0.567631533904414,NA
murF,STMMW_01301,D23580,144964,146322,+,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase",19,12,25,5,0.0269149801679792,0.99711030668065
mraY,STMMW_01311,D23580,146316,147398,+,UDP-MurNAc-pentapeptide phosphotransferase,30,11,19,20,0.241789692543082,0.943927862754224
murD,STMMW_01321,D23580,147401,148717,+,D-glutamic acid adding enzyme,29,11,15,5,-0.793955700887935,0.759809794520044
ftsW,STMMW_01331,D23580,148804,149961,+,cell division protein FtsW,2,0,4,3,2.24194251249668,NA
murG,STMMW_01341,D23580,149958,151025,+,UDP-N-acetylglucosamine--N-acetylmuramyl-,26,14,13,4,-1.09238370265143,0.629537466548946
murC,STMMW_01351,D23580,151144,152619,+,UDP-N-acetylmuramate--L-alanine ligase,52,30,67,23,0.263548483773866,0.906311874432108
ddl,STMMW_01361,D23580,152612,153532,+,D-alanine--D-alanine ligase,685,407,562,345,-0.0886612249002933,0.879379285858639
ftsQ,STMMW_01371,D23580,153534,154364,+,cell division protein FtsQ,156,69,82,79,-0.206738348551956,0.872463570718858
ftsA,STMMW_01381,D23580,154361,155623,+,cell division protein FtsA,9,30,11,6,-1.32052875292991,0.536426469196781
ftsZ,STMMW_01391,D23580,155684,156835,+,cell division protein FtsZ,8,3,5,1,-0.701155438201482,NA
lpxC,STMMW_01401,D23580,156936,157853,+,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,135,120,78,52,-0.860479022584899,0.140856289416561
yacA,STMMW_01411,D23580,158201,158629,+,conserved hypothetical protein,119,63,107,50,-0.0399245655001984,0.987115577966194
secA,STMMW_01421,D23580,158691,161396,+,preprotein translocase SecA subunit,441,336,312,278,-0.226826830719004,0.665115095298948
mutT,STMMW_01431,D23580,161548,161943,+,"7,8-dihydro-8-oxoguanine-triphosphatase",744,405,562,426,-0.00192757538931104,0.997995876868187
yacG,STMMW_01441,D23580,162265,162456,-,conserved hypothetical protein,166,71,95,72,-0.247772044871131,0.822812158013406
yacF,STMMW_01451,D23580,162466,163209,-,conserved hypothetical protein,1764,1117,1464,1186,0.0750863599677905,0.825154917448463
coaE,STMMW_01461,D23580,163209,163829,-,dephospho-CoA kinase,58,38,81,38,0.445754953320016,0.733661849001446
guaC,STMMW_01471,D23580,164055,165098,+,GMP reductase,3546,1897,2921,2148,0.113306164255838,0.411579861014053
pilC,STMMW_01481,D23580,165129,166331,-,protein transport protein HofC,4136,2210,3448,2240,0.0454923440592921,0.848798501121172
pilB,STMMW_01491,D23580,166321,167706,-,protein transport protein HofB,5797,3418,4818,3525,0.0545539424970193,0.743278585833312
pilA,STMMW_01501,D23580,167716,168153,-,prepilin peptidase dependent protein D precursor,2006,1032,1616,1307,0.177514667900206,0.323898338023305
nadC,STMMW_01511,D23580,168375,169121,-,nicotinate-nucleotide pyrophosphorylase,2484,1396,2002,1362,-0.0065368950168885,0.989355401092487
ampD,STMMW_01521,D23580,169356,169919,+,AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase),2231,1154,1812,1225,0.0567537952249568,0.855168456080368
ampE,STMMW_01531,D23580,169916,170770,+,AmpE protein,3966,2208,3440,2422,0.129668376497257,0.254564475510046
STMMW_01541,STMMW_01541,D23580,170862,171812,-,putatuve glycosysl hydrolase,2912,1490,2255,1560,0.0111389835243948,0.981992258371418
STMMW_01551,STMMW_01551,D23580,171812,173218,-,putative symporter,4982,2827,3955,2726,-0.0262438059161536,0.917853464748989
aroP,STMMW_01561,D23580,173382,174755,-,aromatic amino acid transport protein AroP,4026,2168,2842,2479,0.0151619475630914,0.976320209100393
pdhR,STMMW_01571,D23580,175318,176082,+,pyruvate dehydrogenase complex repressor,990,644,824,588,-0.0329255948374958,0.960306932520787
aceE,STMMW_01581,D23580,176242,178905,+,pyruvate dehydrogenase E1 component,70,62,43,22,-0.9336229761103,0.30494402641019
aceF,STMMW_01591,D23580,178920,180809,+,dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase,30,21,15,8,-1.01105861694348,0.579306512699688
lpdA,STMMW_01601,D23580,181009,182433,+,dihydrolipoamide dehydrogenase,15,11,6,5,-1.07167418691178,0.721271662005839
STMMW_01611,STMMW_01611,D23580,182722,183006,+,probable secreted protein,384,199,314,236,0.139361605522161,0.832416332087649
STMMW_01621,STMMW_01621,D23580,183044,183835,-,probable secreted protein,1347,767,1193,687,0.0102110980749863,0.989090437738042
yacH,STMMW_01631,D23580,183848,185462,-,putative exported protein (pseudogene),4415,2331,3575,2537,0.0723039355068863,0.649603722301288
acnB,STMMW_01641,D23580,185851,188448,+,aconitate hydratase 2 (citrate hydro-lyase 2),1546,801,367,224,-1.78373631796903,1.67E-31
STMMW_01651,STMMW_01651,D23580,188509,189351,-,HNH endonuclease,125,96,87,83,-0.201696016283781,0.874976834299023
yacL,STMMW_01661,D23580,189597,189959,+,conserved hypothetical protein,865,444,624,463,-0.0441726876994199,0.944827142442206
kdgT,STMMW_01671,D23580,190194,191147,+,2-keto-3-deoxygluconate permease,1218,749,983,722,-0.0151579151866588,0.984961656657202
STMMW_01681,STMMW_01681,D23580,191144,192415,+,conserved hypothetical protein,2998,1542,2371,1690,0.0588683584497728,0.808170496028589
pdxAb,STMMW_01691,D23580,192405,193388,+,4-hydroxythreonine-4-phosphate dehydrogenase,1985,1009,621,396,-1.3454341406604,5.2E-25
STMMW_01701,STMMW_01701,D23580,193398,194165,+,putative transcriptional regulator,2124,1123,1317,881,-0.354270308228478,0.00493902384754316
speD,STMMW_01711,D23580,194195,194989,-,,1918,1066,1267,988,-0.188973161839909,0.28393844149606
speE,STMMW_01721,D23580,195010,195870,-,Putrescine aminopropyltransferase,3071,1678,2054,1407,-0.251350023753174,0.0191819025154053
yacC,STMMW_01731,D23580,195977,196324,-,putative exported protein,938,437,622,451,-0.119005023356289,0.780088424184925
cueO,STMMW_01741,D23580,196526,198136,+,possible multicopper oxidase precursor,6702,3630,5508,3915,0.0774959972010014,0.487295299694583
gcd,STMMW_01751,D23580,198214,200604,-,glucose dehydrogenase,7887,4227,6198,4281,0.000132629508926438,0.999604006776961
hpt,STMMW_01761,D23580,200810,201346,+,hypoxanthine phosphoribosyltransferase,1012,511,691,355,-0.351798265191271,0.191271776813355
yadF,STMMW_01771,D23580,201404,202066,-,carbonic anhydrase,28,12,21,16,0.143654324247834,0.975092007351351
yadG,STMMW_01781,D23580,202175,203101,+,hypothetical ABC transporter ATP-binding protein,1914,1056,1665,944,-0.00376466153422196,0.996583006186558
yadH,STMMW_01791,D23580,203098,203868,+,ABC transporter integral membrane protein,1961,1051,1519,1090,0.00585939556832641,0.992449726691493
stiH,STMMW_01801,D23580,203985,205064,-,putative fimbriae,3986,2096,3023,2297,0.0295425879759211,0.921303115189954
stiC,STMMW_01811,D23580,205073,207619,-,putativie fimbrial usher. putativie fimbrial usher,7654,3875,5929,4287,0.0502626267202836,0.75452505323042
stiB,STMMW_01821,D23580,207646,208329,-,putative fimbrial chaperone,2024,1121,1692,1172,0.0687303730132435,0.799732793944845
stiA,STMMW_01831,D23580,208377,208916,-,putative fimbrial subunit,2423,1608,1979,1483,-0.0414869212599844,0.916795605312359
yadI,STMMW_01841,D23580,209286,209726,+,putative PTS system IIA component,1843,1041,1537,960,-0.0183139510648112,0.975713670315127
yadE,STMMW_01851,D23580,209788,211017,+,putative exported protein,2835,1519,2268,1695,0.0816356599429017,0.688307372715441
panD,STMMW_01861,D23580,211024,211404,-,Aspartate alpha-decarboxylase,797,362,602,383,-0.00487981004017099,0.997094662197452
panC,STMMW_01871,D23580,211499,212353,-,Pantoate activating enzyme,1525,764,1222,761,0.00357083332169867,0.997094662197452
panB,STMMW_01881,D23580,212479,213270,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,1622,845,1252,864,-0.00732468406914357,0.990976228648781
folK,STMMW_01891,D23580,213391,213870,-,2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase,232,135,54,64,-1.39301286490778,0.00107341910579338
pcnB,STMMW_01901,D23580,213867,215285,-,poly(A) polymerase,1852,948,905,581,-0.703216414511717,0.0000000658
yadB,STMMW_01911,D23580,215426,216367,-,glutamyl-tRNA synthetase-related protein,1708,939,1267,923,-0.063275617842979,0.852698952656079
dksA,STMMW_01921,D23580,216391,216846,-,dosage-dependent dnaK suppressor protein,580,306,25,10,-4.4665240519946,2.38E-36
sfsA,STMMW_01931,D23580,217023,217727,-,Sugar fermentation stimulation protein homolog,1496,808,1034,705,-0.199212412342623,0.314714026285304
ligT,STMMW_01941,D23580,217744,218274,-,2'-5' RNA ligase,901,496,776,465,0.0192668941224885,0.981992258371418
hrpB,STMMW_01951,D23580,218302,220776,+,ATP-dependent helicase HrpB,4718,2438,4040,2761,0.141236056255656,0.19113646012199
mrcB,STMMW_01961,D23580,220917,223439,+,penicillin-binding protein 1B,4791,2406,4089,2843,0.1675161892493,0.1026137131573
fhuA,STMMW_01971,D23580,223732,225921,+,ferrichrome-iron receptor,3760,2078,2924,2095,-0.0105056299100526,0.979418192004189
fhuC,STMMW_01981,D23580,225970,226767,+,ferrichrome transport ATP-binding protein FhuC,732,463,707,491,0.184230304327613,0.573482208859023
fhuD,STMMW_01991,D23580,226767,227657,+,ferrichrome-binding periplasmic protein precursor,864,418,637,580,0.181883304127543,0.628291155351215
fhuB,STMMW_02001,D23580,227654,229711,+,ferrichrome transport protein FhuB precursor,1638,851,1228,915,0.00644694159878166,0.992449726691493
stfA,STMMW_02011,D23580,230650,231210,+,major fimbrial subunit stfa (putative fimbrial subunit),1758,1162,1285,1000,-0.170864587743421,0.437740818263715
stfC,STMMW_02021,D23580,231296,233953,+,outer membrane usher protein stfc (putative fimbrial outer membrane usher),7287,4082,5722,4295,0.027406698831456,0.894261072254765
stfD,STMMW_02031,D23580,233971,234723,+,periplasmic fimbrial chaperone stfd,2146,1183,1723,1251,0.0466751550737456,0.888596410725448
stfE,STMMW_02041,D23580,234787,235254,+,minor fimbrial subunit stfe (putaive minor fimbrial subunit),1507,775,1331,878,0.164734448458638,0.443402978621456
stfF,STMMW_02051,D23580,235251,235727,+,minor fimbrial subunit stff,1101,584,842,662,0.0603170712400845,0.903485879758008
stfG,STMMW_02061,D23580,235727,236257,+,putative minor fimbrial subunit,1719,883,1244,963,-0.00907620161170534,0.989090437738042
STMMW_02071,STMMW_02071,D23580,236257,237096,+,putative exported protein,3248,1763,2677,1845,0.0586326088037351,0.783224952812228
hemL,STMMW_02081,D23580,237203,238483,-,GSA,35,24,26,8,-0.701370058680535,0.729577431539729
clcA,STMMW_02091,D23580,238653,240074,+,H /Cl-exchange transporter clcA,2931,1659,2298,1382,-0.13402635931826,0.469757281454427
yadR,STMMW_02101,D23580,240111,240500,+,conserved hypothetical protein,37,22,23,9,-0.742500073174848,0.699882269382917
yadS,STMMW_02111,D23580,240601,241224,-,putative membrane protein,1618,885,1337,917,0.0537797306195809,0.888214798045612
btuF,STMMW_02121,D23580,241261,242061,-,Vitamin B12 transport protein btuF precursor,1347,676,1037,682,-0.0191232269009014,0.978580925806134
