"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore","DE_rec"
"SL1344_0019","SL1344_0019","chitinase","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.137524350400623,1.14506154064493,0.877721692675521,"FDR>=0.05"
"SL1344_0020","SL1344_0020","Winged helix-turn-helix DNA binding","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-spleen",0.610386851563685,-0.500746102449699,-0.3838358909472,"FDR>=0.05"
"SL1344_0021","bcfA","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.290282483391714,-0.88491184872644,-0.67830967870542,"FDR>=0.05"
"SL1344_0022","bcfB","Pili assembly chaperone PapD, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.926559391674238,-0.124581845179637,-0.0954954682751137,"FDR>=0.05"
"SL1344_0023","bcfC","PapC C-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.220720930888664,1.07398480152119,0.823239384468394,"FDR>=0.05"
"SL1344_0024","bcfD","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.514221451332381,0.643879731165166,0.493551820105182,"FDR>=0.05"
"SL1344_0026","bcfF","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.961785572332725,0.404862189729837,0.310338190443323,"FDR>=0.05"
"SL1344_0027","bcfG","Pili assembly chaperone PapD, C-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.988369206293153,-0.243823842203207,-0.186897793609165,"FDR>=0.05"
"SL1344_0029","SL1344_0029","-","Chromosome","-","no category","no theme","Phox-spleen",0.572588286550515,-0.661405338260424,-0.506985688049216,"FDR>=0.05"
"SL1344_0030","SL1344_0030","Transcriptional regulatory protein, C terminal","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",8.04e-35,7.56290282400091,5.79717651200108,"Amplified"
"SL1344_0031","SL1344_0031","Bacterial regulatory helix-turn-helix protein, lysR family","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.159980758309811,-1.17997481138053,-0.904483691047792,"FDR>=0.05"
"SL1344_0032","SL1344_0032","Transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.203874434832333,0.99717309348901,0.764361062213914,"FDR>=0.05"
"SL1344_0033","SL1344_0033","Arylsulfotransferase Ig-like domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.252482260633906,0.967434022454219,0.741565232609374,"FDR>=0.05"
"SL1344_0034","SL1344_0034","Belongs to the 5'-nucleotidase family","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.66063526393479,0.497489488987049,0.381339605656527,"FDR>=0.05"
"SL1344_0035","SL1344_0035","Nucleoside-specific channel-forming protein, Tsx","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.284442206341908,0.902451504299144,0.691754315200284,"FDR>=0.05"
"SL1344_0036","SL1344_0036","Type I phosphodiesterase / nucleotide pyrophosphatase","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.999304589921669,-0.00393205388022089,-0.00301402925950599,"FDR>=0.05"
"SL1344_0037","SL1344_0037","Iron-sulfur cluster-binding domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.863994900100787,0.707759990020357,0.542517824936109,"FDR>=0.05"
"SL1344_0038","SL1344_0038","Transposase","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-spleen",0.29569033260236,-0.932439762792649,-0.714741153960483,"FDR>=0.05"
"SL1344_0039","SL1344_0039","Arylsulfotransferase Ig-like domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.018029592795077,1.60861297045947,1.23304682689478,"Amplified"
"SL1344_0040","nhaA",") H( ) antiporter that extrudes sodium in exchange for external protons","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.935137128960497,0.562525599710444,0.431191603267956,"FDR>=0.05"
"SL1344_0042","SL1344_0042","Glycosyl hydrolases family 31","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.561336934684726,0.911539281009464,0.698720350189413,"FDR>=0.05"
"SL1344_0043","SL1344_0043","MFS/sugar transport protein","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.700534985949169,0.509844825024965,0.390810316247913,"FDR>=0.05"
"SL1344_0049","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.929173962911884,-0.126496755029482,-0.0969633002256832,"FDR>=0.05"
"SL1344_0051","SL1344_0051","-","Chromosome","-","no category","no theme","Phox-spleen",0.296060097812621,0.914333346052548,0.700862079181272,"FDR>=0.05"
"SL1344_0052","rihC","Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.719882381320033,0.42901801367684,0.328854305018958,"FDR>=0.05"
"SL1344_0054","citA2","Single cache domain 3","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-spleen",0.524459860644199,-0.653265845860254,-0.500746539502691,"FDR>=0.05"
"SL1344_0055","SL1344_0055","Catalyzes the formation of pyruvate from oxaloacetate","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.525947642162961,-0.619408317988476,-0.474793797559504,"FDR>=0.05"
"SL1344_0058","SL1344_0058","Uptake of citrate across the boundary membrane with the concomitant uptake of a sodium ion (symport system)","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.894441390976599,-0.179881562267392,-0.137884247885513,"FDR>=0.05"
"SL1344_0059","citC2","Acetylation of prosthetic group (2-(5''-phosphoribosyl)- 3'-dephosphocoenzyme-A) of the gamma subunit of citrate lyase","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.498093282091946,-0.720443399340972,-0.552240012873289,"FDR>=0.05"
"SL1344_0061","citE2","C-C_Bond_Lyase of the TIM-Barrel fold","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.884380058163345,0.681723087524437,0.522559811048162,"FDR>=0.05"
"SL1344_0062","citF2","Citrate lyase, alpha subunit (CitF)","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.74504056905346,-0.832222073046418,-0.637921492171345,"FDR>=0.05"
"SL1344_0064","citG2","ATP:dephospho-CoA triphosphoribosyl transferase","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.993028307167897,-0.149500674522954,-0.114596447824553,"FDR>=0.05"
"SL1344_0066A","SL1344_0066A","hypothetical viral protein (pseudogene)","Chromosome",NA,"no category","no theme","Phox-spleen",0.995125012877387,0.0662882031750797,0.0508117614905482,"FDR>=0.05"
"SL1344_0067","carA","Carbamoyl-phosphate synthase small chain, CPSase domain","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.0789856664726833,1.26263440262692,0.967844579322657,"FDR>=0.05"
"SL1344_0068","carB","Carbamoyl-phosphate synthetase large chain, oligomerisation domain","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.5226832752587,-0.665845571496333,-0.510389250996148,"FDR>=0.05"
"SL1344_0071","caiD","Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.433576447705495,0.799263591152095,0.612657894111797,"FDR>=0.05"
"SL1344_0072","caiC","Could catalyze the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle","Chromosome","IQ","Lipid transport and metabolism;Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-spleen",0.497068187514352,0.667435748829061,0.511608166391167,"FDR>=0.05"
"SL1344_0073","caiB","Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl- CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl- CoA or L-carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.205265220202391,1.10761200573761,0.849015576888722,"FDR>=0.05"
"SL1344_0075","caiT","Catalyzes the exchange of L-carnitine for gamma- butyrobetaine and related betaines","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.98048630995855,0.318467804748942,0.244114478327044,"FDR>=0.05"
"SL1344_0076","fixA","Required for anaerobic carnitine reduction. May bring reductant to CaiA","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.999304589921669,0.00651101214045056,0.00499087288682176,"FDR>=0.05"
"SL1344_0077","fixB","Required for anaerobic carnitine reduction. May bring reductant to CaiA","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.802277377943199,0.326357222472718,0.250161937640748,"FDR>=0.05"
"SL1344_0078","fixC","part of an electron transfer system required for anaerobic carnitine reduction","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.991437571817461,0.150441232141907,0.115317411542277,"FDR>=0.05"
"SL1344_0079","fixX","Could be a 3Fe-4S cluster-containing protein","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.539398276629973,-0.658984547526,-0.505130084253602,"FDR>=0.05"
"SL1344_0080","yaaU","Sugar (and other) transporter","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.995125012877387,0.0988528788734595,0.0757734960880728,"FDR>=0.05"
"SL1344_0082","SL1344_0082","-","Chromosome","-","no category","no theme","Phox-spleen",0.786617485852821,-0.341250540556984,-0.261578082445606,"FDR>=0.05"
"SL1344_0083","SL1344_0083","Protein of unknown function (DUF1471)","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.541984352155569,0.693771567960871,0.531795308239761,"FDR>=0.05"
"SL1344_0083A","SL1344_0083A","hypothetical membrane protein (pseudogene)","Chromosome",NA,"no category","no theme","Phox-spleen",0.108129351987132,1.3791056387242,1.05712303892207,"FDR>=0.05"
"SL1344_0084","SL1344_0084","Sulfatase","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.407871297226608,0.772562613885315,0.592190848341061,"FDR>=0.05"
"SL1344_0087","kefC","Pore-forming subunit of a potassium efflux system that confers protection against electrophiles. Catalyzes K( ) H( ) antiport","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.275912694490291,0.95392832544975,0.731212738167155,"FDR>=0.05"
"SL1344_0089","apaH","Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-spleen",7.9e-10,-4.98291111973229,-3.81954072092908,"Attenuated"
"SL1344_0090","apaG","ApaG domain","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.988369206293153,0.195530684726303,0.149879737879688,"FDR>=0.05"
"SL1344_0092","pdxAa","Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP)","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.642262425158506,0.506672206545104,0.388378415460477,"FDR>=0.05"
"SL1344_0093","surA","Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",6.32e-07,-3.41495228836191,-2.61765642854353,"Attenuated"
"SL1344_0095","djlA","Regulatory DnaK co-chaperone. Direct interaction between DnaK and DjlA is needed for the induction of the wcaABCDE operon, involved in the synthesis of a colanic acid polysaccharide capsule, possibly through activation of the RcsB RcsC phosphotransfer signaling pathway. The colanic acid capsule may help the bacterium survive conditions outside the host","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-spleen",0.987001138894578,-0.27644133400401,-0.211900013226205,"FDR>=0.05"
"SL1344_0097","hepA","Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.611566709556234,0.539549203719849,0.413579553203739,"FDR>=0.05"
"SL1344_0098","polB","DNA polymerase type-B family","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-spleen",0.778201475475823,0.351777859178602,0.269647566566693,"FDR>=0.05"
"SL1344_0099","SL1344_0099","DUF218 domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.37883667659321,0.854956657218345,0.65534818671426,"FDR>=0.05"
"SL1344_0101","araD","Class II Aldolase and Adducin N-terminal domain","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.625711569675721,-0.516434189612742,-0.395861248476745,"FDR>=0.05"
"SL1344_0102","araA","Catalyzes the conversion of L-arabinose to L-ribulose","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.925380796243146,0.136033585857967,0.104273547754234,"FDR>=0.05"
"SL1344_0103","araB","FGGY family of carbohydrate kinases, C-terminal domain","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.988369206293153,0.251543057716235,0.192814788168606,"FDR>=0.05"
"SL1344_0104","araC","AraC-like ligand binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.960906097861678,0.468556735273922,0.359161840827794,"FDR>=0.05"
"SL1344_0105","yabI","SNARE associated Golgi protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.993614942857309,-0.140394141488814,-0.107616035588693,"FDR>=0.05"
"SL1344_0106","thiQ","Part of the ABC transporter complex ThiBPQ involved in thiamine import. Responsible for energy coupling to the transport system","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.863789085154203,-0.252258953503002,-0.193363542309267,"FDR>=0.05"
"SL1344_0108","tbpA","Bacterial extracellular solute-binding protein","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.862611579622889,0.652698729818765,0.500311829197427,"FDR>=0.05"
"SL1344_0109","yabN","Activates the small RNA gene sgrS under glucose- phosphate stress conditions as well as yfdZ. Represses its own transcription under both stress and non-stress conditions. Might act as a sensor of the intracellular accumulation of phosphoglucose by binding these molecules in its C-terminal solute-binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.729236964728518,-0.888577312052447,-0.681119358849887,"FDR>=0.05"
"SL1344_0110","leuD","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.974165979876778,0.393925175251176,0.301954662990623,"FDR>=0.05"
"SL1344_0111","leuC","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.988369206293153,-0.182630701149794,-0.139991539718843,"FDR>=0.05"
"SL1344_0112","leuB","Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate","Chromosome","CE","Energy production and conversion;Amino acid transport and metabolism","Metabolism","Phox-spleen",0.704807124004958,-0.419904100711642,-0.321868235859561,"FDR>=0.05"
"SL1344_0113","leuA","Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.955182507265558,0.0856612337731287,0.0656617312128716,"FDR>=0.05"
"SL1344_0115","leuO","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.0180555424456971,1.52773059342148,1.17104822301065,"Amplified"
"SL1344_0116","ilvI","Thiamine pyrophosphate enzyme, central domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.960906097861678,0.412512076381211,0.316202042491517,"FDR>=0.05"
"SL1344_0118","fruR","Bacterial regulatory proteins, lacI family","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",7.74e-10,-3.92686762895357,-3.01005385287551,"Attenuated"
"SL1344_0136","secA","Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",1.97e-20,-6.85596492893463,-5.25528884583725,"Attenuated"
"SL1344_0137","mutT","NUDIX domain","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-spleen",0.961480477113868,0.423686428926474,0.324767496209452,"FDR>=0.05"
"SL1344_0139","yacF","Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity","Chromosome","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","Phox-spleen",0.592278371787936,-1.06203774091253,-0.814081628411,"FDR>=0.05"
"SL1344_0141","guaC","Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.820014668088668,0.281024680164151,0.215413276231729,"FDR>=0.05"
"SL1344_0142","pilC","Type II secretion system (T2SS), protein F","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.305704844554962,0.915865869191468,0.702036801024431,"FDR>=0.05"
"SL1344_0143","pilB","Type II secretion system (T2SS), protein E, N-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.921424719250145,0.148970168774579,0.114189800332773,"FDR>=0.05"
"SL1344_0144","pilA","Prokaryotic N-terminal methylation motif","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.993614942857309,0.14469775190844,0.110914873326272,"FDR>=0.05"
"SL1344_0145","nadC","Quinolinate phosphoribosyl transferase, C-terminal domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.979164134091906,0.0466555142839414,0.0357627564251992,"FDR>=0.05"
"SL1344_0146","ampD","N-acetylmuramoyl-L-alanine amidase","Chromosome","V","Defense mechanisms","Cellular processes and signaling","Phox-spleen",0.995125012877387,0.0800025020641223,0.0613241551108672,"FDR>=0.05"
"SL1344_0147","ampE","Regulatory signalling modulator protein AmpE","Chromosome","V","Defense mechanisms","Cellular processes and signaling","Phox-spleen",0.999304589921669,0.0232253299842086,0.0178028649317883,"FDR>=0.05"
"SL1344_0148","SL1344_0148","Glycosyl hydrolases family 43","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.456750076147631,0.95154374773717,0.729384892665486,"FDR>=0.05"
"SL1344_0149","SL1344_0149","MFS/sugar transport protein","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.473302336912695,0.707824449609782,0.542567235014023,"FDR>=0.05"
"SL1344_0150","aroP","Amino acid permease","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.957025288004469,0.440222569028306,0.337442910032472,"FDR>=0.05"
"SL1344_0151","pdhR","Pyruvate dehydrogenase complex repressor","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",7.53e-05,-3.387207028495,-2.59638891095632,"Attenuated"
"SL1344_0155","SL1344_0155","-","Chromosome","-","no category","no theme","Phox-spleen",0.790184108637022,0.33049074148727,0.253330395559713,"FDR>=0.05"
"SL1344_0156","SL1344_0156","Protein of unknown function (DUF2950)","Chromosome","N","Cell motility","Cellular processes and signaling","Phox-spleen",0.0474516805695039,1.59014914002297,1.21889378452217,"Amplified"
"SL1344_0157","yacH","Protein of unknown function (DUF3300)","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.988369206293153,0.193373655658781,0.148226314777879,"FDR>=0.05"
"SL1344_0159","acnB","Aconitate B N-terminal domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.000326700557362962,-2.61272096351444,-2.00272368356123,"Attenuated"
"SL1344_0162","kdgT","The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.946622699208434,0.0991741267185188,0.0760197415450418,"FDR>=0.05"
"SL1344_0164","pdxAb","Belongs to the PdxA family","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.47122173361377,-1.26660609472815,-0.970888992387054,"FDR>=0.05"
