"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore"
"ncRNA0256","STnc1600","non-coding","Chromosome",NA,"no category","no theme","Phox-liver",0.999204941602324,0.192428967021986,0.16391364598983
"SL1344_0002","thrA","ACT domain","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.354138944323347,0.932088733079347,0.793966028033717
"SL1344_0004","thrC","Threonine synthase N terminus","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.661450539492798,0.463670813208288,0.394961188579038
"SL1344_0006","yaaJ","Sodium:alanine symporter family","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.893827917505501,0.149981823183906,0.127756583900735
"SL1344_0007","talB","Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.358064805558895,-0.305004535897614
"SL1344_0008","mog","Probable molybdopterin binding domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0265583031482926,-0.0226227286240249
"SL1344_0010","htgA","Domain of unknown function (DUF3944)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.478832694154082,-0.726467903017435,-0.618815371308255
"SL1344_0011","yaaI","Protein of unknown function (DUF2541)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.666213193826363,0.518620494897992,0.441768084708719
"SL1344_0014","SL1344_0014","Bacterial regulatory helix-turn-helix protein, lysR family","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.367308005089256,-0.830542247589187,-0.70746733227216
"SL1344_0015","SL1344_0015","LydA holin phage, holin superfamily III","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.452455405743973,-0.793328734293317,-0.675768348804041
"SL1344_0016","SL1344_0016","Predicted Peptidoglycan domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.817528519979431,0.288833876055074,0.246032676068737
"SL1344_0017","SL1344_0017","Transcriptional regulatory protein, C terminal","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.757082518285902,-0.305715020751245,-0.260412267761473
"SL1344_0018","chiA","Glyco_18","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.396159451401483,-0.844909108827212,-0.719705222665687
"SL1344_0019","SL1344_0019","chitinase","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.5362861067137,0.604382792437979,0.514821591651038
"SL1344_0020","SL1344_0020","Winged helix-turn-helix DNA binding","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.387253792459789,-0.823673614567578,-0.701616536007118
"SL1344_0021","bcfA","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.522164621329285,-0.606899338692061,-0.51696522043101
"SL1344_0022","bcfB","Pili assembly chaperone PapD, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.971053502546263,0.0436349425153356,0.0371688453715397
"SL1344_0023","bcfC","PapC C-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.274917681191853,1.03740554248791,0.883676337668136
"SL1344_0024","bcfD","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.675402672425719,0.45289942207023,0.385785969166152
"SL1344_0026","bcfF","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,0.285223070227221,0.242956941903739
"SL1344_0027","bcfG","Pili assembly chaperone PapD, C-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.140772631704096,-0.119912067685556
"SL1344_0029","SL1344_0029","-","Chromosome","-","no category","no theme","Phox-liver",0.832554695606845,-0.242328935745193,-0.206419127024111
"SL1344_0030","SL1344_0030","Transcriptional regulatory protein, C terminal","Chromosome","K","Transcription","Information storage and processing","Phox-liver",8.8e-44,7.15130927817523,6.09158379597118
"SL1344_0031","SL1344_0031","Bacterial regulatory helix-turn-helix protein, lysR family","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.261898189198775,-0.954455408713149,-0.813018270575712
"SL1344_0032","SL1344_0032","Transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.573403360046463,0.532453323387268,0.453551078647309
"SL1344_0033","SL1344_0033","Arylsulfotransferase Ig-like domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.306392403056014,-0.936404355735539,-0.797642134886237
"SL1344_0034","SL1344_0034","Belongs to the 5'-nucleotidase family","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.448287004626174,0.678380607712909,0.577853950472617
"SL1344_0035","SL1344_0035","Nucleoside-specific channel-forming protein, Tsx","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.314782199835645,0.946924878233192,0.806603660933983
"SL1344_0036","SL1344_0036","Type I phosphodiesterase / nucleotide pyrophosphatase","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.463316247980345,0.394659165031581
"SL1344_0037","SL1344_0037","Iron-sulfur cluster-binding domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.865642991975347,-0.190800550502167,-0.162526538356897
"SL1344_0038","SL1344_0038","Transposase","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.407127189172595,-0.739287843537166,-0.629735573315688
"SL1344_0039","SL1344_0039","Arylsulfotransferase Ig-like domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.190015841656864,1.05399255272251,0.897805381573013
"SL1344_0040","nhaA",") H( ) antiporter that extrudes sodium in exchange for external protons","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.277598151701208,-0.236461931223609
"SL1344_0042","SL1344_0042","Glycosyl hydrolases family 31","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.76705961888226,-0.885063476191804,-0.753909266157711
"SL1344_0043","SL1344_0043","MFS/sugar transport protein","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.552385131656076,0.601021392088911,0.511958304509948
"SL1344_0049","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.984475934345696,-0.0294976068872391,-0.0251264680556626
"SL1344_0051","SL1344_0051","-","Chromosome","-","no category","no theme","Phox-liver",0.471796639212232,0.701137136548068,0.597238275344129
"SL1344_0052","rihC","Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.529395555580168,0.594539989270632,0.506437356268556
"SL1344_0054","citA2","Single cache domain 3","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.547531019212458,0.630274222804556,0.536876268849365
"SL1344_0055","SL1344_0055","Catalyzes the formation of pyruvate from oxaloacetate","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.529395555580168,-0.586702969851982,-0.499761675125097
"SL1344_0058","SL1344_0058","Uptake of citrate across the boundary membrane with the concomitant uptake of a sodium ion (symport system)","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.833909477544915,0.919972416398098,0.783645182508605
"SL1344_0059","citC2","Acetylation of prosthetic group (2-(5''-phosphoribosyl)- 3'-dephosphocoenzyme-A) of the gamma subunit of citrate lyase","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.579690277068608,-0.570239776011205,-0.485738099730802
"SL1344_0061","citE2","C-C_Bond_Lyase of the TIM-Barrel fold","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.404162554758552,0.344271233943014
"SL1344_0062","citF2","Citrate lyase, alpha subunit (CitF)","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.736082892674682,0.350070650447405,0.298195004405493
"SL1344_0064","citG2","ATP:dephospho-CoA triphosphoribosyl transferase","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.00499056586188066,-0.00425103277657659
"SL1344_0066A","SL1344_0066A","hypothetical viral protein (pseudogene)","Chromosome",NA,"no category","no theme","Phox-liver",0.999204941602324,-0.0983359019152593,-0.0837638764271226
"SL1344_0067","carA","Carbamoyl-phosphate synthase small chain, CPSase domain","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.573403360046463,0.550148031261848,0.4686236746672
"SL1344_0068","carB","Carbamoyl-phosphate synthetase large chain, oligomerisation domain","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.334766584731054,-0.945459805958792,-0.805355692180359
"SL1344_0071","caiD","Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.393152697202256,0.768313029249898,0.654459626504428
"SL1344_0072","caiC","Could catalyze the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle","Chromosome","IQ","Lipid transport and metabolism;Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.330376950205476,0.87842468661475,0.748254253706234
"SL1344_0073","caiB","Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl- CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl- CoA or L-carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.387253792459789,0.838593933934552,0.714325869662139
"SL1344_0075","caiT","Catalyzes the exchange of L-carnitine for gamma- butyrobetaine and related betaines","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.15681090551801,-0.133573690345108
"SL1344_0076","fixA","Required for anaerobic carnitine reduction. May bring reductant to CaiA","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.999204941602324,0.00431690019865948,0.00367719508079909
"SL1344_0077","fixB","Required for anaerobic carnitine reduction. May bring reductant to CaiA","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.615231134652736,0.495142123366423,0.421768884280627
"SL1344_0078","fixC","part of an electron transfer system required for anaerobic carnitine reduction","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.852625974939323,-0.199417403286399,-0.169866492308111
"SL1344_0079","fixX","Could be a 3Fe-4S cluster-containing protein","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.831170099689677,-0.233849685668145,-0.199196384955192
"SL1344_0080","yaaU","Sugar (and other) transporter","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.0701538565647987,0.059758021818357
"SL1344_0082","SL1344_0082","-","Chromosome","-","no category","no theme","Phox-liver",0.768768114005475,-0.309854345865936,-0.26393820193857
"SL1344_0083","SL1344_0083","Protein of unknown function (DUF1471)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.582512726158816,0.592878478655951,0.505022058629547
"SL1344_0083A","SL1344_0083A","hypothetical membrane protein (pseudogene)","Chromosome",NA,"no category","no theme","Phox-liver",0.493453113893851,0.743307092674075,0.633159225120133
"SL1344_0084","SL1344_0084","Sulfatase","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.629439970957777,0.508358550062173,0.433026818676805
"SL1344_0087","kefC","Pore-forming subunit of a potassium efflux system that confers protection against electrophiles. Catalyzes K( ) H( ) antiport","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.344853649376132,0.856884016597367,0.729905614131561
"SL1344_0089","apaH","Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",4.84e-18,-6.47507857279099,-5.51556116193012
"SL1344_0090","apaG","ApaG domain","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.521632131915327,0.444333438623719
"SL1344_0092","pdxAa","Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP)","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.7500629562998,0.341168444723956,0.29061198288818
"SL1344_0093","surA","Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",7.26e-10,-3.68069791392088,-3.13526920709917
"SL1344_0095","djlA","Regulatory DnaK co-chaperone. Direct interaction between DnaK and DjlA is needed for the induction of the wcaABCDE operon, involved in the synthesis of a colanic acid polysaccharide capsule, possibly through activation of the RcsB RcsC phosphotransfer signaling pathway. The colanic acid capsule may help the bacterium survive conditions outside the host","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.0406195269505736,-0.0346002728377686
"SL1344_0097","hepA","Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.536640531715843,0.584409991838104,0.497808484853144
"SL1344_0098","polB","DNA polymerase type-B family","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.910162871682374,0.137822656530362,0.117399238178702
"SL1344_0099","SL1344_0099","DUF218 domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.33706405002254,0.914818545355155,0.779255044128276
"SL1344_0101","araD","Class II Aldolase and Adducin N-terminal domain","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.474963539409461,-0.653858587610592,-0.55696575580935
"SL1344_0102","araA","Catalyzes the conversion of L-arabinose to L-ribulose","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.83105602781514,0.221573299710617,0.188739190214616
"SL1344_0103","araB","FGGY family of carbohydrate kinases, C-terminal domain","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.0699476555852544,0.0595823769823074
"SL1344_0104","araC","AraC-like ligand binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,0.175789309877598,0.149739756721663
"SL1344_0105","yabI","SNARE associated Golgi protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.444286202385479,0.378449109939144
"SL1344_0106","thiQ","Part of the ABC transporter complex ThiBPQ involved in thiamine import. Responsible for energy coupling to the transport system","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.977283591666363,-0.0388198705040408,-0.0330673006753883
"SL1344_0108","tbpA","Bacterial extracellular solute-binding protein","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.177601956356643,0.151283793972754
"SL1344_0109","yabN","Activates the small RNA gene sgrS under glucose- phosphate stress conditions as well as yfdZ. Represses its own transcription under both stress and non-stress conditions. Might act as a sensor of the intracellular accumulation of phosphoglucose by binding these molecules in its C-terminal solute-binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,-0.455125904529952,-0.387682517608694
"SL1344_0110","leuD","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.373383720432345,0.318053398698131
"SL1344_0111","leuC","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.03974429087393,-0.0338547346859783
"SL1344_0112","leuB","Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate","Chromosome","CE","Energy production and conversion;Amino acid transport and metabolism","Metabolism","Phox-liver",0.989084899372673,-0.0165251700826006,-0.0140763676111801
"SL1344_0113","leuA","Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.597151720264697,0.504714279221571,0.429922578552763
"SL1344_0115","leuO","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.343188678801273,0.930274619861852,0.792420741394602
"SL1344_0116","ilvI","Thiamine pyrophosphate enzyme, central domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.630031788271243,0.843351253575051,0.718378220092956
"SL1344_0118","fruR","Bacterial regulatory proteins, lacI family","Chromosome","K","Transcription","Information storage and processing","Phox-liver",2.42e-08,-2.98746496210042,-2.54476382523428
"SL1344_0136","secA","Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",8.55e-28,-7.60579897521382,-6.4787243832711
"SL1344_0137","mutT","NUDIX domain","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.999204941602324,0.15189496940509,0.129386228217175
"SL1344_0139","yacF","Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity","Chromosome","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.514360384650228,-0.43813926409072
"SL1344_0141","guaC","Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.883589825397413,0.163522343032823,0.139290585311136
"SL1344_0142","pilC","Type II secretion system (T2SS), protein F","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.557142609151888,0.634541546570921,0.540511234041919
"SL1344_0143","pilB","Type II secretion system (T2SS), protein E, N-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.901056376659825,-0.139826300051129,-0.119105969342079
"SL1344_0144","pilA","Prokaryotic N-terminal methylation motif","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.118896869630819,-0.101277992079739
"SL1344_0145","nadC","Quinolinate phosphoribosyl transferase, C-terminal domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.877632536577194,-0.169744725188687,-0.144590896182696
"SL1344_0146","ampD","N-acetylmuramoyl-L-alanine amidase","Chromosome","V","Defense mechanisms","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.0162604110331489,-0.0138508422041894
"SL1344_0147","ampE","Regulatory signalling modulator protein AmpE","Chromosome","V","Defense mechanisms","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.31069869203672,-0.264657427642853
"SL1344_0148","SL1344_0148","Glycosyl hydrolases family 43","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.757082518285902,-0.313497053730055,-0.267041110697704
"SL1344_0149","SL1344_0149","MFS/sugar transport protein","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.414886528064142,0.799433077478809,0.680968112453933
"SL1344_0150","aroP","Amino acid permease","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.216813318857178,0.184684572925942
"SL1344_0151","pdhR","Pyruvate dehydrogenase complex repressor","Chromosome","K","Transcription","Information storage and processing","Phox-liver",1.67e-09,-4.2991649809167,-3.6620879779152
"SL1344_0155","SL1344_0155","-","Chromosome","-","no category","no theme","Phox-liver",0.936413406915876,0.093601086637015,0.0797306955222087
"SL1344_0156","SL1344_0156","Protein of unknown function (DUF2950)","Chromosome","N","Cell motility","Cellular processes and signaling","Phox-liver",0.309146163402906,1.07652505107884,0.916998874195275
"SL1344_0157","yacH","Protein of unknown function (DUF3300)","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,0.0395517883038737,0.0336907583439095
"SL1344_0159","acnB","Aconitate B N-terminal domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.00101890207788907,-2.18936102355785,-1.86492789164321
"SL1344_0162","kdgT","The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.735556948730916,0.329840421987734,0.280962617008989
"SL1344_0164","pdxAb","Belongs to the PdxA family","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.407662962890513,-1.20093840924058,-1.02297588722887
"SL1344_0165","SL1344_0165","DeoR C terminal sensor domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.788196461202155,0.288812944900903,0.24601484662316
"SL1344_0166","speD","Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.295197867097216,-0.251453611341153
"SL1344_0167","speE","Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.539024647608862,0.588996229006374,0.501715104876414
"SL1344_0169","cueO","Multicopper oxidase","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.522164621329285,-0.617696616328119,-0.526162490319636
"SL1344_0170","gcd","PQQ-like domain","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.508293460485249,0.687638659458832,0.585740086535819
"SL1344_0174","yadH","ABC-2 type transporter","Chromosome","V","Defense mechanisms","Cellular processes and signaling","Phox-liver",0.933136608865202,0.0957745832599249,0.0815821098987513
"SL1344_0177","stiB","Pili assembly chaperone PapD, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.970543247784411,0.0495161475746365,0.0421785368904559
"SL1344_0178","stiA","cell adhesion","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,0.205208373581242,0.174799320611129
"SL1344_0179","yadI","PTS system fructose IIA component","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.294242809116233,0.981376496259302,0.835950023949398
"SL1344_0180","yadE","Polysaccharide deacetylase","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.858498603380581,-0.193767470357357,-0.165053801576931
"SL1344_0181","panD","Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.268053155844595,0.22833137221252
"SL1344_0182","panC","Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",1.94e-12,-3.8838587995882,-3.30832444928861
"SL1344_0185","pcnB","Adds poly(A) tail to the 3' end of many RNAs, which usually targets these RNAs for decay. Plays a significant role in the global control of gene expression, through influencing the rate of transcript degradation, and in the general RNA quality control","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",3.28e-10,-4.22599942873404,-3.59976455226511
