"s1480_tag","old_locus","locus_tag","s1480geneID","gene_name","gene_function","type","SPI","model","DE","logFC","logCPM","LR","PValue","FDR","zscore"
"STM14_5229","STM14_5229","SL1344_4285","psd","psd","phosphatidylserine decarboxylase","protein_coding","-","HeLa","Attenuated",-3.4658652983114,3.84615222012569,53.9248295695931,0.000436353327453512,0.0460924166502904,-2.13967258257711
"STM14_0111","STM14_0111","SL1344_0093","surA","surA","peptidyl-prolyl cis-trans isomerase SurA","protein_coding","-","HeLa","Attenuated",-3.04783793596071,7.06969382215318,51.9645719899162,0.000480075968325857,0.0460924166502904,-1.88160090090368
"STM14_3964","STM14_3964","SL1344_3255","pnp","pnp","polynucleotide phosphorylase/polyadenylase","protein_coding","-","HeLa","Attenuated",-2.14256108782067,7.5805757405314,51.9069959117122,0.000481448245664213,0.0460924166502904,-1.32272284740553
"STM14_3142","STM14_3142","SL1344_2525","yfhG","yfhG","hypothetical protein","protein_coding","-","HeLa","Amplified",1.87468968949925,8.04952920083825,51.6451015333954,0.000487757843243031,0.0460924166502904,1.15735084436658
"STM14_2046","STM14_2046","SL1344_1626","sapF","sapF","peptide transport protein","protein_coding","-","HeLa","Attenuated",-2.7175355840259,5.96581844051794,51.5543225355602,0.000489971060764642,0.0460924166502904,-1.6776867768493
"STM14_3114","STM14_3114","SL1344_2501","hscA","hscA","chaperone protein HscA","protein_coding","-","HeLa","Attenuated",-4.55219849933315,3.56657950990801,65.4979457276705,0.000506194260266336,0.0460924166502904,-2.81032685379242
"STM14_4671","STM14_4671","SL1344_3841","gidA","gidA","tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA","protein_coding","-","HeLa","Attenuated",-5.14346247880539,6.81886936411457,50.8532419019283,0.000507531046202946,0.0460924166502904,-3.1753471927417
"STM14_2838","STM14_2838","SL1344_2269","-","SL1344_2269","putative cytoplasmic protein","protein_coding","-","HeLa","Amplified",1.72528312819766,9.08217950093043,50.6847622526037,0.000511877760829637,0.0460924166502904,1.06511381396904
"STM14_2588","STM14_2588","SL1344_2071","rfbC","rfbC","dTDP-4,deoxyrhamnose 3,5 epimerase","protein_coding","-","HeLa","Amplified",2.83861539908588,7.92772016212461,50.3759430145042,0.000519977157955629,0.0460924166502904,1.75243612175707
"STM14_1238","STM14_1238","SL1344_1031","orfX","orfX","putative cytoplasmic protein","protein_coding","-","HeLa","Attenuated",-2.56363204489146,4.13343173117858,50.361440749178,0.000520361766956196,0.0460924166502904,-1.58267351040528
"STM14_5521","STM14_5521","SL1344_4527","lasT","lasT","putative RNA methyltransferase","protein_coding","-","HeLa","Attenuated",-2.98051217111327,4.46464910461676,50.2059643788157,0.000524509432834209,0.0460924166502904,-1.84003693902227
"STM14_1654","STM14_1654","SL1344_1296","ydiM","ydiM","putative transport protein","protein_coding","-","HeLa","Amplified",1.69218929089679,9.06549224745935,48.8402771204407,0.000562944142574004,0.0486170208647101,1.04468313642383
"STM14_2168","STM14_2168","SL1344_1721","-","appB","putative cytochrome oxidase subunit II","protein_coding","-","HeLa","Amplified",1.59037187527903,8.25092071423554,48.0669869062954,0.000586413668144644,0.0489658741015401,0.981825548527286
"STM14_2059","STM14_2059","SL1344_1635","-","SL1344_1635","conserved domain protein","protein_coding","-","HeLa","Attenuated",-3.78207823684924,2.99821666008391,47.8430066822902,0.000593458769823722,0.0489658741015401,-2.33488852336257
"STM14_1228","STM14_1228","SL1344_1023","yccX","yccX","putative phosphohydrolase","protein_coding","-","HeLa","Amplified",2.0387797902182,7.25100790408628,46.9721839013944,0.000621966856350939,0.0489658741015401,1.25865284527
"STnc1890","STnc1890","ncRNA0272","STnc1890","STnc1890","Intergenic",NA,"-","HeLa","Amplified",2.73073235837246,7.02926214145608,46.8296075116612,0.000626810232552701,0.0489658741015401,1.68583388408441
"STM14_2334","STM14_2334","SL1344_1854","cheM","cheM","methyl accepting chemotaxis protein II","protein_coding","-","HeLa","Amplified",2.07096466338951,7.55903967814291,46.6938217707911,0.00063147058759327,0.0489658741015401,1.27852236839657
"STM14_1649","STM14_1649","SL1344_1292","aroD","aroD","3-dehydroquinate dehydratase","protein_coding","-","HeLa","Attenuated",-4.33450334947176,4.6228585804307,46.3522822105857,0.00064340227686616,0.0489658741015401,-2.67593145656063
"STM14_0107","STM14_0107","SL1344_0089","apaH","apaH","diadenosine tetraphosphatase","protein_coding","-","HeLa","Attenuated",-3.56687957213037,6.38797772691702,46.0693313114608,0.000653519803396706,0.0489658741015401,-2.20203434610112
"STM14_4070","STM14_4070","SL1344_3348","yhdA","yhdA","regulatory protein CsrD","protein_coding","-","HeLa","Attenuated",-1.66870061547127,8.6276195231885,45.7781362352025,0.000664158658649022,0.0489658741015401,-1.03018226276508
"STM14_2374","STM14_2374","SL1344_1885","fliA","fliA","flagellar biosynthesis sigma factor","protein_coding","-","HeLa","Attenuated",-2.53375016708108,6.31833242069718,45.6500614889377,0.000668912280570532,0.0489658741015401,-1.56422575518007
"STM14_2221","STM14_2221","SL1344_1767","yobF","yobF","putative cytoplasmic protein","protein_coding","-","HeLa","Amplified",2.2224889864338,7.15240328216537,45.4279863893243,0.00067726476183944,0.0489658741015401,1.37206681161811
"STM14_2118","STM14_2118","SL1344_1683","galU","galU","UTP--glucose-1-phosphate uridylyltransferase subunit GalU","protein_coding","-","HeLa","Attenuated",-4.41790943807873,4.68326088896589,63.0898485410456,0.000685125834374328,0.0489658741015401,-2.72742270207997
"STM14_1768","STM14_1768","SL1344_1396","ydgA","ydgA","putative periplasmic protein","protein_coding","-","HeLa","Amplified",1.77322428096707,7.80965198114022,44.9923205635213,0.000694066093273976,0.0489658741015401,1.09471057014067
"STM14_2591","STM14_2591","SL1344_2074","rfbB","rfbB","dTDP-glucose 4,6 dehydratase","protein_coding","-","HeLa","Amplified",3.35111344610201,10.8818048356471,44.4909813745994,0.000714107110210417,0.0496800349311664,2.06882984322079
"STM14_0835","STM14_0835","SL1344_0697","-","fimB","putative phage integrase","protein_coding","-","HeLa","Amplified",1.81605593713973,7.32681909936516,43.7799391083251,0.000743899872894373,0.0510437597716153,1.12115294815913
"STM14_2047","STM14_2047","SL1344_1627","-","SL1344_1627","hypothetical protein","protein_coding","-","HeLa","Amplified",2.31617296109309,8.69035900359148,43.2199806085972,0.000768560050834652,0.0520232066841996,1.42990317130093
"STnc3580","STnc3580","ncRNA0329","STnc3580","STnc3580","Intergenic",NA,"-","HeLa","Attenuated",-2.84816555131071,3.70443502481396,42.9290194338742,0.000781812550795294,0.0522146542257817,-1.75833196510818
"STM14_3566","STM14_3566","SL1344_2939","barA","barA","hybrid sensory histidine kinase BarA","protein_coding","-","HeLa","Amplified",5.06307644779854,13.6073059660666,42.6343523600132,0.000795551600844638,0.0524331311661946,3.12572039776748
"CsrB","CsrB","ncRNA0007","CsrB","CsrB","Intergenic",NA,"-","HeLa","Amplified",2.42404632485203,6.33877343167555,42.3149160789066,0.000810817951356911,0.0527452872512567,1.49649943484811
"STM14_4082","STM14_4082","SL1344_3357","yhdG","yhdG","tRNA-dihydrouridine synthase B","protein_coding","-","HeLa","Attenuated",-3.48647460286898,5.9603551736883,41.8662236826542,0.000832940066905542,0.0534897025016648,-2.15239585948268
"STM14_992","STM14_992","SL1344_0825","yliB","yliB","putative ABC transporter periplasmic binding protein","protein_coding","-","HeLa","Amplified",1.98281104568034,9.53730504640049,41.5225166631752,0.000850442941913746,0.0539223885575437,1.22410020751247
"STM14_1080","STM14_1080","SL1344_0896","trxB","trxB","thioredoxin reductase","protein_coding","-","HeLa","Attenuated",-2.6198666829276,5.45908088083404,41.1430657467673,0.000870350279126943,0.0539405584060849,-1.61739029909747
"STM14_2861","STM14_2861","SL1344_2289","nuoJ","nuoJ","NADH dehydrogenase subunit J","protein_coding","-","HeLa","Attenuated",-2.51447361779614,3.68148744973734,40.5735690674031,0.000901431851401505,0.0539405584060849,-1.55232526267917
"STM14_1305","STM14_1305","SL1344_1078","csgE","csgE","curli assembly protein CsgE","protein_coding","-","HeLa","Attenuated",-2.85238733446072,3.85842716905275,40.537725981168,0.000903438092934506,0.0539405584060849,-1.76093830807831
"STM14_2882","STM14_2882","SL1344_2306","ackA","ackA","acetate kinase","protein_coding","-","HeLa","Attenuated",-4.45619921575016,4.79759531294634,55.9788132412002,0.000937915884126962,0.0552708313363759,-2.75106112435693
"STM14_3621","STM14_3621","SL1344_2982","ygdP","nudH","dinucleoside polyphosphate hydrolase","protein_coding","-","HeLa","Attenuated",-3.35901004588394,5.43003820243135,39.7206323508757,0.000950863278387072,0.0553822576911726,-2.07370485612369
"STM14_3482","STM14_3482","SL1344_2862","sipD","sipD","translocation machinery component","protein_coding","SPI-1","HeLa","Attenuated",-2.88984717520391,6.33511400147298,39.2053333196001,0.000982520932043197,0.0564550979232747,-1.78406436385
"STM14_2709","STM14_2709","SL1344_2173","-","SL1344_2173","putative L-serine dehydratase","protein_coding","-","HeLa","Amplified",1.4824944650256,8.36739194779109,39.0581613827195,0.00099182443945861,0.0564550979232747,0.915226786852635
"STM14_3060","STM14_3060","SL1344_2459","yfgE","yfgE","DNA replication initiation factor","protein_coding","-","HeLa","Attenuated",-3.94073436348779,4.86233695580766,38.5375220613641,0.00102571211949696,0.0577280000737108,-2.43283582800588
"STM14_1965","STM14_1965","SL1344_1555","ydcI","ydcI","putative transcriptional regulator","protein_coding","-","HeLa","Amplified",2.27117064112206,8.88251596692307,38.2616281855095,0.00104430798284108,0.0581215409561218,1.40212072105934
"STM14_3475","STM14_3475","SL1344_2856","hilA","hilA","invasion protein regulator","protein_coding","SPI-1","HeLa","Attenuated",-2.79583003163979,7.77425494201896,37.9264677605616,0.00106751890334145,0.0587604635916187,-1.72602232035962
"STM14_5280","STM14_5280","SL1344_4329","ytfB","ytfB","putative cell envelope opacity-associated protein A","protein_coding","-","HeLa","Attenuated",-2.20492680960691,5.15984588339369,36.6869250249486,0.00115970440592397,0.0623738491690855,-1.36122469716399
"STM14_3403","STM14_3403","SL1344_2803","gshA","gshA","glutamate--cysteine ligase","protein_coding","-","HeLa","Attenuated",-2.42371501101059,7.48529485276995,36.4571665991856,0.00117796677555338,0.0623738491690855,-1.49629489627499
"STM14_1937","STM14_1937","SL1344_1530A","-","SL1344_1530A","putative inner membrane protein","protein_coding","-","HeLa","Amplified",1.99978777500012,6.9910662894639,36.3950158530489,0.00118297378140609,0.0623738491690855,1.2345808924615
"STM14_4085","STM14_4085","SL1344_3360","yhdU","yhdU","putative periplasmic protein","protein_coding","-","HeLa","Attenuated",-2.16391404224117,5.52604043401241,36.1434318354818,0.0012035394642315,0.0627971789201623,-1.33590522098272
"STM14_3498","STM14_3498","SL1344_2878","invF","invF","invasion regulatory protein","protein_coding","SPI-1","HeLa","Attenuated",-2.10924447192938,7.07298667732783,35.9073767966135,0.00122327905353481,0.0631691214345964,-1.30215463617078
"STM14_2230","STM14_2230","SL1344_1772","-","SL1344_1772","putative transport protein","protein_coding","-","HeLa","Amplified",1.50830310688966,8.46408358280549,35.1211913766911,0.00129227773783234,0.0644023178929764,0.931159905608573
"STnc3500","STnc3500","ncRNA0325","STnc3500","STnc3500","intragenic",NA,"-","HeLa","Amplified",2.9792120750212,4.90717006529015,35.0466870420487,0.0012990878675267,0.0644023178929764,1.83923431695722
"STM14_1217","STM14_1217","SL1344_1012","yccR","sxy","putative DNA transformation protein","protein_coding","-","HeLa","Amplified",1.97092624734144,7.9864665257832,34.6864732412845,0.00133270926830757,0.0644023178929764,1.21676305647905
"STM14_2120","STM14_2120","SL1344_1685","ychK","ychK","hypothetical protein","protein_coding","-","HeLa","Attenuated",-2.29680970942,5.09269347693515,34.5803610819899,0.00134283822752574,0.0644023178929764,-1.41794915256436
"STM14_2251","STM14_2251","SL1344_1788","-","SL1344_1788","putative cytoplasmic protein","protein_coding","-","HeLa","Amplified",2.34784406240973,7.08261161425057,34.4745875799278,0.00135303903586053,0.0644023178929764,1.4494555143133
"STM14_4878","STM14_4878","SL1344_4004","sodA","sodA","superoxide dismutase","protein_coding","-","HeLa","Attenuated",-2.11881616494954,5.84164377027282,34.4591262316532,0.00135453892407539,0.0644023178929764,-1.30806377786018
"STM14_1363","STM14_1363","SL1344_1127","yceD","yceD","hypothetical protein","protein_coding","-","HeLa","Attenuated",-4.12658183573077,4.35874500065638,47.0224676715994,0.0013647756538639,0.0644023178929764,-2.54756987179382
"STM14_4786","STM14_4786","SL1344_3933","fre","fre","FMN reductase","protein_coding","-","HeLa","Attenuated",-2.11000511789441,7.04581130771524,34.2698829515672,0.00137308127583188,0.0644023178929764,-1.30262422548726
"STM14_2043","STM14_2043","SL1344_1623","sapB","sapB","peptide transport protein","protein_coding","-","HeLa","Attenuated",-5.38841398501841,3.48484923895325,55.5202049748321,0.00137573328300029,0.0644023178929764,-3.32656946389007
"STM14_0014","STM14_0014","SL1344_0013","dnaJ","dnaJ","chaperone protein DnaJ","protein_coding","-","HeLa","Attenuated",-5.35256377342699,5.70505921007726,33.9537928876357,0.00140482771755234,0.0644851643745573,-3.30443712226123
"STM14_4470","STM14_4470","SL1344_3675","kbl","kbl","2-amino-3-ketobutyrate coenzyme A ligase","protein_coding","-","HeLa","Attenuated",-2.32169799689318,7.11262756268501,33.9497040776812,0.00140524486652953,0.0644851643745573,-1.43331408505599
"STM14_2883","STM14_2883","SL1344_2307","pta","pta","phosphate acetyltransferase","protein_coding","-","HeLa","Attenuated",-4.13169727979789,4.89592101559475,33.8286197420351,0.00141767466631812,0.0644851643745573,-2.55072792165325
"STM14_4547","STM14_4547","SL1344_3736","-","SL1344_3736","putative phosphotransferase system enzyme IIB","protein_coding","-","HeLa","Attenuated",-3.84972337344625,5.60134992528072,33.7195561929844,0.00142899845190175,0.0644851643745573,-2.37664965129556
"STM14_0795","STM14_0795","SL1344_0665","nagA","nagA","N-acetylglucosamine-6-phosphate deacetylase","protein_coding","-","HeLa","Attenuated",-2.07409722256065,5.83852714949301,33.1239092963527,0.00149305843236806,0.0667743722118894,-1.28045627245656
"STnc790","STnc790","ncRNA0200","STnc790","STnc790","Overlap",NA,"-","HeLa","Attenuated",-1.46169524065394,7.59266523993078,32.6606102196196,0.00154560539305854,0.0682721993074287,-0.902386261818787
"STM14_0754","STM14_0754","SL1344_0634","holA","holA","DNA polymerase III subunit delta","protein_coding","-","HeLa","Attenuated",-5.215629931701,3.31631613733784,52.0278011025119,0.00155380928749189,0.0682721993074287,-3.2199001995739
"IsrQ","IsrQ","ncRNA0043","IsrQ","IsrQ","Overlap",NA,"-","HeLa","Attenuated",-5.52571275221012,3.61881889422938,52.0391403956444,0.00157598127721085,0.0684436410590501,-3.41133167548694
"STM14_0867","STM14_0867","SL1344_0727","tolQ","tolQ","colicin uptake protein TolQ","protein_coding","-","HeLa","Attenuated",-3.62756677956956,6.57234883804766,31.8972197607458,0.00163780215191367,0.0691504533264215,-2.23949995503118
"STM14_1486","STM14_1486","SL1344_1177","-","SL1344_1177","putative cytoplasmic protein","protein_coding","-","HeLa","Amplified",2.03926417775323,7.15596243006912,31.8573211491376,0.00164282370649714,0.0691504533264215,1.25895188479948
"STnc2090","STnc2090","ncRNA0281","STnc2090","STnc2090","Overlap",NA,"-","HeLa","Attenuated",-3.5277176669131,4.61942478805373,31.4997665259998,0.00168877098837654,0.0694852445580179,-2.17785751068986
"STM14_3294","STM14_3294","SL1344_2660","smpB","smpB","SsrA-binding protein","protein_coding","-","HeLa","Attenuated",-2.88782099226137,5.71901174464336,31.4376726119363,0.00169692736729607,0.0694852445580179,-1.78281348774366
"STM14_2589","STM14_2589","SL1344_2072","rfbA","rfbA","dTDP-glucose pyrophosphorylase","protein_coding","-","HeLa","Attenuated",-3.19453187311589,5.76250903103962,31.2685834888773,0.00171941075424081,0.0694852445580179,-1.97216327662963
"STM14_4078","STM14_4078","SL1344_3354","yhdT","yhdT","hypothetical protein","protein_coding","-","HeLa","Attenuated",-1.93595854768955,5.04462547759524,31.2631656304252,0.0017201378169683,0.0694852445580179,-1.19517553885181
"STM14_2864","STM14_2864","SL1344_2292","nuoG","nuoG","NADH dehydrogenase subunit G","protein_coding","-","HeLa","Attenuated",-2.33548644335843,6.35436609803308,31.1381314925935,0.00173703356604841,0.0696064090586918,-1.44182646459723
"STM14_2759","STM14_2759","SL1344_2209","-","SL1344_2209","putative cytoplasmic protein","protein_coding","-","HeLa","Attenuated",-2.9934533013541,2.43957719124313,30.8180006777301,0.00178133112139054,0.0696619695384479,-1.84802622284625
"STM14_2095","STM14_2095","SL1344_1663","ompW","ompW","outer membrane protein W","protein_coding","-","HeLa","Amplified",2.36862593661505,9.08193465688353,30.748899314525,0.00179109349254049,0.0696619695384479,1.46228532811862
"STM14_0866","STM14_0866","SL1344_0726","ybgC","ybgC","acyl-CoA thioester hydrolase YbgC","protein_coding","-","HeLa","Attenuated",-4.4033049969799,5.7338163680206,30.6184199850617,0.00180972590902491,0.0696619695384479,-2.71840656339211
"STM14_2916","STM14_2916","SL1344_2337","truA","truA","tRNA pseudouridine synthase A","protein_coding","-","HeLa","Attenuated",-2.02901001292997,6.25243431115538,30.5580085726108,0.00181844172511247,0.0696619695384479,-1.25262141507803
"STM14_1508","STM14_1508","SL1344_1186","-","SL1344_1186","putative cytoplasmic protein","protein_coding","-","HeLa","Attenuated",-2.27486103637645,3.30430685702017,30.5171863177797,0.00182436358874762,0.0696619695384479,-1.40439900854748
"STM14_2372","STM14_2372","SL1344_1883","fliY","fliY","cystine transporter subunit","protein_coding","-","HeLa","Amplified",2.46075156605673,9.03303847607674,30.3467153897749,0.00184937756456989,0.0696619695384479,1.51915963410076
"STnc3870","STnc3870","ncRNA0346","STnc3870","STnc3870","Intergenic",NA,"-","HeLa","Attenuated",-3.75672117324472,2.83745268125938,36.8088496443188,0.00184967896758107,0.0696619695384479,-2.3192341891345
"STM14_3550","STM14_3550","SL1344_2924","sopD","sopD","secreted effector protein","protein_coding","-","HeLa","Attenuated",-2.03743939321438,4.95523344373131,29.7684618273471,0.00193777599322769,0.0719239765228163,-1.25782534319707
"STM14_0254","STM14_0254","SL1344_0215","glnD","glnD","PII uridylyl-transferase","protein_coding","-","HeLa","Attenuated",-7.31650304162865,6.41266827593863,59.8802788619362,0.00193845814146141,0.0719239765228163,-4.51688672555798
"STM14_2616","STM14_2616","SL1344_2097","asmA","asmA","putative assembly protein","protein_coding","-","HeLa","Amplified",2.48769848951534,9.75533682727899,29.189585631118,0.0020321092455731,0.0748443765520269,1.53579547777803
"STM14_5394","STM14_5394","SL1344_4426","-","SL1344_4426","putative cytoplasmic protein","protein_coding","-","HeLa","Attenuated",-2.53598659336453,4.55693820234626,28.9485570980119,0.00207322594255266,0.0754185846325206,-1.565606426265
"STM14_4612","STM14_4612","SL1344_3786","-","yhjA","putative cytochrome c peroxidase","protein_coding","-","HeLa","Amplified",1.61964301652706,8.91722549883228,28.6934795806292,0.00211797799780531,0.0754185846325206,0.999896261898538
"STM14_1862","STM14_1862","SL1344_1472","-","SL1344_1472","putative transport protein","protein_coding","-","HeLa","Amplified",2.77123712101522,9.0876586961567,28.6364804435288,0.00212815698620612,0.0754185846325206,1.71083974052457
"STM14_4473","STM14_4473","SL1344_3678","rfaC","rfaC","ADP-heptose:LPS heptosyl transferase I","protein_coding","-","HeLa","Attenuated",-3.55374146753614,3.82887101741853,38.0977442687209,0.00213264697448663,0.0754185846325206,-2.19392345898701
"STM14_0077","STM14_0077","SL1344_0067","carA","carA","carbamoyl phosphate synthase small subunit","protein_coding","-","HeLa","Attenuated",-2.00399913419057,5.97894172036433,28.397365710621,0.00217158915946829,0.0754185846325206,-1.23718080013811
