"locus_tag","gene_name","gene_function","DNA_molecule","SPI","COG","description","theme","model","DE","logFC","logCPM","F","PValue","FDR","zscore","DE_rec"
"SL1344_2097","asmA","hypothetical outer membrane assembly protein","Chromosome","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.956731962580817,6.9097431481026,169.483303279215,9.44875870529125e-16,2.65398957751563e-13,-3.49711667399491,"Attenuated"
"SL1344_1100","pyrC","Dihydroorotase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.874728804720245,6.09840564848136,119.983369566536,1.02840768197178e-15,2.7281370452307e-13,-3.19737273118688,"Attenuated"
"SL1344_2450","purC","phosphoribosylaminoimidazole-succinocarboxamide synthase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-2.59775970320793,3.38056878924923,119.264965045639,1.15694073787332e-15,2.907574749129e-13,-9.49552134603544,"Attenuated"
"SL1344_1352","ssaQ","Type III secretion system protein","Chromosome","SPI-2","NU","Cell motility;Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.566570701359997,7.48347187532374,110.184066283213,5.35261438163293e-15,1.27793668361486e-12,-2.07097068376209,"Attenuated"
"SL1344_3173","rfaE","ADP-heptose synthase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-3.93754020328424,2.48624197974849,107.62388885666,8.36983062518463e-15,1.90314005882174e-12,-14.3927850620622,"Attenuated"
"SL1344_3687","rfaP","lipopolysaccharide core biosynthesis protein","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.887939903088184,6.85303803500557,143.4387969747,9.19367115534489e-15,1.99544453485327e-12,-3.24566290460146,"Attenuated"
"SL1344_2462","purM","Phosphoribosylformylglycinamidine cyclo-ligase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-2.15674561975851,5.44978016237086,248.085276626102,1.61784222274739e-14,3.35878113635599e-12,-7.88349439907612,"Attenuated"
"SL1344_2320","hisP","histidine transport ATP-binding protein","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.660392081762479,6.84253400174893,98.5928533779071,4.2932908561894e-14,8.54185993262683e-12,-2.41391345834826,"Attenuated"
"SL1344_3476","bioH","hypothetical biotin biosynthesis protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Attenuated",-0.77011498965817,7.089164152995,125.968737567168,5.29482098064003e-14,1.01131080730225e-11,-2.81498065974722,"Attenuated"
"SL1344_4073","argH","argininosuccinate lyase","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.827026099899096,6.86321838498051,125.780587675921,6.98749808809024e-14,1.28328089887042e-11,-3.02300631410315,"Attenuated"
"SL1344_0067","carA","carbamoyl-phosphate synthase small chain","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.850290378937066,5.92770029680127,94.0573638523642,1.01220232018726e-13,1.79009854773859e-11,-3.10804360909713,"Attenuated"
"SL1344_2971","recD","exonuclease V alpha-subunit","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","Attenuated",-0.774599052093439,6.04221468540645,92.7841070794282,1.29380246944296e-13,2.14463052535677e-11,-2.83137113286084,"Attenuated"
"SL1344_4399","argI","ornithine carbamoyltransferase","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.882423614023887,6.00464367024024,99.0916655874665,1.30249812011197e-13,2.14463052535677e-11,-3.22549936118509,"Attenuated"
"SL1344_0013","dnaJ","DnaJ protein","Chromosome","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.623196209983527,6.92389139589474,91.993611649173,1.50838665866799e-13,2.40084876504655e-11,-2.27795238618855,"Attenuated"
"SL1344_4162","yjbA","hypothetical membrane protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Attenuated",-0.602539554036578,6.95307042446242,91.7398187704738,1.58483923040991e-13,2.43514162835553e-11,-2.20244666591745,"Attenuated"
"SL1344_0772","bioF","8-amino-7-oxononanoate synthase","Chromosome","-","H","Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.732388269208659,6.5332121513853,96.112251325668,1.63192737397648e-13,2.43514162835553e-11,-2.67707919068453,"Attenuated"
"SL1344_2193","yejA","hypothetical transport system periplasmic binding protein","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.526222044015153,7.25213625685083,90.120882113726,2.17689018435699e-13,3.14989413039534e-11,-1.92348531911165,"Attenuated"
"SL1344_3671","yibP","conserved hypothetical protein","Chromosome","-","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.933558219810838,7.36503048724945,170.331193498482,3.40594749917193e-13,4.78335273780764e-11,-3.41241031379226,"Attenuated"
"SL1344_2763","pipB2","Type III secretion system effector protein, Contributes to Sif formation","Chromosome","SPI-2","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Amplified",0.353058461044535,9.74431350409225,87.0910895061909,3.98104766020867e-13,5.43128645071326e-11,1.29052512020526,"Amplified"
"SL1344_0527","purE","phosphoribosylaminoimidazole carboxylase catalytic subunit","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-1.98354292192602,4.32327668448296,120.298687956065,4.45591902494009e-13,5.91028148446915e-11,-7.25039122466457,"Attenuated"
"SL1344_2764","virK","virulence protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Amplified",0.483679259349346,9.09357210516531,110.427998130241,4.90884195227819e-13,6.33505954652118e-11,1.76797981973266,"Amplified"
"SL1344_1349","ssaN","Type III secretion ATP synthase","Chromosome","-","NU","Cell motility;Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.603666952126544,7.50101459519592,101.284759030774,6.4874487203207e-13,8.1519914840872e-11,-2.20656761390795,"Attenuated"
"SL1344_2353","aroC","Chorismate synthase","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.581187881012632,7.07083410897541,84.4932078169957,7.2991550068374e-13,8.93678593785861e-11,-2.12440046837189,"Attenuated"
"SL1344_2765","mig-14","hypothetical transcriptional regulator","Chromosome","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Macrophage-SL1344","Amplified",0.407060366297204,8.0781197453413,82.187694943186,1.08728549220462e-12,1.29794705631927e-10,1.4879168356207,"Amplified"
"SL1344_1639","pyrF","Orotidine 5'-phosphate decarboxylase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.882749292296782,5.48077958471535,81.8004207677736,1.17887564198963e-12,1.37295882695134e-10,-3.22668980423816,"Attenuated"
"SL1344_0773","bioC","biotin synthesis protein BioC","Chromosome","-","H","Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.714310656670524,6.26049344167899,80.6231617808509,1.79129433782675e-12,2.03653106264826e-10,-2.61100057859072,"Attenuated"
"SL1344_0187","dksA","dosage-dependent dnaK suppressor protein","Chromosome","-","K","Transcription","Information storage and processing","Macrophage-SL1344","Attenuated",-1.71819996243198,3.99914876101473,83.836080443909,2.12596969662898e-12,2.36081518637288e-10,-6.28049022389668,"Attenuated"
"SL1344_3844","asnA","asparagine synthetase A","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Amplified",0.506215179940488,7.3053797391262,78.8321214525049,2.20815804623463e-12,2.39635333426599e-10,1.85035476563759,"Amplified"
"SL1344_3699","pyrE","orotate phosphoribosyltransferase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.89732605700864,5.34100633321464,78.478850198025,2.38161102248654e-12,2.49015684165342e-10,-3.27997186119926,"Attenuated"
"SL1344_2321","hisM","histidine transport system permease","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.616461816063363,6.48266116916675,78.4451182170336,2.39889454902738e-12,2.49015684165342e-10,-2.25333633677391,"Attenuated"
"SL1344_0998","pyrD","dihydroorotate dehydrogenase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.632843933006908,8.0307507923569,121.612647887795,2.80224638285774e-12,2.84696308045653e-10,-2.31321744931045,"Attenuated"
"SL1344_0774","bioDa","dethiobiotin synthetase","Chromosome","-","H","Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.624054013949501,6.49262206037419,75.9359090201924,4.12918472563983e-12,4.10767855519379e-10,-2.28108789401076,"Attenuated"
"SL1344_0306","gmhA","Phosphoheptose isomerase","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-4.20947451741143,1.96417802420637,75.3597038081321,4.6844983971094e-12,4.56499588697905e-10,-15.3867792645766,"Attenuated"
"SL1344_1670","cls","Cardiolipin synthetase","Chromosome","-","I","Lipid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.50770995181689,7.18722170883085,75.1591259810764,4.89548274615761e-12,4.67518602258052e-10,-1.85581856517312,"Attenuated"
"SL1344_4042","ftsN","cell division protein","Chromosome","-","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.650606694522066,6.90251094586039,85.5982279075978,5.44444758334155e-12,5.09749749224626e-10,-2.37814519490733,"Attenuated"
"SL1344_2527","purG","Phosphoribosylformylglycinamidine synthase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-2.37794523725763,7.53648971197257,553.474971956287,7.27524360817073e-12,6.6806323517337e-10,-8.69203942620238,"Attenuated"
"SL1344_4297","hflK","HflK protein","Chromosome","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.516216355854775,7.13953809595467,72.6225117477125,8.59675076265618e-12,7.74518582861948e-10,-1.88691179562858,"Attenuated"
"SL1344_3157","cpdA","cyclic 3',5'-adenosine monophosphate phosphodiesterase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Amplified",0.442907802082958,7.40622658252766,71.8807557335197,1.01569329455659e-11,8.98136200279206e-10,1.6189490058726,"Amplified"
"ncRNA0103","zipA-leader","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","Attenuated",-2.08990108687669,3.14270969879627,71.7024970793497,1.05738157195381e-11,9.17999455650805e-10,-7.63915937145163,"Attenuated"
"SL1344_1332","sseBa","Type III secretion system secreted effector protein","Chromosome","SPI-2","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Attenuated",-0.633241111159165,6.72545415991721,76.962596658434,1.1791274449329e-11,1.00541670527761e-09,-2.31466924395422,"Attenuated"
"SL1344_2332","cvpA","colicin V production protein (DedE protein)","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Attenuated",-0.613726200740667,6.34507593765941,70.966043209652,1.24929602060451e-11,1.04655938568185e-09,-2.24333691548058,"Attenuated"
"SL1344_3596","dppA","periplasmic dipeptide transport protein precursor","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.37397590724017,8.11570105412759,70.1176214228782,1.5157912546514e-11,1.24791435188973e-09,-1.36698410007547,"Attenuated"
"SL1344_P3_0003","repC","replication protein c","pRSF1010","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","Attenuated",-0.533319283219595,13.2324507074304,74.5089430341154,1.84781580075167e-11,1.49547804213377e-09,-1.94942766715888,"Attenuated"
"SL1344_0446","cypD","peptidyl-prolyl cis-trans isomerase D","Chromosome","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.543929588524444,6.82992532829118,68.328319886674,2.28889425059165e-11,1.82157834109586e-09,-1.98821123146844,"Attenuated"
"SL1344_4115","purH","phosphoribosylaminoimidazolecarboxamide formyltransferase and IMP cyclohydrolase (bifunctional enzyme)","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-2.18357863960509,7.24225070975208,417.399967243883,3.07539400969208e-11,2.40737809775077e-09,-7.98157641659959,"Attenuated"
"SL1344_2486","yfgA","hypothetical DNA-binding protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Attenuated",-0.611224279616357,6.32381055143814,65.9121446759412,4.03177674277491e-11,3.07648903854089e-09,-2.23419171032067,"Attenuated"
"SL1344_0770","bioA","adenosylmethionine-8-amino-7-oxononanoate aminotransferase","Chromosome","-","H","Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.583258919094181,6.60752129845883,66.4394677019569,4.0590326581796e-11,3.07648903854089e-09,-2.13197067830606,"Attenuated"
"SL1344_3875","trxA","thioredoxin","Chromosome","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-1.17342861109019,6.60538404058309,148.66281217006,4.88258997687995e-11,3.58761039342406e-09,-4.28920211938624,"Attenuated"
"SL1344_3368","SL1344_3368","shikimate dehydrogenase","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.700975309528202,5.8849167504193,65.1048678654498,4.88365812717411e-11,3.58761039342406e-09,-2.56225624196468,"Attenuated"
"SL1344_0210","htrA","protease DO precursor; heat shock protein HtrA","Chromosome","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.511145225923541,7.7945748317225,78.9954127782529,9.74636364382616e-11,7.0513464241318e-09,-1.86837543044781,"Attenuated"
"SL1344_0130","ddlB","D-alanine--D-alanine ligase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.528269696274198,6.81998796861277,62.0642343676565,1.01725413906037e-10,7.24983360300485e-09,-1.93097004747625,"Attenuated"
"SL1344_3903","xerC","integrase/recombinase","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","Attenuated",-0.975515715237949,4.6928960393046,61.5062506103447,1.1663075439953e-10,8.18988018026108e-09,-3.56577642112017,"Attenuated"
"SL1344_1161","sifA","Type III secretion system effector protein-necessary for Sif formation and maintaining the SCV. Has GAP activity","Chromosome","SPI-2","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Attenuated",-0.621839733635231,6.14726480232717,61.3234302518722,1.21992184248039e-10,8.44221275049833e-09,-2.27299409458647,"Attenuated"
"SL1344_4007","cpxA","two-component sensor kinase protein","Chromosome","-","T","Signal transduction mechanisms","Cellular processes and signaling","Macrophage-SL1344","Amplified",0.462746511089026,8.53459605116239,81.3424004009261,1.28603875312144e-10,8.6718091657613e-09,1.69146490663596,"Amplified"
"SL1344_2194","yejB","hypothetical binding-protein-dependent transporter","Chromosome","-","P","Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.467641252360922,7.07667129813484,61.0984485773515,1.28942083930692e-10,8.6718091657613e-09,-1.70935652308271,"Attenuated"
"SL1344_3886","SL1344_3886","conserved hypothetical protein","Chromosome","-","CG","Energy production and conversion;Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.686542937980301,5.69323696600666,60.0852088172693,1.65710132472354e-10,1.09898039243818e-08,-2.50950198146177,"Attenuated"
"SL1344_1646","topA","DNA topoisomerase I, omega protein I","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","Amplified",0.687241684170458,5.55803188737139,59.8790877854554,1.74434137427744e-10,1.140990419476e-08,2.5120560896635,"Amplified"
"SL1344_0753","galE","UDP-glucose 4-epimerase","Chromosome","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Macrophage-SL1344","Amplified",1.28320934737273,8.85463603005386,312.738925434689,1.87805242441565e-10,1.21185139548442e-08,4.69048069933613,"Amplified"
"SL1344_4298","hflC","HflC protein","Chromosome","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.835327377789272,6.3249750386868,83.0336178113781,3.07594225155307e-10,1.94333699846285e-08,-3.05334975245436,"Attenuated"
"SL1344_3885","wzxE","hypothetical lipopolysaccharide biosynthesis protein","Chromosome","-","U","Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-2.1993044326843,2.6447532387022,57.6030627458322,3.09305993472621e-10,1.94333699846285e-08,-8.03905848612379,"Attenuated"
"SL1344_1153","mfd","transcription-repair coupling factor (TrcF)","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","Attenuated",-0.375178650947807,7.87846236235029,54.7075773723326,7.25792288141912e-10,4.50085477386705e-08,-1.37138045688075,"Attenuated"
"SL1344_3884","rffA","lipopolysaccharide biosynthesis protein","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-1.02971396176331,4.52042252947935,53.6977738660513,8.49689063920955e-10,5.20162215413148e-08,-3.7638858175219,"Attenuated"
"SL1344_2051","hisB","bifunctional histidine biosynthesis protein (imidazoleglycerol-phosphate dehydratase; histidinol phosphatase)","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Amplified",0.562821369232624,6.43594681462745,54.9289300373485,9.68873635672062e-10,5.85616659535961e-08,2.05726585063034,"Amplified"
"SL1344_3677","rfaF","ADP-heptose-LPS heptosyltransferase II","Chromosome","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-2.34867280279853,2.69438956724673,54.4823255401399,1.07806891591065e-09,6.43472384184169e-08,-8.58504068189452,"Attenuated"
"SL1344_3710","recG","ATP-dependent DNA helicase","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","Attenuated",-0.881381562245113,6.33892752884132,84.3457946816938,1.20814280797285e-09,7.12207642971649e-08,-3.22169037727607,"Attenuated"
"SL1344_3295","yhbJ","conserved hypothetical protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Attenuated",-1.04877731157351,4.32573409845245,51.7978560761842,1.4078581922515e-09,8.19819861951328e-08,-3.83356756861926,"Attenuated"
"SL1344_3146","sufI","SufI protein","Chromosome","-","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.375679733610126,7.5908693853542,50.4398902067343,2.03110917259492e-09,1.16849955411334e-07,-1.37321205089242,"Attenuated"
"SL1344_3451","dam","DNA adenine methylase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-1.16032960423806,4.45403851553013,55.7912846797991,2.07318839440554e-09,1.17850887896267e-07,-4.241321671082,"Attenuated"
"SL1344_2337","truA","tRNA pseudouridine synthase A","Chromosome","-","J","Translation, ribosomal structure and biogenesis","Information storage and processing","Macrophage-SL1344","Attenuated",-0.86849575107758,4.75041369685787,50.1569145784577,2.19363016129393e-09,1.23230400237394e-07,-3.17458921743777,"Attenuated"
"SL1344_1818","eda","KHG/KDPG aldolase","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.701389100432129,5.25162440945222,50.0874723318662,2.23553299674899e-09,1.24124070459028e-07,-2.56376876075392,"Attenuated"
"SL1344_0400","tgt","queuine tRNA-ribosyltransferase; tRNA-guanine transglycosylase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.602059239611243,5.82191059974178,49.915103041578,2.34316435791057e-09,1.28470828860492e-07,-2.20069098548521,"Attenuated"
"SL1344_1351","ssaP","Type III secretion system apparatus","Chromosome","SPI-2","-","no category","no theme","Macrophage-SL1344","Attenuated",-0.562444095870209,6.18629085108183,49.8770659313718,2.36762993502059e-09,1.28470828860492e-07,-2.05588681343083,"Attenuated"
"SL1344_4093","rpoC","DNA-directed RNA polymerase, beta'-subunit","Chromosome","-","K","Transcription","Information storage and processing","Macrophage-SL1344","Amplified",0.401297310247451,7.46198456374066,49.796497215994,2.70883360571099e-09,1.45333488396292e-07,1.46685129146307,"Amplified"
"SL1344_4070","argE","acetylornithine deacetylase","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.378542790951661,7.84126088929302,51.4462886860622,3.15157530814658e-09,1.67208578848888e-07,-1.38367730757798,"Attenuated"
"SL1344_P1_0061","SL1344_P1_0061","putative carbonic anhydrase","pSLT","-","P","Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","Amplified",0.330100732873036,8.79607093742376,52.225484581171,3.43331311324774e-09,1.80154616656681e-07,1.20660835236883,"Amplified"
"SL1344_P1_0062","rlgA","putative resolvase","pSLT","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","Amplified",0.349845044092991,7.84657484358823,48.4425152334146,3.51291514100025e-09,1.82053237632495e-07,1.27877920343728,"Amplified"
"SL1344_0247","yaeE","hypothetical ABC transporter permease protein","Chromosome","-","P","Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","Amplified",0.335723486688208,7.98981171926466,48.4089312596328,3.54574892142869e-09,1.82053237632495e-07,1.22716105353266,"Amplified"
"SL1344_4452","yjiS","conserved hypothetical protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","Amplified",0.432708607073443,6.89052339391148,48.2883913601666,3.66623668834391e-09,1.86237023264279e-07,1.58166816199561,"Amplified"
"SL1344_3874","rhlB","hypothetical ATP-dependent RNA helicase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Amplified",0.383786884468963,7.37907857891984,46.3493968205523,6.31042750560047e-09,3.17182014097287e-07,1.40284590191435,"Amplified"
"SL1344_3093","SL1344_3093","conserved hypothetical protein","Chromosome","SPI-13","I","Lipid transport and metabolism","Metabolism","Macrophage-SL1344","Amplified",0.319878248525877,8.04349085937182,46.0653542932858,6.83897288623937e-09,3.39360161615335e-07,1.16924237960079,"Amplified"
"SL1344_4391","pyrB","aspartate carbamoyltransferase catalytic subunit","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","Attenuated",-0.737249282790082,6.36412778061345,65.1143023942287,6.89380851867801e-09,3.39360161615335e-07,-2.69484752320919,"Attenuated"
"SL1344_2323","hisJ","histidine-binding periplasmic protein","Chromosome","-","ET","Amino acid transport and metabolism;Signal transduction mechanisms","Metabolism;Cellular processes and signaling","Macrophage-SL1344","Attenuated",-0.629943557017066,5.61094161752262,45.8438515237261,7.28284435420232e-09,3.54852875421593e-07,-2.30261578277098,"Attenuated"
