"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore","DE"
"ncRNA0164","STnc440","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.962704553728378,-0.116334305021971,-0.0512599231790147,"FDR>=0.05"
"ncRNA0167","STnc470","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.917196047890508,-0.206696432951915,-0.091075829029885,"FDR>=0.05"
"ncRNA0199","STnc780","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.853366601264498,-0.31762285943113,-0.139952900146382,"FDR>=0.05"
"ncRNA0207","STnc880","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.942266057375502,0.199987989130423,0.0881199140495577,"FDR>=0.05"
"ncRNA0224","STnc1150","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.0736566318924486,1.42292526666216,0.626977913735815,"FDR>=0.05"
"ncRNA0255","STnc1590","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.6041560791722,1.72511099362187,0.760128811459612,"FDR>=0.05"
"ncRNA0256","STnc1600","non-coding","Chromosome",NA,"no category","no theme","Balb/c",0.992667710148834,-0.0136398167942701,-0.00601005834794881,"FDR>=0.05"
"SL1344_0002","thrA","ACT domain","Chromosome","E","Amino acid transport and metabolism","Metabolism","Balb/c",0.162557525283767,-1.61467473937156,-0.711467722987214,"FDR>=0.05"
"SL1344_0004","thrC","Threonine synthase N terminus","Chromosome","E","Amino acid transport and metabolism","Metabolism","Balb/c",0.424589681462566,0.858528618996146,0.378290058537906,"FDR>=0.05"
"SL1344_0006","yaaJ","Sodium:alanine symporter family","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.848823932031549,0.372164734359917,0.163985470060829,"FDR>=0.05"
"SL1344_0007","talB","Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Balb/c",0.825652225579979,0.556567915643863,0.245238312073301,"FDR>=0.05"
"SL1344_0008","mog","Probable molybdopterin binding domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Balb/c",0.0165395585770302,-1.64567073801338,-0.725125366869098,"Attenuated"
"SL1344_0010","htgA","Domain of unknown function (DUF3944)","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",0.212852988709165,-1.0441988853162,-0.460101211201737,"FDR>=0.05"
"SL1344_0011","yaaI","Protein of unknown function (DUF2541)","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",0.893828654821665,0.341763059330964,0.150589700634062,"FDR>=0.05"
"SL1344_0014","SL1344_0014","Bacterial regulatory helix-turn-helix protein, lysR family","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.126575674540864,1.29428534456749,0.570295815337738,"FDR>=0.05"
"SL1344_0015","SL1344_0015","LydA holin phage, holin superfamily III","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",0.816754148648157,-0.361844414983839,-0.159438068687685,"FDR>=0.05"
"SL1344_0016","SL1344_0016","Predicted Peptidoglycan domain","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",0.855226998683762,0.914642259200761,0.403015189148694,"FDR>=0.05"
"SL1344_0017","SL1344_0017","Transcriptional regulatory protein, C terminal","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.890611523694052,-0.264430037586165,-0.11651475813889,"FDR>=0.05"
"SL1344_0018","chiA","Glyco_18","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.272083243381461,-1.43521750819711,-0.632394195344756,"FDR>=0.05"
"SL1344_0019","SL1344_0019","chitinase","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",0.671326317719572,-0.550595210802779,-0.24260658284032,"FDR>=0.05"
"SL1344_0020","SL1344_0020","Winged helix-turn-helix DNA binding","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Balb/c",0.90040970333123,-0.24191662563527,-0.106594762769661,"FDR>=0.05"
"SL1344_0021","bcfA","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.735781380361545,0.515271413575693,0.227041998241568,"FDR>=0.05"
"SL1344_0022","bcfB","Pili assembly chaperone PapD, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Balb/c",0.917113324143477,0.253281437447872,0.111602394700311,"FDR>=0.05"
"SL1344_0023","bcfC","PapC C-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.850242398008563,-0.526965077409834,-0.232194530933503,"FDR>=0.05"
"SL1344_0024","bcfD","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.633769107930274,-0.586712130848938,-0.258520637999536,"FDR>=0.05"
"SL1344_0026","bcfF","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.779295324516352,-0.549619504463626,-0.242176661227939,"FDR>=0.05"
"SL1344_0027","bcfG","Pili assembly chaperone PapD, C-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.198857525123159,1.13585271023601,0.500486272371484,"FDR>=0.05"
"SL1344_0029","SL1344_0029","-","Chromosome","-","no category","no theme","Balb/c",0.912677801879077,-0.225959593838454,-0.0995636791704132,"FDR>=0.05"
"SL1344_0030","SL1344_0030","Transcriptional regulatory protein, C terminal","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.413580141211062,0.882459066768275,0.388834436777902,"FDR>=0.05"
"SL1344_0031","SL1344_0031","Bacterial regulatory helix-turn-helix protein, lysR family","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.461502745191963,0.828434457550074,0.365029787600875,"FDR>=0.05"
"SL1344_0032","SL1344_0032","Transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.853182875172163,0.359704996753192,0.158495385322447,"FDR>=0.05"
"SL1344_0033","SL1344_0033","Arylsulfotransferase Ig-like domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Balb/c",0.0827882931751411,1.43136680069952,0.630697473380637,"FDR>=0.05"
"SL1344_0034","SL1344_0034","Belongs to the 5'-nucleotidase family","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Balb/c",0.674378935695075,0.854093183743251,0.376335690303309,"FDR>=0.05"
"SL1344_0035","SL1344_0035","Nucleoside-specific channel-forming protein, Tsx","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",0.0145880229054666,1.72888887567591,0.761793444637529,"Amplified"
"SL1344_0036","SL1344_0036","Type I phosphodiesterase / nucleotide pyrophosphatase","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Balb/c",0.760019490654987,-0.632914091845045,-0.278878424732633,"FDR>=0.05"
"SL1344_0037","SL1344_0037","Iron-sulfur cluster-binding domain","Chromosome","C","Energy production and conversion","Metabolism","Balb/c",0.559566537691666,0.736276220360075,0.324422469254145,"FDR>=0.05"
"SL1344_0038","SL1344_0038","Transposase","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Balb/c",0.615673887371894,0.650675774033789,0.286704684272784,"FDR>=0.05"
"SL1344_0039","SL1344_0039","Arylsulfotransferase Ig-like domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Balb/c",0.318003595441504,1.30321986250664,0.574232596522926,"FDR>=0.05"
"SL1344_0040","nhaA",") H( ) antiporter that extrudes sodium in exchange for external protons","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Balb/c",1.74e-05,-2.43786815515556,-1.07418817115243,"Attenuated"
"SL1344_0042","SL1344_0042","Glycosyl hydrolases family 31","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.295028008551775,-0.955744496585052,-0.421125904903659,"FDR>=0.05"
"SL1344_0043","SL1344_0043","MFS/sugar transport protein","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Balb/c",0.298994104932307,1.02067163916852,0.44973449409352,"FDR>=0.05"
"SL1344_0049","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.530292504091857,-0.671261527049753,-0.295775302934933,"FDR>=0.05"
"SL1344_0051","SL1344_0051","-","Chromosome","-","no category","no theme","Balb/c",0.686457801868989,-0.525199880123077,-0.231416739057771,"FDR>=0.05"
"SL1344_0052","rihC","Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.758176163476917,-0.440760190609631,-0.194210413744687,"FDR>=0.05"
"SL1344_0053","citB2","Transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.999570634714396,0.0392598157992637,0.017298896843132,"FDR>=0.05"
"SL1344_0054","citA2","Single cache domain 3","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Balb/c",0.00974101169492949,1.76925466414152,0.779579661827864,"Amplified"
"SL1344_0055","SL1344_0055","Catalyzes the formation of pyruvate from oxaloacetate","Chromosome","C","Energy production and conversion","Metabolism","Balb/c",0.934796569118855,0.213030047408301,0.0938665844344798,"FDR>=0.05"
"SL1344_0058","SL1344_0058","Uptake of citrate across the boundary membrane with the concomitant uptake of a sodium ion (symport system)","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.718765585080139,0.541379574397408,0.238545933540908,"FDR>=0.05"
"SL1344_0059","citC2","Acetylation of prosthetic group (2-(5''-phosphoribosyl)- 3'-dephosphocoenzyme-A) of the gamma subunit of citrate lyase","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Balb/c",0.91759856428355,-0.211538408962572,-0.0932093297053223,"FDR>=0.05"
"SL1344_0061","citE2","C-C_Bond_Lyase of the TIM-Barrel fold","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.947386260547473,-0.217401491266686,-0.0957927563948476,"FDR>=0.05"
"SL1344_0062","citF2","Citrate lyase, alpha subunit (CitF)","Chromosome","C","Energy production and conversion","Metabolism","Balb/c",0.365622103876161,0.926080552675288,0.408055199012444,"FDR>=0.05"
"SL1344_0064","citG2","ATP:dephospho-CoA triphosphoribosyl transferase","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Balb/c",0.427393113049434,0.877509282761444,0.386653433092919,"FDR>=0.05"
"SL1344_0066A","SL1344_0066A","hypothetical viral protein (pseudogene)","Chromosome",NA,"no category","no theme","Balb/c",0.653601707235522,-0.558898351146122,-0.246265162620927,"FDR>=0.05"
"SL1344_0067","carA","Carbamoyl-phosphate synthase small chain, CPSase domain","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Balb/c",6.73e-11,-3.55354593898913,-1.56578484576222,"Attenuated"
"SL1344_0068","carB","Carbamoyl-phosphate synthetase large chain, oligomerisation domain","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Balb/c",1.23e-17,-4.87317624939599,-2.14724831282278,"Attenuated"
"SL1344_0071","caiD","Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Balb/c",0.862446270117149,-0.301317600555328,-0.132768378631171,"FDR>=0.05"
"SL1344_0072","caiC","Could catalyze the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle","Chromosome","IQ","Lipid transport and metabolism;Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Balb/c",0.811067846227154,-0.381095920176398,-0.167920783026027,"FDR>=0.05"
"SL1344_0073","caiB","Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl- CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl- CoA or L-carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA","Chromosome","C","Energy production and conversion","Metabolism","Balb/c",0.617350279092543,-0.598362610483996,-0.263654142609195,"FDR>=0.05"
"SL1344_0075","caiT","Catalyzes the exchange of L-carnitine for gamma- butyrobetaine and related betaines","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Balb/c",0.845985611216481,-0.341055104129406,-0.150277757142938,"FDR>=0.05"
"SL1344_0076","fixA","Required for anaerobic carnitine reduction. May bring reductant to CaiA","Chromosome","C","Energy production and conversion","Metabolism","Balb/c",0.919377855062692,0.248680538413669,0.109575118816356,"FDR>=0.05"
"SL1344_0077","fixB","Required for anaerobic carnitine reduction. May bring reductant to CaiA","Chromosome","C","Energy production and conversion","Metabolism","Balb/c",0.662526811774851,0.603332526170351,0.265844016836239,"FDR>=0.05"
"SL1344_0078","fixC","part of an electron transfer system required for anaerobic carnitine reduction","Chromosome","C","Energy production and conversion","Metabolism","Balb/c",0.780436742709716,0.933268956751026,0.411222596975001,"FDR>=0.05"
"SL1344_0079","fixX","Could be a 3Fe-4S cluster-containing protein","Chromosome","C","Energy production and conversion","Metabolism","Balb/c",0.852515496256785,0.35598455937561,0.156856063764363,"FDR>=0.05"
"SL1344_0080","yaaU","Sugar (and other) transporter","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.836032566057258,-0.339947345853756,-0.149789650009792,"FDR>=0.05"
"SL1344_0082","SL1344_0082","-","Chromosome","-","no category","no theme","Balb/c",0.410458871498664,0.883081465938946,0.389108682054644,"FDR>=0.05"
"SL1344_0083","SL1344_0083","Protein of unknown function (DUF1471)","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",0.973153460826109,0.108078885539583,0.0476223704520024,"FDR>=0.05"
"SL1344_0083A","SL1344_0083A","hypothetical membrane protein (pseudogene)","Chromosome",NA,"no category","no theme","Balb/c",0.83120243548357,0.420495740692061,0.185281369591774,"FDR>=0.05"
"SL1344_0084","SL1344_0084","Sulfatase","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Balb/c",0.452672742497876,-0.788892046397658,-0.347606371888691,"FDR>=0.05"
"SL1344_0087","kefC","Pore-forming subunit of a potassium efflux system that confers protection against electrophiles. Catalyzes K( ) H( ) antiport","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Balb/c",0.917196047890508,0.329199709634343,0.145053961711667,"FDR>=0.05"
"SL1344_0089","apaH","Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Balb/c",1.3e-28,-15,-6.6093904763518,"Attenuated"
"SL1344_0090","apaG","ApaG domain","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Balb/c",0.78104792406561,-0.431528065603962,-0.190142499138756,"FDR>=0.05"
"SL1344_0092","pdxAa","Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP)","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Balb/c",0.850242398008563,0.484878902742425,0.21365026679798,"FDR>=0.05"
"SL1344_0093","surA","Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Balb/c",6.89e-29,-7.23718064982426,-3.18889019083907,"Attenuated"
"SL1344_0095","djlA","Regulatory DnaK co-chaperone. Direct interaction between DnaK and DjlA is needed for the induction of the wcaABCDE operon, involved in the synthesis of a colanic acid polysaccharide capsule, possibly through activation of the RcsB RcsC phosphotransfer signaling pathway. The colanic acid capsule may help the bacterium survive conditions outside the host","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Balb/c",0.262286755827161,-0.997779784419672,-0.439647746975982,"FDR>=0.05"
"SL1344_0097","hepA","Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.120527619010983,-1.17929074487668,-0.519626201202516,"FDR>=0.05"
"SL1344_0098","polB","DNA polymerase type-B family","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Balb/c",0.844206740151881,-0.515742111388004,-0.227249399950763,"FDR>=0.05"
"SL1344_0099","SL1344_0099","DUF218 domain","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",0.911756713079698,0.596418787097431,0.262797643423937,"FDR>=0.05"
"SL1344_0101","araD","Class II Aldolase and Adducin N-terminal domain","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.851699630673968,-0.326295098631021,-0.143774114491476,"FDR>=0.05"
"SL1344_0102","araA","Catalyzes the conversion of L-arabinose to L-ribulose","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.970323665526161,-0.082265907148793,-0.0362485002158449,"FDR>=0.05"
"SL1344_0103","araB","FGGY family of carbohydrate kinases, C-terminal domain","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Balb/c",0.698383952448427,0.591198545862983,0.260497469243989,"FDR>=0.05"
"SL1344_0104","araC","AraC-like ligand binding domain","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.945291812687362,0.249614964288148,0.109986851181399,"FDR>=0.05"
"SL1344_0105","yabI","SNARE associated Golgi protein","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",1,0.0147368089887376,0.00649342166546519,"FDR>=0.05"
"SL1344_0106","thiQ","Part of the ABC transporter complex ThiBPQ involved in thiamine import. Responsible for energy coupling to the transport system","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Balb/c",0.0843435310909682,1.37666900943825,0.606596202671322,"FDR>=0.05"
"SL1344_0108","tbpA","Bacterial extracellular solute-binding protein","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Balb/c",0.741891541087519,0.50613623380953,0.223016800231818,"FDR>=0.05"
"SL1344_0109","yabN","Activates the small RNA gene sgrS under glucose- phosphate stress conditions as well as yfdZ. Represses its own transcription under both stress and non-stress conditions. Might act as a sensor of the intracellular accumulation of phosphoglucose by binding these molecules in its C-terminal solute-binding domain","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.981619093465114,-0.0526817912707123,-0.0232129686334533,"FDR>=0.05"
"SL1344_0110","leuD","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","Chromosome","E","Amino acid transport and metabolism","Metabolism","Balb/c",0.603653244669787,0.686086951458259,0.302307770861164,"FDR>=0.05"
"SL1344_0111","leuC","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","Chromosome","E","Amino acid transport and metabolism","Metabolism","Balb/c",0.328257537444489,-0.923106893669749,-0.406744927445035,"FDR>=0.05"
"SL1344_0112","leuB","Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate","Chromosome","CE","Energy production and conversion;Amino acid transport and metabolism","Metabolism","Balb/c",0.772742710487692,0.507719659661728,0.223714498881653,"FDR>=0.05"
"SL1344_0113","leuA","Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)","Chromosome","E","Amino acid transport and metabolism","Metabolism","Balb/c",0.689379477588953,0.597417084728714,0.263237519347721,"FDR>=0.05"
"SL1344_0115","leuO","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.630015369899219,0.640264777685528,0.282117328265215,"FDR>=0.05"
"SL1344_0116","ilvI","Thiamine pyrophosphate enzyme, central domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Balb/c",0.914105019273358,0.256662852329629,0.113092334121383,"FDR>=0.05"
"SL1344_0118","fruR","Bacterial regulatory proteins, lacI family","Chromosome","K","Transcription","Information storage and processing","Balb/c",4.01e-13,-4.56592891192705,-2.011867137746,"Attenuated"
"SL1344_0136","secA","Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",1.03e-42,-15,-6.6093904763518,"Attenuated"
"SL1344_0137","mutT","NUDIX domain","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Balb/c",0.966077246723419,0.146345354895797,0.0644835729937736,"FDR>=0.05"
"SL1344_0139","yacF","Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity","Chromosome","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","Balb/c",0.786861048667086,-0.401810142716153,-0.177048008704647,"FDR>=0.05"
"SL1344_0141","guaC","Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Balb/c",0.5466699733385,-0.664751086412902,-0.29290663331213,"FDR>=0.05"
"SL1344_0142","pilC","Type II secretion system (T2SS), protein F","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.619992881939582,0.66426276316877,0.292691465378853,"FDR>=0.05"
"SL1344_0143","pilB","Type II secretion system (T2SS), protein E, N-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.936147895016002,0.248821757557435,0.109637343647282,"FDR>=0.05"
"SL1344_0144","pilA","Prokaryotic N-terminal methylation motif","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.512318220545296,0.769848465579606,0.339215274442393,"FDR>=0.05"
"SL1344_0145","nadC","Quinolinate phosphoribosyl transferase, C-terminal domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Balb/c",0.606646957997131,2.05424031521084,0.905151758366163,"FDR>=0.05"
"SL1344_0146","ampD","N-acetylmuramoyl-L-alanine amidase","Chromosome","V","Defense mechanisms","Cellular processes and signaling","Balb/c",0.966670616760293,0.284780034102484,0.12548149635014,"FDR>=0.05"
"SL1344_0147","ampE","Regulatory signalling modulator protein AmpE","Chromosome","V","Defense mechanisms","Cellular processes and signaling","Balb/c",0.83120243548357,0.407935306557936,0.179746915342112,"FDR>=0.05"
"SL1344_0148","SL1344_0148","Glycosyl hydrolases family 43","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.414433307529686,-0.792724059119066,-0.349294856447766,"FDR>=0.05"
"SL1344_0149","SL1344_0149","MFS/sugar transport protein","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Balb/c",0.804380705990339,0.430291028926849,0.189597428576582,"FDR>=0.05"
"SL1344_0150","aroP","Amino acid permease","Chromosome","E","Amino acid transport and metabolism","Metabolism","Balb/c",0.921096609158116,0.735271145633404,0.323979607165713,"FDR>=0.05"
"SL1344_0151","pdhR","Pyruvate dehydrogenase complex repressor","Chromosome","K","Transcription","Information storage and processing","Balb/c",1.2e-05,-2.86739862855706,-1.26345047916595,"Attenuated"
"SL1344_0155","SL1344_0155","-","Chromosome","-","no category","no theme","Balb/c",0.949308103946284,-0.142308654141694,-0.0627048975591036,"FDR>=0.05"
"SL1344_0156","SL1344_0156","Protein of unknown function (DUF2950)","Chromosome","N","Cell motility","Cellular processes and signaling","Balb/c",1,0.0128342718802214,0.00565511428906967,"FDR>=0.05"
"SL1344_0157","yacH","Protein of unknown function (DUF3300)","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Balb/c",0.355963729110862,-0.86994341866805,-0.383319716420636,"FDR>=0.05"
"SL1344_0159","acnB","Aconitate B N-terminal domain","Chromosome","C","Energy production and conversion","Metabolism","Balb/c",2.6e-08,-3.41350390321685,-1.50407867926074,"Attenuated"
"SL1344_0162","kdgT","The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Balb/c",0.875489143979318,-0.283449705755027,-0.124895319049466,"FDR>=0.05"
"SL1344_0163","SL1344_0163","Putative nucleotide-binding of sugar-metabolising enzyme","Chromosome","S","Function Unknown","Poorly characterised","Balb/c",0.942126190463283,-0.225508578907603,-0.0993649502511693,"FDR>=0.05"
"SL1344_0164","pdxAb","Belongs to the PdxA family","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Balb/c",0.0221577026081855,-1.49835003172721,-0.660212028662616,"Attenuated"
"SL1344_0165","SL1344_0165","DeoR C terminal sensor domain","Chromosome","K","Transcription","Information storage and processing","Balb/c",0.12455823064284,-1.1748279508187,-0.517659777966201,"FDR>=0.05"
