"locus_tag","logFC","logCPM","F","PValue","FDR","gene_name","gene_function","DNA_molecule","DE","spi","COG","description","theme","SL1344_tag"
"STMMW_29751",-3.22761284714016,6.56279312451072,554.105302338544,1.0576215758582e-09,2.32965188936765e-07,"lysA","diaminopimelate decarboxylase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_2991"
"STMMW_26761",-1.97011621449287,8.06460364059633,547.282497950742,1.12029795482076e-09,2.33925513979112e-07,"clpB","ClpB protein (heat shock protein f84.1)","Chromosome","Attenuated","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","SL1344_2620"
"STMMW_34761",-2.75684571773785,6.80753968737527,541.040778703073,1.18161931137579e-09,2.33925513979112e-07,"aroB","3-dehydroquinate synthase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_3453"
"STMMW_21041",-2.78786218230072,6.88749886979334,538.590724174596,1.20679691487367e-09,2.33925513979112e-07,"hisC","histidinol-phosphate aminotransferase (imidazole)","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_2050"
"STMMW_21061",-4.76745561284366,5.75163393156899,508.334339578321,1.57840497245644e-09,2.84663864213971e-07,"hisH","amidotransferase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_2052"
"STMMW_29531",-3.25428107203228,6.39179879675418,507.806412087385,1.58603473664408e-09,2.84663864213971e-07,"argA","AGS","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_2970"
"STMMW_39501",-2.22017169118592,7.34616835013071,502.601307360492,1.66370524505843e-09,2.87939843484041e-07,"fre","flavin reductase","Chromosome","Attenuated","-","C","Energy production and conversion","Metabolism","SL1344_3933"
"STMMW_29211",1.06843065600673,9.81627486285095,457.136740927245,2.58215417683795e-09,4.31486866929541e-07,"barA","sensor protein","Chromosome","Amplified","-","T","Signal transduction mechanisms","Cellular processes and signaling","SL1344_2939"
"STMMW_44151",-3.3043269828072,5.97665134929677,438.777103084469,3.12186793184637e-09,5.04285733257584e-07,"argI","ornithine carbamoyltransferase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_4399"
"STMMW_25821",-2.52911264579749,7.93633914986541,488.230818789014,3.25069852287512e-09,5.08157581995253e-07,"purG","FGAM synthase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_2527"
"STMMW_18341",-2.40443999491118,6.60357360043512,420.914578833911,3.78380011350298e-09,5.58390571938988e-07,"prc","tail-specific protease precursor","Chromosome","Attenuated","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","SL1344_1774"
"STMMW_33941",-2.20546822440695,7.32373278729385,420.466267710968,3.80249460874672e-09,5.58390571938988e-07,"STMMW_33941","shikimate dehydrogenase","Chromosome","Attenuated",NA,"E","Amino acid transport and metabolism","Metabolism","SL1344_3368"
"STMMW_14191",-2.12519827460578,6.80526696743078,416.95912934087,3.95267145415864e-09,5.63371937260376e-07,"ssaV","putative type III secretion protein","Chromosome","Attenuated","SPI-2","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","SL1344_1348"
"STMMW_25161",-4.64805003418411,5.37146718138207,407.202916210747,4.40987542303974e-09,6.10578751430017e-07,"purM","AIR synthase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_2462"
"STMMW_21071",-4.27270604719047,5.67878212063567,402.354075222333,4.66088186829093e-09,6.27406487048274e-07,"hisA","1-5-phosphoribosyl-5-[5-phosphoribosylaminometh yl ideneamino] imidazole-4-carboxamide isomerase EC 5.3.1.16","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_2053"
"STMMW_34921",-1.03291098415332,8.99217054014402,379.912205172614,6.07530431512153e-09,7.95700667866998e-07,"ompR","two-component response regulator OmpR","Chromosome","Attenuated","-","K","Transcription","Information storage and processing","SL1344_3469"
"STMMW_10711",-4.3294081255689,5.79887479378927,371.08275591262,6.77151346763506e-09,8.63546164846303e-07,"pyrD","dihydroorotate dehydrogenase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_0998"
"STMMW_30021",-1.57601716461207,7.6102680096719,365.575334661295,7.25494086752932e-09,9.0147290882172e-07,"recJ","single-stranded DNA-specific exonuclease","Chromosome","Attenuated","-","L","Replication, recombination and repair ","Information storage and processing","SL1344_3018"
"STMMW_01921",-4.44083684748462,5.51795030604868,355.600852883329,8.24162005016688e-09,9.98472269077718e-07,"dksA","dosage-dependent dnaK suppressor protein","Chromosome","Attenuated","-","K","Transcription","Information storage and processing","SL1344_0187"
"STMMW_12401",-3.49742403791693,6.35757064871946,368.08375321323,9.85557239784009e-09,1.158893030905e-06,"phoQ","sensor protein PhoQ, regulator of virulence determinants","Chromosome","Attenuated","-","T","Signal transduction mechanisms","Cellular processes and signaling","SL1344_1168"
"STMMW_38781",-0.88052982486888,9.34594910995575,339.760792626524,1.0166065894748e-08,1.158893030905e-06,"ilvE","branched-chain amino-acid aminotransferase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_3863"
"STMMW_38391",-2.01738279378054,6.95114856987692,338.916172070736,1.02832027092272e-08,1.158893030905e-06,"pstB","phosphate transport ATP-binding protein","Chromosome","Attenuated","-","P","Inorganic ion transport and metabolism","Metabolism","SL1344_3821"
"STMMW_05461",-2.14894833751198,6.99256592697614,323.935154106183,1.26603793393904e-08,1.39436814269741e-06,"acrA","acriflavin resistance protein A precursor","Chromosome","Attenuated","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","SL1344_0469"
"STMMW_39201",-3.22700416529803,5.84315318597349,306.046539286309,1.64354999819495e-08,1.7375031249642e-06,"xerC","integrase/recombinase","Chromosome","Attenuated","-","L","Replication, recombination and repair ","Information storage and processing","SL1344_3903"
"STMMW_38411",-1.37842048731812,7.73264788454841,305.813731868367,1.64930135675512e-08,1.7375031249642e-06,"pstC","phosphate transport system permease protein","Chromosome","Attenuated","-","P","Inorganic ion transport and metabolism","Metabolism","SL1344_3823"
"STMMW_38581",-2.70948957874144,5.91343005645117,295.629468885932,1.9265919871062e-08,1.98643931266311e-06,"gidA","glucose inhibited division protein","Chromosome","Attenuated","-","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","SL1344_3841"
"STMMW_35221",-0.774812216550857,9.60808935107898,284.846777829714,2.28430175266287e-08,2.30619297779256e-06,"STMMW_35221","putative IclR-family transcriptional regulator","Chromosome","Attenuated",NA,"K","Transcription","Information storage and processing","SL1344_3500"
"STMMW_01641",-1.77211150260141,7.19958574406547,275.117732904654,2.678309351934e-08,2.6487932896882e-06,"acnB","aconitate hydratase 2 (citrate hydro-lyase 2)","Chromosome","Attenuated","-","C","Energy production and conversion","Metabolism","SL1344_0159"
"STMMW_33461",-2.45668326646904,6.42913171458927,271.121829911577,2.86374016857802e-08,2.77553697138582e-06,"yhcB","conserved hypothetical protein","Chromosome","Attenuated","-","S","Function Unknown","Poorly characterised","SL1344_3319"
"STMMW_38911",-2.93659391365414,5.82104462182738,267.729741547621,3.03348019449949e-08,2.88240098481265e-06,"trxA","thioredoxin","Chromosome","Attenuated","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","SL1344_3875"
"STMMW_34021",-2.57032828273411,5.80634935517617,265.233101217707,3.16624210358005e-08,2.95069408345171e-06,"sapG","potassium transport protein","Chromosome","Attenuated","-","P","Inorganic ion transport and metabolism","Metabolism","SL1344_3376"
"STMMW_34371",-1.87883392060819,6.95138787679472,259.605134451377,3.49228018324953e-08,3.19313014491079e-06,"tufA","elongation factor Tu","Chromosome","Attenuated","-","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","STMMW_34371"
"STMMW_23451",-1.64416551270161,7.00875702779942,257.311859804454,3.63672206945772e-08,3.26362132381335e-06,"nuoG","NADH dehydrogenase I chain G","Chromosome","Attenuated","-","C","Energy production and conversion","Metabolism","SL1344_2292"
"STMMW_39221",-0.764280348992096,9.46242353348177,254.666211611822,3.81245932513249e-08,3.30655952879568e-06,"uvrD","DNA helicase II","Chromosome","Attenuated","-","L","Replication, recombination and repair ","Information storage and processing","SL1344_3905"
"STMMW_40901",-1.75163057147001,6.67323241411179,254.540914494499,3.82103453595869e-08,3.30655952879568e-06,"udhA","possible pyridine nucleotide-disulphide oxidoreductase","Chromosome","Attenuated","-","C","Energy production and conversion","Metabolism","SL1344_4075"
"STMMW_33481",-2.06541339739571,6.18339707803731,248.686165124492,4.24913375050813e-08,3.6125091499934e-06,"degS","serine protease","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_3321"
"STMMW_23411",-1.38595529166607,7.45922355649421,243.698421315229,4.66042884877925e-08,3.88065643593442e-06,"nuoL","NADH dehydrogenase I chain L","Chromosome","Attenuated","-","CP","Energy production and conversion;Inorganic ion transport and metabolism","Metabolism","SL1344_2287"
"STMMW_41281",-4.13892049128717,7.71566585886695,584.71981549658,4.78848179492929e-08,3.88065643593442e-06,"purD","phosphoribosylglycineamide synthetase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_4114"
"STMMW_39561",-2.2677651837067,6.21120112002474,242.073077953371,4.80477478654695e-08,3.88065643593442e-06,"trkH","Trk system potassium uptake protein","Chromosome","Attenuated","-","P","Inorganic ion transport and metabolism","Metabolism","SL1344_3939"
"STMMW_25051",-2.96988836387376,5.23344692044034,237.047366164994,5.28670075453628e-08,4.16051819007442e-06,"purC","SAICAR synthetase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_2450"
"STMMW_40991",-1.72794429524687,6.55406926443366,236.69156637743,5.32299066827515e-08,4.16051819007442e-06,"tufB","elongation factor Tu","Chromosome","Attenuated","-","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","STMMW_40991"
"STMMW_11041",0.667973080915417,9.47917430314357,217.722012853135,7.78278142334228e-08,5.98428151290697e-06,"pipD","(pseudogene)","Chromosome","Amplified","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","SL1344_1033"
"STMMW_39011",-1.42580222907215,6.94765898490174,216.986326635343,7.90330203933235e-08,5.98428151290697e-06,"wzxE","putative lipopolysaccharide biosynthesis protein","Chromosome","Attenuated","-","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","SL1344_3885"
"STMMW_01691",-1.33427987808804,7.65568944697985,214.952907873537,8.24837713222907e-08,6.06168531184524e-06,"pdxAb","4-hydroxythreonine-4-phosphate dehydrogenase","Chromosome","Attenuated","-","H","Coenzyme transport and metabolism","Metabolism","SL1344_0164"
"STMMW_06021",-4.80200608809687,4.2722812107688,214.910878167301,8.25570017709009e-08,6.06168531184524e-06,"purE","phosphoribosylaminoimidazole carboxylase catalytic subunit","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_0527"
"STMMW_34911",-0.820979098483206,9.56109741939776,213.559307793769,8.49544830073939e-08,6.14461827841539e-06,"envZ","two-component sensor kinase EnvZ","Chromosome","Attenuated","-","T","Signal transduction mechanisms","Cellular processes and signaling","SL1344_3468"
"STMMW_12411",-3.40832326129864,4.8492457121123,210.184553580979,9.13192251576716e-08,6.43763859834275e-06,"phoP","transcriptional regulatory protein PhoP, regulator of virulence determinants","Chromosome","Attenuated","-","K","Transcription","Information storage and processing","SL1344_1169"
"STMMW_19261",0.8811210191302,8.46947803851257,210.010634781853,9.16626213961308e-08,6.43763859834275e-06,"sirA","invasion response-regulator","Chromosome","Amplified","-","K","Transcription","Information storage and processing","SL1344_1877"
"STMMW_37221",-2.75725228903563,5.70591858379947,205.98694366652,1.00062406315589e-07,6.92717744293351e-06,"pyrE","orotate phosphoribosyltransferase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_3699"
"STMMW_38421",-0.906178746973208,8.30587002168541,198.788873815929,1.17545881818765e-07,8.00696655870663e-06,"pstS","periplasmic phosphate-binding protein","Chromosome","Attenuated","-","P","Inorganic ion transport and metabolism","Metabolism","SL1344_3824"
"STMMW_33681",-1.39661087809986,7.16449433669805,198.262444520083,1.18964422663408e-07,8.00696655870663e-06,"cafA","ribonuclease G","Chromosome","Attenuated","-","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","SL1344_3342"
"STMMW_11711",-2.47377803213009,5.38623966538872,196.852639433765,1.22866781986137e-07,8.15633459595641e-06,"pyrC","DHOase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_1100"
"STMMW_40891",-0.93169680933523,8.5711866853086,195.482920541738,1.26807735947145e-07,8.30419308648469e-06,"oxyR","hydrogen peroxide-inducible regulon activator","Chromosome","Attenuated","-","K","Transcription","Information storage and processing","SL1344_4074"
"STMMW_22581",-3.0651473924041,4.9064046940309,194.697414291228,1.29136934625836e-07,8.34396780262405e-06,"yejM","putative sulphatase","Chromosome","Attenuated","-","S","Function Unknown","Poorly characterised","SL1344_2205"
"STMMW_39231",-1.39252481499785,6.80230100498782,193.011591313972,1.34313272804623e-07,8.56423842120003e-06,"corA","magnesium and cobalt transport protein","Chromosome","Attenuated","-","P","Inorganic ion transport and metabolism","Metabolism","SL1344_3906"
"STMMW_14231",-1.62281970165358,6.79092122069627,190.569101711217,1.42266738160598e-07,8.95356640423709e-06,"ssaQ","putative type III secretion protein","Chromosome","Attenuated","SPI-2","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","SL1344_1352"
"STMMW_44051",-3.32098666125666,5.18371154110755,188.783615993667,1.48443757140856e-07,9.2225441936486e-06,"pyrB","aspartate carbamoyltransferase catalytic subunit","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_4391"
"STMMW_23401",-1.84202846824091,6.54504272352113,186.150201020964,1.58158884258421e-07,9.65807428108849e-06,"nuoM","NADH dehydrogenase I chain M","Chromosome","Attenuated","-","C","Energy production and conversion","Metabolism","SL1344_2286"
"STMMW_00931",-3.70141322646491,4.48168530977283,185.817617675078,1.59439938606496e-07,9.65807428108849e-06,"apaH","bis(5'-nucleosyl)-tetraphosphatase","Chromosome","Attenuated","-","T","Signal transduction mechanisms","Cellular processes and signaling","SL1344_0089"
"STMMW_14061",-1.82965323888174,6.20958641629006,181.598515031979,1.76835820939556e-07,1.05795850404085e-05,"sseD","putative pathogenicity island effector protein","Chromosome","Attenuated","SPI-2","-","no category","no theme","SL1344_1335"
"STMMW_38891",-0.824993735778334,8.44980605894182,172.96297814466,2.20199860786798e-07,1.30132746996686e-05,"gppA","guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (guanosine pentaphosphatase)","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_3873"
"STMMW_09891",-1.44447987860328,6.92596433994789,169.952283679037,2.38282844885738e-07,1.3912273088148e-05,"aroA","3-phosphoshikimate 1-carboxyvinyltransferase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_0915"
"STMMW_38281",-2.41339401066663,5.14486511261302,168.100618796254,2.50300475285072e-07,1.42949480667914e-05,"thdF","thiophene and furan oxidation protein","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_3810"
"STMMW_21031",-2.57605407840435,7.24104643435851,268.230780890933,2.50736810911529e-07,1.42949480667914e-05,"hisD","histidinol dehydrogenase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_2049"
"PBT1-0081",-5.01138256710013,3.61255598113935,162.206953611203,2.93764457234023e-07,1.65193687555362e-05,"PBT1-0081","hypothetical protein","pPBT1","Attenuated",NA,NA,"no category","no theme","PBT1-0081"
"STMMW_38211",-1.10344015217285,7.55045276694179,161.863163731129,2.96571415957831e-07,1.65193687555362e-05,"recF","recF protein","Chromosome","Attenuated","-","L","Replication, recombination and repair ","Information storage and processing","SL1344_3803"
"STMMW_08241",-1.8086454351907,5.90150592538053,159.434414339972,3.17355541025803e-07,1.74761926342164e-05,"gpmA","phosphoglycerate mutase 1","Chromosome","Attenuated","-","G","Carbohydrate transport and metabolism","Metabolism","SL1344_0749"
"STMMW_34731",-2.04851198529219,6.06375239475332,158.915750073585,3.22020260893999e-07,1.75338222954193e-05,"rpe","ribulose-phosphate 3-epimerase","Chromosome","Attenuated","-","G","Carbohydrate transport and metabolism","Metabolism","SL1344_3450"
"STMMW_36931",-2.31746038816927,5.98432653008429,157.13664668638,3.38665265104532e-07,1.8235243052184e-05,"yibP","putative exported protein","Chromosome","Attenuated","-","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","SL1344_3671"
"STMMW_02151",-0.916044891119816,8.48762964815067,156.586364283839,3.44023516321489e-07,1.83201973636696e-05,"htrA","heat shock protein HtrA","Chromosome","Attenuated","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","SL1344_0210"
"STMMW_29571",-3.04685670098258,5.26295296262604,155.672323313249,3.53152753771016e-07,1.86019374431994e-05,"recC","exonuclease V subunit","Chromosome","Attenuated","-","L","Replication, recombination and repair ","Information storage and processing","SL1344_2974"
"STMMW_23591",-2.21286560300153,5.32632773304745,154.517725346255,3.65108073181238e-07,1.90248787380245e-05,"ackA","Acetokinase","Chromosome","Attenuated","-","H","Coenzyme transport and metabolism","Metabolism","SL1344_2306"
"STMMW_40641",-1.27780147124479,7.0552090294796,154.08205258555,3.69746367283266e-07,1.90584689913151e-05,"metJ","repressor of the methionine regulon","Chromosome","Attenuated","-","K","Transcription","Information storage and processing","SL1344_4048"
"STMMW_14171",-1.9607772685142,6.19770926859621,153.723400562274,3.73618356206136e-07,1.90584689913151e-05,"ssaL","putative secretion system protein","Chromosome","Attenuated","SPI-2","S","Function Unknown","Poorly characterised","SL1344_1346"
"STMMW_33221",-1.26675443098584,6.88285387520763,152.787613786056,3.83954826381219e-07,1.93817196733686e-05,"yhbJ","conserved hypothetical protein","Chromosome","Attenuated","-","S","Function Unknown","Poorly characterised","SL1344_3295"
"STMMW_43611",-1.617002264201,6.08080991449418,150.914007799504,4.05711913382992e-07,2.02688652809688e-05,"iolR","putative transcriptional regulator","Chromosome","Attenuated","-","K","Transcription","Information storage and processing","SL1344_4350"
"STMMW_18761",-4.2202888891123,3.85983045738685,143.293374145314,5.11174757735584e-07,2.5277070163129e-05,"ruvA","Holliday junction DNA helicase","Chromosome","Attenuated","-","L","Replication, recombination and repair ","Information storage and processing","SL1344_1829"
"STMMW_25281",-3.32962284111494,5.27492796143531,149.439442091239,5.37775557260194e-07,2.63238419240697e-05,"guaB","inosine-5'-monophosphate dehydrogenase","Chromosome","Attenuated","-","F","Nucleotide transport and metabolism","Metabolism","SL1344_2472"
"STMMW_23441",-1.33950189400722,6.39563159034426,140.942635737061,5.50229186169972e-07,2.66218086880555e-05,"nuoH","NADH dehydrogenase I chain H","Chromosome","Attenuated","-","C","Energy production and conversion","Metabolism","SL1344_2291"
"STMMW_40331",-1.0872914495735,7.14624534578131,140.677931881584,5.54849912813373e-07,2.66218086880555e-05,"STMMW_40331","putative GntR-family regulatory protein","Chromosome","Attenuated",NA,"K","Transcription","Information storage and processing","SL1344_4017"
"STMMW_40711",-0.952101949874197,7.90678133222453,134.513310817444,6.7706678623759e-07,3.21673102559545e-05,"metF","5,10 methylenetetrahydrofolate reductase","Chromosome","Attenuated","-","E","Amino acid transport and metabolism","Metabolism","SL1344_4055"
"STMMW_34601",-0.819245493185511,9.24957257305456,141.060995944367,6.91198671954371e-07,3.25198909154455e-05,"pabA","para-aminobenzoate synthase, glutamine amidotransferase component II","Chromosome","Attenuated","-","EH","Amino acid transport and metabolism;Coenzyme transport and metabolism","Metabolism","SL1344_3436"
"STMMW_13991",-1.80786000891257,5.69637598709228,132.53359565651,7.23083218400083e-07,3.36928968881423e-05,"ssaC","putative outer membrane secretory protein","Chromosome","Attenuated","SPI-2","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","SL1344_1328"
"STMMW_38931",-0.609239792336861,9.01685815328929,131.361096816052,7.52126347992972e-07,3.47124217368947e-05,"rfe","putative undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase","Chromosome","Attenuated","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","SL1344_3877"
"STMMW_38401",-0.905561969335408,7.89253282005165,123.896431536593,9.74214361398597e-07,4.45032267365964e-05,"pstA","phosphate transport system permease protein","Chromosome","Attenuated","-","P","Inorganic ion transport and metabolism","Metabolism","SL1344_3822"
"STMMW_17921",-3.0327831563231,4.58511014389742,123.655114686814,9.82634185063106e-07,4.45032267365964e-05,"ldcA","conserved hypothetical protein","Chromosome","Attenuated","-","V","Defense mechanisms","Cellular processes and signaling","SL1344_1728"
"STMMW_34751",-0.602894878931817,8.86995214408239,121.484814875237,1.06246311418374e-06,4.76731134382814e-05,"damX","DamX protein","Chromosome","Attenuated","-","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","SL1344_3452"
"STMMW_00971",-1.00121832719909,7.18491564357365,120.692273466146,1.09356023085324e-06,4.86182832909614e-05,"surA","survival protein SurA precursor","Chromosome","Attenuated","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","SL1344_0093"
"STMMW_27021",-1.8584273605856,5.8144100723838,117.014522564961,1.25315980095131e-06,5.52073854128188e-05,"smpB","SsrA (tmRNA)-binding protein","Chromosome","Attenuated","-","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","SL1344_2660"
"STMMW_37521",-0.56982374474783,10.3430695072787,116.630501541614,1.2714048082703e-06,5.55065558637644e-05,"mgtB","Magnesium transport ATPase, P-type 2","Chromosome","Attenuated","SPI-3","P","Inorganic ion transport and metabolism","Metabolism","SL1344_3728"
"STMMW_14221",-1.94395591605002,5.48208667681448,113.198142141486,1.44964595429514e-06,6.27230740581631e-05,"ssaP","putative type III secretion protein","Chromosome","Attenuated","SPI-2","-","no category","no theme","SL1344_1351"
"STMMW_34881",-0.577359860174832,8.81073058096701,111.805537589559,1.53052063132616e-06,6.54931354168381e-05,"hslO","heat shock protein","Chromosome","Attenuated","-","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","SL1344_3465"
