locus_tag,gene_name,start,end,strand,read_count,ins_index,gene_length,ins_count,function,call
STMMW_00741,caiB,84181,85398,-1,1244,0.279146141215107,1218,340,L-carnitine dehydratase,not required
STMMW_00751,caiA,85510,86652,-1,1038,0.259842519685039,1143,297,probable carnitine operon oxidoreductase CaiA,not required
STMMW_00761,caiT,86687,88204,-1,1848,0.291172595520422,1518,442,probable carnitine transporter,not required
STMMW_00771,fixA,88685,89455,1,551,0.280155642023346,771,216,FixA protein,not required
STMMW_00781,fixB,89471,90412,1,740,0.233545647558386,942,220,FixB protein,not required
STMMW_00791,fixC,90462,91748,1,799,0.212121212121212,1287,273,FixC protein,not required
STMMW_00801,fixX,91745,92032,1,111,0.142361111111111,288,41,ferredoxin like protein FixX,not required
STMMW_00811,yaaU,92095,93519,1,939,0.195789473684211,1425,279,putative metabolite transport protein,not required
STMMW_00821,STMMW_00821,93575,93838,1,204,0.208333333333333,264,55,putative lipoprotein,not required
STMMW_00841,STMMW_00841,94132,94548,1,650,0.371702637889688,417,155,probable secreted protein,not required
STMMW_00851,STMMW_00851,94772,95062,-1,238,0.285223367697594,291,83,probable secreted protein,not required
STMMW_00861,STMMW_00861,95132,95224,-1,255,0.516129032258065,93,48,,not required
STMMW_00871,STMMW_00871,95272,95466,1,99,0.128205128205128,195,25,putative inner membrane protein,not required
STMMW_00881,STMMW_00881,95960,97849,1,2037,0.332804232804233,1890,629,putative sulfatase,not required
STMMW_00891,STMMW_00891,98054,98119,-1,39,0.166666666666667,66,11,,not required
STMMW_00901,yabF,98256,98786,1,396,0.274952919020716,531,146,putative NAD(P)H oxidoreductase,not required
STMMW_00911,kefC,98779,100641,1,694,0.139559849704777,1863,260,glutathione-regulated potassium-efflux system protein KefC,not required
STMMW_00921,folA,100840,101319,1,274,0.13125,480,63,dihydrofolate reductase type I,not required
STMMW_00931,apaH,101425,102273,-1,32,0.0235571260306243,849,20,bis(5'-nucleosyl)-tetraphosphatase,required
STMMW_00941,apaG,102284,102661,-1,116,0.116402116402116,378,44,CorD protein,not required
STMMW_00951,ksgA,102664,103485,-1,51,0.0425790754257908,822,35,dimethyladenosine transferase,required
STMMW_00961,pdxAa,103482,104471,-1,45,0.0333333333333333,990,33,pyridoxal phosphate biosynthetic protein PdxA,required
STMMW_00971,surA,104471,105757,-1,37,0.0170940170940171,1287,22,survival protein SurA precursor,required
STMMW_00981,imp,105811,108171,-1,19,0.00423549343498518,2361,10,organic solvent tolerance protein precursor,required
STMMW_00991,djlA,108425,109237,1,777,0.286592865928659,813,233,DNAj-like protein,not required
STMMW_01001,rluA,109332,109991,-1,623,0.26969696969697,660,178,ribosomal large subunit pseudouridine synthase A,not required
STMMW_01011,hepA,110003,112909,-1,3656,0.305813553491572,2907,889,probable ATP-dependent helicase HepA,not required
STMMW_01021,polB,113083,115434,-1,1506,0.207057823129252,2352,487,DNA polymerase II,not required
STMMW_01031,STMMW_01031,115478,116098,-1,1282,0.36231884057971,621,225,probable secreted protein,not required
STMMW_01041,STMMW_01041,116193,116252,-1,44,0.15,60,9,,not required
STMMW_01051,STMMW_01051,116300,116602,1,343,0.264026402640264,303,80,putative inner membrane protein,not required
STMMW_01061,STMMW_01061,116817,117236,1,245,0.288095238095238,420,121,hypothetical protein,not required
STMMW_01071,araD,117242,117937,-1,511,0.235632183908046,696,164,L-ribulose-5-phosphate 4-epimerase,not required
STMMW_01081,araA,118078,119580,-1,1109,0.248170326014637,1503,373,L-arabinose isomerase,not required
STMMW_01091,araB,119591,121300,-1,1705,0.280116959064327,1710,479,L-ribulokinase,not required
STMMW_01101,araC,121641,122486,1,655,0.264775413711584,846,224,arabinose operon regulatory protein,not required
STMMW_01111,yabI,122605,123372,1,749,0.27734375,768,213,DedA family integral membrane protein,not required
STMMW_01121,thiQ,123411,124118,-1,642,0.23728813559322,708,168,hypothetical ABC transporter,not required
STMMW_01131,thiP,124102,125712,-1,1514,0.291123525760397,1611,469,putative ABC transporter integral membrane protein,not required
STMMW_01141,tbpA,125688,126671,-1,624,0.234756097560976,984,231,thiamine-binding periplasmic protein precursor,not required
STMMW_01151,yabN,126849,128507,-1,1209,0.229656419529837,1659,381,putative ABC transporter periplasmic solute binding protein,not required
STMMW_01152,sgrT,128600,128722,1,51,0.178861788617886,123,22,hypothetical protein,not required
STMMW_01161,leuD,129058,129663,-1,28,0.037953795379538,606,23,3-isopropylmalate dehydratase small subunit,required
STMMW_01171,leuC,129674,131074,-1,8,0.00428265524625268,1401,6,3-isopropylmalate dehydratase large subunit,required
STMMW_01181,leuB,131077,132168,-1,37,0.0173992673992674,1092,19,3-IPM-DH,required
STMMW_01191,leuA,132168,133739,-1,100,0.0146310432569975,1572,23,2-isopropylmalate synthase,required
STMMW_01201,leuL,133827,133913,-1,26,0.160919540229885,87,14,leu operon leader peptide,not required
STMMW_01211,leuO,134570,135514,1,1404,0.435978835978836,945,412,probable activator protein in leuABCD operon,not required
STMMW_01221,ilvI,135899,137560,1,1513,0.236462093862816,1662,393,acetolactate synthase isozyme III large subunit,not required
STMMW_01231,ilvH,137563,138054,1,253,0.154471544715447,492,76,acetolactate synthase isozyme III small subunit,not required
STMMW_01241,fruR,138338,139342,1,126,0.0656716417910448,1005,66,fructose repressor,ambiguous
STMMW_01251,mraZ,139948,140406,1,738,0.163398692810458,459,75,Protein mraZ,not required
STMMW_01261,mraW,140408,141349,1,137,0.0424628450106157,942,40,S-adenosyl-methyltransferase,required
STMMW_01271,ftsL,141346,141711,1,23,0.0245901639344262,366,9,cell division protein FtsL,required
STMMW_01281,ftsI,141727,143493,1,37,0.00396151669496321,1767,7,penicillin-binding protein 3 precursor,required
STMMW_01291,murE,143480,144967,1,5,0.00268817204301075,1488,4,Meso-diaminopimelate-adding enzyme,required
STMMW_01301,murF,144964,146322,1,11,0.00367917586460633,1359,5,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase",required
STMMW_01311,mraY,146316,147398,1,16,0.00646352723915051,1083,7,UDP-MurNAc-pentapeptide phosphotransferase,required
STMMW_01321,murD,147401,148717,1,7,0.00303720577069096,1317,4,D-glutamic acid adding enzyme,required
STMMW_01331,ftsW,148804,149961,1,0,0,1158,0,cell division protein FtsW,required
STMMW_01341,murG,149958,151025,1,11,0.00468164794007491,1068,5,UDP-N-acetylglucosamine--N-acetylmuramyl-,required
STMMW_01351,murC,151144,152619,1,27,0.00474254742547425,1476,7,UDP-N-acetylmuramate--L-alanine ligase,required
STMMW_01361,ddl,152612,153532,1,509,0.100977198697068,921,93,D-alanine--D-alanine ligase,not required
STMMW_01371,ftsQ,153534,154364,1,72,0.0192539109506619,831,16,cell division protein FtsQ,required
STMMW_01381,ftsA,154361,155623,1,10,0.00237529691211401,1263,3,cell division protein FtsA,required
STMMW_01391,ftsZ,155684,156835,1,19,0.00434027777777778,1152,5,cell division protein FtsZ,required
STMMW_01401,lpxC,156936,157853,1,59,0.028322440087146,918,26,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,required
STMMW_01411,yacA,158201,158629,1,48,0.0606060606060606,429,26,conserved hypothetical protein,ambiguous
STMMW_01421,secA,158691,161396,1,306,0.0177383592017738,2706,48,preprotein translocase SecA subunit,required
STMMW_01431,mutT,161548,161943,1,368,0.282828282828283,396,112,"7,8-dihydro-8-oxoguanine-triphosphatase",not required
STMMW_01441,yacG,162265,162456,-1,70,0.109375,192,21,conserved hypothetical protein,not required
STMMW_01451,yacF,162466,163209,-1,1030,0.388440860215054,744,289,conserved hypothetical protein,not required
STMMW_01461,coaE,163209,163829,-1,92,0.0611916264090177,621,38,dephospho-CoA kinase,ambiguous
STMMW_01471,guaC,164055,165098,1,1932,0.380268199233716,1044,397,GMP reductase,not required
STMMW_01481,pilC,165129,166331,-1,2217,0.462177888611804,1203,556,protein transport protein HofC,not required
STMMW_01491,pilB,166321,167706,-1,3229,0.488455988455988,1386,677,protein transport protein HofB,not required
STMMW_01501,pilA,167716,168153,-1,1417,0.579908675799087,438,254,prepilin peptidase dependent protein D precursor,not required
STMMW_01511,nadC,168375,169121,-1,21,0.0160642570281124,747,12,nicotinate-nucleotide pyrophosphorylase,required
STMMW_01521,ampD,169356,169919,1,1118,0.445035460992908,564,251,AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase),not required
STMMW_01531,ampE,169916,170770,1,1988,0.501754385964912,855,429,AmpE protein,not required
STMMW_01541,STMMW_01541,170862,171812,-1,1329,0.395373291272345,951,376,putatuve glycosysl hydrolase,not required
STMMW_01551,STMMW_01551,171812,173218,-1,2605,0.474058280028429,1407,667,putative symporter,not required
STMMW_01561,aroP,173382,174755,-1,1698,0.36098981077147,1374,496,aromatic amino acid transport protein AroP,not required
STMMW_01571,pdhR,175318,176082,1,477,0.130718954248366,765,100,pyruvate dehydrogenase complex repressor,not required
STMMW_01581,aceE,176242,178905,1,49,0.00675675675675676,2664,18,pyruvate dehydrogenase E1 component,required
STMMW_01591,aceF,178920,180809,1,4,0.00211640211640212,1890,4,dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase,required
STMMW_01601,lpdA,181009,182433,1,2,0.00140350877192982,1425,2,dihydrolipoamide dehydrogenase,required
STMMW_01611,STMMW_01611,182722,183006,1,214,0.228070175438596,285,65,probable secreted protein,not required
STMMW_01621,STMMW_01621,183044,183835,-1,779,0.30050505050505,792,238,probable secreted protein,not required
STMMW_01631,yacH,183848,185462,-1,2369,0.38266253869969,1615,618,putative exported protein (pseudogene),not required
STMMW_01641,acnB,185851,188448,1,68,0.0103926096997691,2598,27,aconitate hydratase 2 (citrate hydro-lyase 2),required
STMMW_01651,STMMW_01651,188509,189351,-1,25,0.0130486358244365,843,11,HNH endonuclease,required
STMMW_01661,yacL,189597,189959,1,576,0.443526170798898,363,161,conserved hypothetical protein,not required
STMMW_01671,kdgT,190194,191147,1,710,0.226415094339623,954,216,2-keto-3-deoxygluconate permease,not required
STMMW_01681,STMMW_01681,191144,192415,1,1684,0.290094339622642,1272,369,conserved hypothetical protein,not required
STMMW_01691,pdxAb,192405,193388,1,658,0.24390243902439,984,240,4-hydroxythreonine-4-phosphate dehydrogenase,not required
STMMW_01701,STMMW_01701,193398,194165,1,1045,0.345052083333333,768,265,putative transcriptional regulator,not required
STMMW_01711,speD,194195,194989,-1,206,0.134591194968553,795,107,,not required
STMMW_01721,speE,195010,195870,-1,140,0.0836236933797909,861,72,Putrescine aminopropyltransferase,not required
STMMW_01731,yacC,195977,196324,-1,197,0.235632183908046,348,82,putative exported protein,not required
STMMW_01741,cueO,196526,198136,1,3325,0.463066418373681,1611,746,possible multicopper oxidase precursor,not required
STMMW_01751,gcd,198214,200604,-1,4372,0.441656210790464,2391,1056,glucose dehydrogenase,not required
STMMW_01761,hpt,200810,201346,1,485,0.294227188081937,537,158,hypoxanthine phosphoribosyltransferase,not required
STMMW_01771,yadF,201404,202066,-1,23,0.0180995475113122,663,12,carbonic anhydrase,required
STMMW_01781,yadG,202175,203101,1,781,0.276159654800431,927,256,hypothetical ABC transporter ATP-binding protein,not required
STMMW_01791,yadH,203098,203868,1,897,0.330739299610895,771,255,ABC transporter integral membrane protein,not required
STMMW_01801,stiH,203985,205064,-1,1915,0.425925925925926,1080,460,putative fimbriae,not required
STMMW_01811,stiC,205073,207619,-1,4094,0.391048292108363,2547,996,putativie fimbrial usher. putativie fimbrial usher,not required
STMMW_01821,stiB,207646,208329,-1,978,0.378654970760234,684,259,putative fimbrial chaperone,not required
STMMW_01831,stiA,208377,208916,-1,1240,0.488888888888889,540,264,putative fimbrial subunit,not required
STMMW_01841,yadI,209286,209726,1,1063,0.609977324263039,441,269,putative PTS system IIA component,not required
STMMW_01851,yadE,209788,211017,1,1563,0.391869918699187,1230,482,putative exported protein,not required
STMMW_01861,panD,211024,211404,-1,14,0.020997375328084,381,8,Aspartate alpha-decarboxylase,required
STMMW_01871,panC,211499,212353,-1,9,0.00701754385964912,855,6,Pantoate activating enzyme,required
STMMW_01881,panB,212479,213270,-1,11,0.0126262626262626,792,10,3-methyl-2-oxobutanoate hydroxymethyltransferase,required
STMMW_01891,folK,213391,213870,-1,42,0.0375,480,18,2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase,required
STMMW_01901,pcnB,213867,215285,-1,472,0.131782945736434,1419,187,poly(A) polymerase,not required
STMMW_01911,yadB,215426,216367,-1,968,0.26963906581741,942,254,glutamyl-tRNA synthetase-related protein,not required
STMMW_01921,dksA,216391,216846,-1,3,0.0043859649122807,456,2,dosage-dependent dnaK suppressor protein,required
STMMW_01931,sfsA,217023,217727,-1,650,0.263829787234043,705,186,Sugar fermentation stimulation protein homolog,not required
STMMW_01941,ligT,217744,218274,-1,490,0.293785310734463,531,156,2'-5' RNA ligase,not required
STMMW_01951,hrpB,218302,220776,1,2742,0.292525252525253,2475,724,ATP-dependent helicase HrpB,not required
STMMW_01961,mrcB,220917,223439,1,1962,0.261989694807769,2523,661,penicillin-binding protein 1B,not required
STMMW_01971,fhuA,223732,225921,1,1833,0.275342465753425,2190,603,ferrichrome-iron receptor,not required
STMMW_01981,fhuC,225970,226767,1,446,0.165413533834586,798,132,ferrichrome transport ATP-binding protein FhuC,not required
STMMW_01991,fhuD,226767,227657,1,516,0.171717171717172,891,153,ferrichrome-binding periplasmic protein precursor,not required
STMMW_02001,fhuB,227654,229711,1,906,0.144800777453839,2058,298,ferrichrome transport protein FhuB precursor,not required
STMMW_02011,stfA,230650,231210,1,987,0.53475935828877,561,300,major fimbrial subunit stfa (putative fimbrial subunit),not required
STMMW_02021,stfC,231296,233953,1,4007,0.416854778028593,2658,1108,outer membrane usher protein stfc (putative fimbrial outer membrane usher),not required
STMMW_02031,stfD,233971,234723,1,1251,0.381142098273572,753,287,periplasmic fimbrial chaperone stfd,not required
STMMW_02041,stfE,234787,235254,1,871,0.467948717948718,468,219,minor fimbrial subunit stfe (putaive minor fimbrial subunit),not required
STMMW_02051,stfF,235251,235727,1,568,0.39622641509434,477,189,minor fimbrial subunit stff,not required
STMMW_02061,stfG,235727,236257,1,914,0.427495291902072,531,227,putative minor fimbrial subunit,not required
STMMW_02071,STMMW_02071,236257,237096,1,1580,0.445238095238095,840,374,putative exported protein,not required
STMMW_02081,hemL,237203,238483,-1,19,0.00702576112412178,1281,9,GSA,required
STMMW_02091,clcA,238653,240074,1,357,0.123066104078762,1422,175,H /Cl-exchange transporter clcA,not required
STMMW_02101,yadR,240111,240500,1,13,0.0153846153846154,390,6,conserved hypothetical protein,required
STMMW_02111,yadS,240601,241224,-1,990,0.408653846153846,624,255,putative membrane protein,not required
STMMW_02121,btuF,241261,242061,-1,634,0.237203495630462,801,190,Vitamin B12 transport protein btuF precursor,not required
STMMW_02131,mtn,242054,242752,-1,38,0.0214592274678112,699,15,MTA/SAH nucleosidase,required
STMMW_02141,dgt,242837,244354,1,3616,0.494729907773386,1518,751,dGTP triphosphohydrolase,not required
STMMW_02151,htrA,244484,245911,1,1150,0.264005602240896,1428,377,heat shock protein HtrA,not required
STMMW_02161,cdaR,246064,247221,1,1170,0.291882556131261,1158,338,conserved hypothetical protein,not required
STMMW_02171,yaeH,247310,247696,-1,305,0.284237726098191,387,110,conserved hypothetical protein,not required
STMMW_02181,STMMW_02181,247943,249244,1,1232,0.317204301075269,1302,413,putative inner membrane protein,not required
STMMW_02191,dapD,249281,250105,-1,39,0.00848484848484849,825,7,"2,3,4,5-tetrahydropyridine-2-carboxylate N- succinyltransferase",required
STMMW_02201,glnD,250135,252807,-1,67,0.0119715675271231,2673,32,PII uridylyl-transferase,required
STMMW_02211,map,253044,253838,-1,6,0.0050314465408805,795,4,methionine aminopeptidase,required
STMMW_02221,rpsB,254289,255014,1,24,0.00826446280991736,726,6,30S ribosomal protein S2,required
STMMW_02231,tsf,255272,256123,1,11,0.00469483568075117,852,4,EF-Ts,required
STMMW_02241,pyrH,256268,256993,1,8,0.00550964187327824,726,4,UK,required
STMMW_02251,frr,257140,257697,1,0,0,558,0,RRF,required
STMMW_02261,dxr,257838,259034,1,38,0.0167084377610693,1197,20,1-deoxy-D-xylulose 5-phosphate reductoisomerase,required
STMMW_02271,uppS,259347,260105,1,1,0.00131752305665349,759,1,undecaprenyl pyrophosphate synthetase,required
STMMW_02281,cdsA,260118,260975,1,44,0.0116550116550117,858,10,phosphatidate cytidylyltransferase,required
STMMW_02291,yaeL,260987,262339,1,5,0.00295639320029564,1353,4,putative membrane protein,required
STMMW_02301,yaeT,262371,264785,1,2,0.00041407867494824,2415,1,outer membrane protein precursor,required
STMMW_02311,hlpA,264908,265393,1,32,0.0390946502057613,486,19,outer membrane protein OmpH precursor,required
STMMW_02321,lpxD,265397,266422,1,47,0.00584795321637427,1026,6,UDP-3-O-[3-hydroxymyristoyl] glucosamine N- acyltransferase,required
STMMW_02331,fabZ,266528,266983,1,8,0.0109649122807018,456,5,(3R)-hydroxymyristol acyl carrier protein dehydrase,required
STMMW_02341,lpxA,266987,267775,1,2,0.00253485424588086,789,2,UDP-N-acetylglucosamine acyltransferase,required
STMMW_02351,lpxB,267775,268923,1,22,0.00783289817232376,1149,9,lipid-A-disaccharide synthase,required
STMMW_02361,rnhB,268920,269516,1,177,0.085427135678392,597,51,RNase HII,not required
STMMW_02371,dnaE,269540,273022,1,128,0.00545506747057135,3483,19,"DNA polymerase III, alpha chain",required
STMMW_02381,accA,273035,273994,1,28,0.00729166666666667,960,7,acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,required
STMMW_02391,STMMW_02391,274174,275937,1,1374,0.226757369614512,1764,400,putative secreted chitinase,not required
STMMW_02401,ldcC,276013,278154,1,1282,0.211484593837535,2142,453,lysine decarboxylase,not required
STMMW_02411,yaeR,278210,278599,1,323,0.220512820512821,390,86,conserved hypothetical protein,not required
STMMW_02421,mesJ,278743,279954,1,88,0.0115511551155116,1212,14,cell cycle protein MesJ,required
STMMW_02431,rof,280038,280298,-1,101,0.160919540229885,261,42,ROF protein,not required
STMMW_02441,yaeP,280285,280503,-1,164,0.337899543378995,219,74,conserved hypothetical protein,not required
STMMW_02451,yaeQ,280683,281228,1,377,0.214285714285714,546,117,conserved hypothetical protein,not required
STMMW_02461,yaeJ,281225,281647,1,261,0.238770685579196,423,101,putative release factor,not required
STMMW_02471,cutF,281679,282380,1,567,0.225071225071225,702,158,copper homeostasis protein CutF precursor (lipoprotein nlpE),not required
STMMW_02481,proS,282454,284172,-1,32,0.0110529377545084,1719,19,prolyl-tRNA synthetase,required
STMMW_02491,yaeB,284283,284990,-1,412,0.235875706214689,708,167,conserved hypothetical protein,not required
STMMW_02501,rcsF,284987,285391,-1,539,0.345679012345679,405,140,RcsF protein,not required
STMMW_02511,metQ,285510,286325,-1,194,0.118872549019608,816,97,putative lipoprotein precursor,not required
STMMW_02521,yaeE,286364,287017,-1,183,0.142201834862385,654,93,putative ABC transporter permease protein,not required
STMMW_02531,abc,287010,288041,-1,230,0.11531007751938,1032,119,putative ABC transporter ATP-binding protein,not required
STMMW_02532,yaeD,288231,288797,1,19,0.0282186948853616,567,16,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",required
STMMW_02541,dkgB,295056,295859,1,179,0.0932835820895522,804,75,hypothetical oxidoreductase,not required
STMMW_02551,yafC,295880,296794,-1,252,0.0972677595628415,915,89,hypothetical transcriptional regulator,not required
STMMW_02561,STMMW_02561,296899,298074,1,259,0.0952380952380952,1176,112,putative drug efflux protein,not required
STMMW_02571,yafD,298227,299006,1,302,0.132051282051282,780,103,Hypothetical UPF0294 protein <ORFName>,not required
STMMW_02581,yafE,299084,299854,1,317,0.143968871595331,771,111,putative methyltransferase,not required
STMMW_02591,dniR,299910,301277,-1,588,0.141081871345029,1368,193,membrane-bound lytic murein transglycosylase D precursor,not required
STMMW_02601,gloB,301349,302104,-1,137,0.0661375661375661,756,50,probable hydroxyacylglutathione hydrolase,ambiguous
STMMW_02611,yafS,302139,302861,1,1164,0.348547717842324,723,252,conserved hypothetical protein,not required
STMMW_02621,rnhA,302858,303325,-1,61,0.0405982905982906,468,19,RNase H,required
STMMW_02631,dnaQ,303389,304120,1,2,0.00273224043715847,732,2,DNA polymerase III epsilon subunit,required
STMMW_02641,sciA,304652,305707,-1,419,0.136363636363636,1056,144,conserved hypothetical pathogenicity island protein,not required
