"","genes","logFC","logCPM","LR","PValue","padjFilter","FDR","gene_name","gene_function","old_locus","SL1344_tag","type","SPI","DE"
"STM14_4195","STM14_4195",-5.41892275624626,5.0282709870487,97.0244596980339,9.2792860551042e-05,0.0387332865416808,0.0387332865416808,"rpe","ribulose-phosphate 3-epimerase","STM14_4195","SL1344_3450","protein_coding","-","Attenuated"
"STM14_2586","STM14_2586",4.09386786509887,9.46924772891594,91.8892165004313,0.000107332385998423,0.0399990522932282,0.0399990522932282,"rfbF","glucose-1-phosphate cytidylyltransferase","STM14_2586","SL1344_2069","protein_coding","-","Amplified"
"STM14_4809","STM14_4809",-5.33613556502997,6.95470803383779,90.4986788005755,0.000111796113416889,0.0399990522932282,0.0399990522932282,"polA","DNA polymerase I","STM14_4809","SL1344_3947","protein_coding","-","Attenuated"
"STM14_4041","STM14_4041",-3.20741680734529,7.78063489004752,87.9327315169547,0.0001207172177747,0.0403115029222314,0.0403115029222314,"degS","serine endoprotease","STM14_4041","SL1344_3321","protein_coding","-","Attenuated"
"STM14_2309","STM14_2309",-4.2897060127976,5.13009949688538,79.7543987686858,0.000156513580863704,0.0415299019772956,0.0415299019772956,"ruvC","Holliday junction resolvase","STM14_2309","SL1344_1833","protein_coding","-","Attenuated"
"STM14_3701","STM14_3701",-4.28828830049854,4.66447379507885,79.1343243225349,0.000159787648628129,0.0415299019772956,0.0415299019772956,"rpiA","ribose-5-phosphate isomerase A","STM14_3701","SL1344_3039","protein_coding","-","Attenuated"
"STM14_2042","STM14_2042",-4.43590200040453,5.44405336283335,78.9208957141182,0.000160936045048129,0.0415299019772956,0.0415299019772956,"sapA","peptide transport protein","STM14_2042","SL1344_1622","protein_coding","-","Attenuated"
"STM14_0184","STM14_0184",-4.03706062141039,4.29606613154803,78.789474514183,0.000161648754476325,0.0415299019772956,0.0415299019772956,"aceF","dihydrolipoamide acetyltransferase","STM14_0184","SL1344_0153","protein_coding","-","Attenuated"
"STM14_3717","STM14_3717",-3.96337444174899,6.4775925278861,78.0355549073209,0.000165821129875407,0.0415299019772956,0.0415299019772956,"tktA","transketolase","STM14_3717","SL1344_3052","protein_coding","-","Attenuated"
"STM14_2584","STM14_2584",2.07294372220066,9.10174454443779,72.6536110215819,0.000200309066787998,0.0460924166502904,0.0460924166502904,"rfbH","CDP-6-deoxy-D-xylo-4-hexulose-3-dehydrase","STM14_2584","SL1344_2067","protein_coding","-","Amplified"
"STM14_2858","STM14_2858",-3.14709993941609,6.08765583723225,68.9360864167559,0.000230029579864023,0.0460924166502904,0.0460924166502904,"nuoM","NADH dehydrogenase subunit M","STM14_2858","SL1344_2286","protein_coding","-","Attenuated"
"STM14_4459","STM14_4459",-4.82065066121554,4.74871972495901,67.2665213922638,0.000245335191248749,0.0460924166502904,0.0460924166502904,"cysE","serine acetyltransferase","STM14_4459","SL1344_3665","protein_coding","-","Attenuated"
"STM14_4648","STM14_4648",-6.46170443519761,5.45787495310319,89.7632911139944,0.000264133539584677,0.0460924166502904,0.0460924166502904,"phoU","transcriptional regulator PhoU","STM14_4648","SL1344_3820","protein_coding","-","Attenuated"
"STM14_2333","STM14_2333",2.16417555492596,7.91602263686173,64.3133944702184,0.000275974821316508,0.0460924166502904,0.0460924166502904,"cheR","chemotaxis methyltransferase CheR","STM14_2333","SL1344_1853","protein_coding","-","Amplified"
"STM14_0108","STM14_0108",-2.8957904392801,6.27371727362258,64.2368019154296,0.000276836860948803,0.0460924166502904,0.0460924166502904,"apaG","ApaG","STM14_0108","SL1344_0090","protein_coding","-","Attenuated"
"STM14_3234","STM14_3234",-2.69261570536584,7.07659615469731,64.1959342089994,0.000277298315643557,0.0460924166502904,0.0460924166502904,"rpoE","RNA polymerase sigma factor RpoE","STM14_3234","SL1344_2604","protein_coding","-","Attenuated"
"STM14_2336","STM14_2336",2.17510760751182,8.83375511715041,63.0383102217639,0.000290814397606768,0.0460924166502904,0.0460924166502904,"cheA","chemotaxis protein CheA","STM14_2336","SL1344_1856","protein_coding","-","Amplified"
"STM14_2756","STM14_2756",2.26864742595882,8.47990917482623,59.4305432411142,0.000339132711500658,0.0460924166502904,0.0460924166502904,"-","DNA polymerase V subunit","STM14_2756","SL1344_2206","protein_coding","-","Amplified"
"STM14_0741","STM14_0741",-5.34108985503356,4.31113677352764,77.6619104754341,0.000341246197885866,0.0460924166502904,0.0460924166502904,"lipB","lipoyltransferase","STM14_0741","SL1344_0623","protein_coding","-","Attenuated"
"STM14_3319","STM14_3319",2.07680034720336,8.89598212114137,57.9139701357317,0.000362708264343222,0.0460924166502904,0.0460924166502904,"-","putative hexulose 6 phosphate synthase","STM14_3319","SL1344_2738","protein_coding","-","Amplified"
"STM14_1709","STM14_1709",2.27500170223744,7.51727744461837,57.6622409140592,0.000366834707378215,0.0460924166502904,0.0460924166502904,"ssaM","type III secretion system apparatus protein","STM14_1709","SL1344_1347","protein_coding","SPI-2","Amplified"
"STM14_2157","STM14_2157",-4.08388141902875,5.54005480688401,57.5760379639301,0.000368262404021633,0.0460924166502904,0.0460924166502904,"ychF","translation-associated GTPase","STM14_2157","SL1344_1712","protein_coding","-","Attenuated"
"STM14_4960","STM14_4960",-3.04869574785395,6.41965154930036,57.5370800772366,0.000368910097736273,0.0460924166502904,0.0460924166502904,"udhA","soluble pyridine nucleotide transhydrogenase","STM14_4960","SL1344_4075","protein_coding","-","Attenuated"
"STM14_3490","STM14_3490",-2.69358789769072,6.30356631943523,56.4991494889807,0.000386750169290885,0.0460924166502904,0.0460924166502904,"spaO","surface presentation of antigens protein SpaO","STM14_3490","SL1344_2870","protein_coding","SPI-1","Attenuated"
"STM14_0594","STM14_0594",1.7899009881803,8.46191748657349,56.2584938954833,0.000391052951172001,0.0460924166502904,0.0460924166502904,"tesA","multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1","STM14_0594","SL1344_0499","protein_coding","-","Amplified"
"STM14_1616","STM14_1616",2.54258046848078,7.98662795777619,56.0668936943,0.000394525174567905,0.0460924166502904,0.0460924166502904,"rfc","O-antigen polymerase","STM14_1616","SL1344_1266","protein_coding","-","Amplified"
"STM14_2380","STM14_2380",-2.73230539791672,7.25678954568726,55.7185408563108,0.000400945961316199,0.0460924166502904,0.0460924166502904,"fliD","flagellar capping protein","STM14_2380","SL1344_1889","protein_coding","-","Attenuated"
"STM14_2577","STM14_2577",2.30234195760312,8.55153237929911,55.6057228036704,0.000403055759204951,0.0460924166502904,0.0460924166502904,"rfbK","phosphomannomutase","STM14_2577","SL1344_2060","protein_coding","-","Amplified"
"STM14_0791","STM14_0791",-2.72446542790129,4.72990367809376,55.4338581969998,0.000406298806028841,0.0460924166502904,0.0460924166502904,"-","hypothetical protein","STM14_0791","STM14_0791",NA,"-","Attenuated"
"STM14_3497","STM14_3497",-2.13410106718861,8.73988500349234,55.3857190583978,0.000407213519666317,0.0460924166502904,0.0460924166502904,"invG","outer membrane secretin precursor","STM14_3497","SL1344_2877","protein_coding","SPI-1","Attenuated"
"StyR-24g","StyR-24g",4.14839535816356,4.94031541713349,55.3395132072005,0.000408094125713121,0.0460924166502904,0.0460924166502904,"StyR-24g","Overlap","StyR-24g","ncRNA0414",NA,"-","Amplified"
"STM14_0870","STM14_0870",-5.30273114542577,5.79739703669517,54.3175171764656,0.000428249809499094,0.0460924166502904,0.0460924166502904,"tolB","translocation protein TolB","STM14_0870","SL1344_0730","protein_coding","-","Attenuated"
"STM14_5229","STM14_5229",-3.4658652983114,3.84615222012569,53.9248295695931,0.000436353327453512,0.0460924166502904,0.0460924166502904,"psd","phosphatidylserine decarboxylase","STM14_5229","SL1344_4285","protein_coding","-","Attenuated"
"STM14_1286","STM14_1286",2.42335714431318,6.78969617930023,53.6365923782478,0.000442434200622567,0.0460924166502904,0.0460924166502904,"-","hypothetical protein","STM14_1286","STM14_1286",NA,"-","Amplified"
"STM14_3123","STM14_3123",3.91166760570582,6.28713164657107,76.1208672230868,0.000479642945797507,0.0460924166502904,0.0460924166502904,"-","hypothetical protein","STM14_3123","STM14_3123",NA,"-","Amplified"
"STM14_0111","STM14_0111",-3.04783793596071,7.06969382215318,51.9645719899162,0.000480075968325857,0.0460924166502904,0.0460924166502904,"surA","peptidyl-prolyl cis-trans isomerase SurA","STM14_0111","SL1344_0093","protein_coding","-","Attenuated"
"STM14_3964","STM14_3964",-2.14256108782067,7.5805757405314,51.9069959117122,0.000481448245664213,0.0460924166502904,0.0460924166502904,"pnp","polynucleotide phosphorylase/polyadenylase","STM14_3964","SL1344_3255","protein_coding","-","Attenuated"
"STM14_3142","STM14_3142",1.87468968949925,8.04952920083825,51.6451015333954,0.000487757843243031,0.0460924166502904,0.0460924166502904,"yfhG","hypothetical protein","STM14_3142","SL1344_2525","protein_coding","-","Amplified"
"STM14_2046","STM14_2046",-2.7175355840259,5.96581844051794,51.5543225355602,0.000489971060764642,0.0460924166502904,0.0460924166502904,"sapF","peptide transport protein","STM14_2046","SL1344_1626","protein_coding","-","Attenuated"
"STM14_3114","STM14_3114",-4.55219849933315,3.56657950990801,65.4979457276705,0.000506194260266336,0.0460924166502904,0.0460924166502904,"hscA","chaperone protein HscA","STM14_3114","SL1344_2501","protein_coding","-","Attenuated"
"STM14_4671","STM14_4671",-5.14346247880539,6.81886936411457,50.8532419019283,0.000507531046202946,0.0460924166502904,0.0460924166502904,"gidA","tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA","STM14_4671","SL1344_3841","protein_coding","-","Attenuated"
"STM14_4192","STM14_4192",-3.90812053199224,2.93500899106404,50.73876096469,0.000510479136571715,0.0460924166502904,0.0460924166502904,"-","hypothetical protein","STM14_4192","STM14_4192",NA,"-","Attenuated"
"STM14_2838","STM14_2838",1.72528312819766,9.08217950093043,50.6847622526037,0.000511877760829637,0.0460924166502904,0.0460924166502904,"-","putative cytoplasmic protein","STM14_2838","SL1344_2269","protein_coding","-","Amplified"
"STM14_2588","STM14_2588",2.83861539908588,7.92772016212461,50.3759430145042,0.000519977157955629,0.0460924166502904,0.0460924166502904,"rfbC","dTDP-4,deoxyrhamnose 3,5 epimerase","STM14_2588","SL1344_2071","protein_coding","-","Amplified"
"STM14_1238","STM14_1238",-2.56363204489146,4.13343173117858,50.361440749178,0.000520361766956196,0.0460924166502904,0.0460924166502904,"orfX","putative cytoplasmic protein","STM14_1238","SL1344_1031","protein_coding","-","Attenuated"
"STM14_5521","STM14_5521",-2.98051217111327,4.46464910461676,50.2059643788157,0.000524509432834209,0.0460924166502904,0.0460924166502904,"lasT","putative RNA methyltransferase","STM14_5521","SL1344_4527","protein_coding","-","Attenuated"
"STM14_1654","STM14_1654",1.69218929089679,9.06549224745935,48.8402771204407,0.000562944142574004,0.0486170208647101,0.0486170208647101,"ydiM","putative transport protein","STM14_1654","SL1344_1296","protein_coding","-","Amplified"
"STM14_2168","STM14_2168",1.59037187527903,8.25092071423554,48.0669869062954,0.000586413668144644,0.0489658741015401,0.0489658741015401,"-","putative cytochrome oxidase subunit II","STM14_2168","SL1344_1721","protein_coding","-","Amplified"
"STM14_2059","STM14_2059",-3.78207823684924,2.99821666008391,47.8430066822902,0.000593458769823722,0.0489658741015401,0.0489658741015401,"-","conserved domain protein","STM14_2059","SL1344_1635","protein_coding","-","Attenuated"
"STM14_1228","STM14_1228",2.0387797902182,7.25100790408628,46.9721839013944,0.000621966856350939,0.0489658741015401,0.0489658741015401,"yccX","putative phosphohydrolase","STM14_1228","SL1344_1023","protein_coding","-","Amplified"
"STnc1890","STnc1890",2.73073235837246,7.02926214145608,46.8296075116612,0.000626810232552701,0.0489658741015401,0.0489658741015401,"STnc1890","Intergenic","STnc1890","ncRNA0272",NA,"-","Amplified"
"STM14_0186","STM14_0186",-3.9001243343619,4.13163469938575,46.7430998972979,0.00062977388031342,0.0489658741015401,0.0489658741015401,"-","hypothetical protein","STM14_0186","STM14_0186",NA,"-","Attenuated"
"STM14_2334","STM14_2334",2.07096466338951,7.55903967814291,46.6938217707911,0.00063147058759327,0.0489658741015401,0.0489658741015401,"cheM","methyl accepting chemotaxis protein II","STM14_2334","SL1344_1854","protein_coding","-","Amplified"
"STM14_1649","STM14_1649",-4.33450334947176,4.6228585804307,46.3522822105857,0.00064340227686616,0.0489658741015401,0.0489658741015401,"aroD","3-dehydroquinate dehydratase","STM14_1649","SL1344_1292","protein_coding","-","Attenuated"
"STM14_0107","STM14_0107",-3.56687957213037,6.38797772691702,46.0693313114608,0.000653519803396706,0.0489658741015401,0.0489658741015401,"apaH","diadenosine tetraphosphatase","STM14_0107","SL1344_0089","protein_coding","-","Attenuated"
"STM14_4070","STM14_4070",-1.66870061547127,8.6276195231885,45.7781362352025,0.000664158658649022,0.0489658741015401,0.0489658741015401,"yhdA","regulatory protein CsrD","STM14_4070","SL1344_3348","protein_coding","-","Attenuated"
"STM14_2374","STM14_2374",-2.53375016708108,6.31833242069718,45.6500614889377,0.000668912280570532,0.0489658741015401,0.0489658741015401,"fliA","flagellar biosynthesis sigma factor","STM14_2374","SL1344_1885","protein_coding","-","Attenuated"
"STM14_2221","STM14_2221",2.2224889864338,7.15240328216537,45.4279863893243,0.00067726476183944,0.0489658741015401,0.0489658741015401,"yobF","putative cytoplasmic protein","STM14_2221","SL1344_1767","protein_coding","-","Amplified"
"STM14_2118","STM14_2118",-4.41790943807873,4.68326088896589,63.0898485410456,0.000685125834374328,0.0489658741015401,0.0489658741015401,"galU","UTP--glucose-1-phosphate uridylyltransferase subunit GalU","STM14_2118","SL1344_1683","protein_coding","-","Attenuated"
"STM14_1768","STM14_1768",1.77322428096707,7.80965198114022,44.9923205635213,0.000694066093273976,0.0489658741015401,0.0489658741015401,"ydgA","putative periplasmic protein","STM14_1768","SL1344_1396","protein_coding","-","Amplified"
"STM14_2591","STM14_2591",3.35111344610201,10.8818048356471,44.4909813745994,0.000714107110210417,0.0496800349311664,0.0496800349311664,"rfbB","dTDP-glucose 4,6 dehydratase","STM14_2591","SL1344_2074","protein_coding","-","Amplified"
"STM14_0835","STM14_0835",1.81605593713973,7.32681909936516,43.7799391083251,0.000743899872894373,0.0510437597716153,0.0510437597716153,"-","putative phage integrase","STM14_0835","SL1344_0697","protein_coding","-","Amplified"
"STM14_2047","STM14_2047",2.31617296109309,8.69035900359148,43.2199806085972,0.000768560050834652,0.0520232066841996,0.0520232066841996,"-","hypothetical protein","STM14_2047","SL1344_1627","protein_coding","-","Amplified"
"STnc3580","STnc3580",-2.84816555131071,3.70443502481396,42.9290194338742,0.000781812550795294,0.0522146542257817,0.0522146542257817,"STnc3580","Intergenic","STnc3580","ncRNA0329",NA,"-","Attenuated"
"STM14_3566","STM14_3566",5.06307644779854,13.6073059660666,42.6343523600132,0.000795551600844638,0.0524331311661946,0.0524331311661946,"barA","hybrid sensory histidine kinase BarA","STM14_3566","SL1344_2939","protein_coding","-","Amplified"
"CsrB","CsrB",2.42404632485203,6.33877343167555,42.3149160789066,0.000810817951356911,0.0527452872512567,0.0527452872512567,"CsrB","Intergenic","CsrB","ncRNA0007",NA,"-","Amplified"
"STM14_4082","STM14_4082",-3.48647460286898,5.9603551736883,41.8662236826542,0.000832940066905542,0.0534897025016648,0.0534897025016648,"yhdG","tRNA-dihydrouridine synthase B","STM14_4082","SL1344_3357","protein_coding","-","Attenuated"
"STM14_992","STM14_992",1.98281104568034,9.53730504640049,41.5225166631752,0.000850442941913746,0.0539223885575437,0.0539223885575437,"yliB","putative ABC transporter periplasmic binding protein","STM14_992","SL1344_0825","protein_coding","-","Amplified"
"STM14_1080","STM14_1080",-2.6198666829276,5.45908088083404,41.1430657467673,0.000870350279126943,0.0539405584060849,0.0539405584060849,"trxB","thioredoxin reductase","STM14_1080","SL1344_0896","protein_coding","-","Attenuated"
"STM14_4664","STM14_4664",-2.24033491923839,4.48093324222599,40.7295911438791,0.000892768866297925,0.0539405584060849,0.0539405584060849,"atpH","F0F1 ATP synthase subunit delta","STM14_4664","SL1344_3835","protein_coding","-","Attenuated"
"STM14_2861","STM14_2861",-2.51447361779614,3.68148744973734,40.5735690674031,0.000901431851401505,0.0539405584060849,0.0539405584060849,"nuoJ","NADH dehydrogenase subunit J","STM14_2861","SL1344_2289","protein_coding","-","Attenuated"
"STM14_1305","STM14_1305",-2.85238733446072,3.85842716905275,40.537725981168,0.000903438092934506,0.0539405584060849,0.0539405584060849,"csgE","curli assembly protein CsgE","STM14_1305","SL1344_1078","protein_coding","-","Attenuated"
"STM14_3219","STM14_3219",-2.74752968820277,3.12155022309935,40.5174950654407,0.00090457314955303,0.0539405584060849,0.0539405584060849,"-","hypothetical protein","STM14_3219","STM14_3219","protein_coding","-","Attenuated"
"STM14_2882","STM14_2882",-4.45619921575016,4.79759531294634,55.9788132412002,0.000937915884126962,0.0552708313363759,0.0552708313363759,"ackA","acetate kinase","STM14_2882","SL1344_2306","protein_coding","-","Attenuated"
"STM14_3621","STM14_3621",-3.35901004588394,5.43003820243135,39.7206323508757,0.000950863278387072,0.0553822576911726,0.0553822576911726,"ygdP","dinucleoside polyphosphate hydrolase","STM14_3621","SL1344_2982","protein_coding","-","Attenuated"
"STM14_3482","STM14_3482",-2.88984717520391,6.33511400147298,39.2053333196001,0.000982520932043197,0.0564550979232747,0.0564550979232747,"sipD","translocation machinery component","STM14_3482","SL1344_2862","protein_coding","SPI-1","Attenuated"
"STM14_2709","STM14_2709",1.4824944650256,8.36739194779109,39.0581613827195,0.00099182443945861,0.0564550979232747,0.0564550979232747,"-","putative L-serine dehydratase","STM14_2709","SL1344_2173","protein_coding","-","Amplified"
"STM14_3060","STM14_3060",-3.94073436348779,4.86233695580766,38.5375220613641,0.00102571211949696,0.0577280000737108,0.0577280000737108,"yfgE","DNA replication initiation factor","STM14_3060","SL1344_2459","protein_coding","-","Attenuated"
"STM14_1965","STM14_1965",2.27117064112206,8.88251596692307,38.2616281855095,0.00104430798284108,0.0581215409561218,0.0581215409561218,"ydcI","putative transcriptional regulator","STM14_1965","SL1344_1555","protein_coding","-","Amplified"
"STM14_3475","STM14_3475",-2.79583003163979,7.77425494201896,37.9264677605616,0.00106751890334145,0.0587604635916187,0.0587604635916187,"hilA","invasion protein regulator","STM14_3475","SL1344_2856","protein_coding","SPI-1","Attenuated"
"STM14_4667","STM14_4667",-4.55118254547212,5.16398671775848,50.3098179998969,0.00115081755374003,0.0623738491690855,0.0623738491690855,"atpB","F0F1 ATP synthase subunit A","STM14_4667","SL1344_3838","protein_coding","-","Attenuated"
"STM14_5280","STM14_5280",-2.20492680960691,5.15984588339369,36.6869250249486,0.00115970440592397,0.0623738491690855,0.0623738491690855,"ytfB","putative cell envelope opacity-associated protein A","STM14_5280","SL1344_4329","protein_coding","-","Attenuated"
"STM14_3403","STM14_3403",-2.42371501101059,7.48529485276995,36.4571665991856,0.00117796677555338,0.0623738491690855,0.0623738491690855,"gshA","glutamate--cysteine ligase","STM14_3403","SL1344_2803","protein_coding","-","Attenuated"
"STM14_1937","STM14_1937",1.99978777500012,6.9910662894639,36.3950158530489,0.00118297378140609,0.0623738491690855,0.0623738491690855,"-","putative inner membrane protein","STM14_1937","SL1344_1530A","protein_coding","-","Amplified"
"STM14_4085","STM14_4085",-2.16391404224117,5.52604043401241,36.1434318354818,0.0012035394642315,0.0627971789201623,0.0627971789201623,"yhdU","putative periplasmic protein","STM14_4085","SL1344_3360","protein_coding","-","Attenuated"
"STM14_3498","STM14_3498",-2.10924447192938,7.07298667732783,35.9073767966135,0.00122327905353481,0.0631691214345964,0.0631691214345964,"invF","invasion regulatory protein","STM14_3498","SL1344_2878","protein_coding","SPI-1","Attenuated"
"STM14_2230","STM14_2230",1.50830310688966,8.46408358280549,35.1211913766911,0.00129227773783234,0.0644023178929764,0.0644023178929764,"-","putative transport protein","STM14_2230","SL1344_1772","protein_coding","-","Amplified"
"STnc3500","STnc3500",2.9792120750212,4.90717006529015,35.0466870420487,0.0012990878675267,0.0644023178929764,0.0644023178929764,"STnc3500","intragenic","STnc3500","ncRNA0325",NA,"-","Amplified"
"STM14_1217","STM14_1217",1.97092624734144,7.9864665257832,34.6864732412845,0.00133270926830757,0.0644023178929764,0.0644023178929764,"yccR","putative DNA transformation protein","STM14_1217","SL1344_1012","protein_coding","-","Amplified"
"STM14_2120","STM14_2120",-2.29680970942,5.09269347693515,34.5803610819899,0.00134283822752574,0.0644023178929764,0.0644023178929764,"ychK","hypothetical protein","STM14_2120","SL1344_1685","protein_coding","-","Attenuated"
"STM14_2251","STM14_2251",2.34784406240973,7.08261161425057,34.4745875799278,0.00135303903586053,0.0644023178929764,0.0644023178929764,"-","putative cytoplasmic protein","STM14_2251","SL1344_1788","protein_coding","-","Amplified"
"STM14_4878","STM14_4878",-2.11881616494954,5.84164377027282,34.4591262316532,0.00135453892407539,0.0644023178929764,0.0644023178929764,"sodA","superoxide dismutase","STM14_4878","SL1344_4004","protein_coding","-","Attenuated"
"STM14_1363","STM14_1363",-4.12658183573077,4.35874500065638,47.0224676715994,0.0013647756538639,0.0644023178929764,0.0644023178929764,"yceD","hypothetical protein","STM14_1363","SL1344_1127","protein_coding","-","Attenuated"
"STM14_3205","STM14_3205",-2.41166563971949,2.92343481581869,34.305357041712,0.00136957936973574,0.0644023178929764,0.0644023178929764,"-","hypothetical protein","STM14_3205","STM14_3205","protein_coding","-","Attenuated"
"STM14_4786","STM14_4786",-2.11000511789441,7.04581130771524,34.2698829515672,0.00137308127583188,0.0644023178929764,0.0644023178929764,"fre","FMN reductase","STM14_4786","SL1344_3933","protein_coding","-","Attenuated"
"STM14_2043","STM14_2043",-5.38841398501841,3.48484923895325,55.5202049748321,0.00137573328300029,0.0644023178929764,0.0644023178929764,"sapB","peptide transport protein","STM14_2043","SL1344_1623","protein_coding","-","Attenuated"
"STM14_0014","STM14_0014",-5.35256377342699,5.70505921007726,33.9537928876357,0.00140482771755234,0.0644851643745573,0.0644851643745573,"dnaJ","chaperone protein DnaJ","STM14_0014","SL1344_0013","protein_coding","-","Attenuated"
"STM14_4470","STM14_4470",-2.32169799689318,7.11262756268501,33.9497040776812,0.00140524486652953,0.0644851643745573,0.0644851643745573,"kbl","2-amino-3-ketobutyrate coenzyme A ligase","STM14_4470","SL1344_3675","protein_coding","-","Attenuated"
"STM14_2883","STM14_2883",-4.13169727979789,4.89592101559475,33.8286197420351,0.00141767466631812,0.0644851643745573,0.0644851643745573,"pta","phosphate acetyltransferase","STM14_2883","SL1344_2307","protein_coding","-","Attenuated"
"STM14_4547","STM14_4547",-3.84972337344625,5.60134992528072,33.7195561929844,0.00142899845190175,0.0644851643745573,0.0644851643745573,"-","putative phosphotransferase system enzyme IIB","STM14_4547","SL1344_3736","protein_coding","-","Attenuated"
"STM14_0795","STM14_0795",-2.07409722256065,5.83852714949301,33.1239092963527,0.00149305843236806,0.0667743722118894,0.0667743722118894,"nagA","N-acetylglucosamine-6-phosphate deacetylase","STM14_0795","SL1344_0665","protein_coding","-","Attenuated"
"STnc790","STnc790",-1.46169524065394,7.59266523993078,32.6606102196196,0.00154560539305854,0.0682721993074287,0.0682721993074287,"STnc790","Overlap","STnc790","ncRNA0200",NA,"-","Attenuated"
"STM14_0754","STM14_0754",-5.215629931701,3.31631613733784,52.0278011025119,0.00155380928749189,0.0682721993074287,0.0682721993074287,"holA","DNA polymerase III subunit delta","STM14_0754","SL1344_0634","protein_coding","-","Attenuated"
"IsrQ","IsrQ",-5.52571275221012,3.61881889422938,52.0391403956444,0.00157598127721085,0.0684436410590501,0.0684436410590501,"IsrQ","Overlap","IsrQ","ncRNA0043",NA,"-","Attenuated"
"STM14_2856","STM14_2856",2.01965077179026,6.62789966764216,32.3267317463415,0.001585039401647,0.0684436410590501,0.0684436410590501,"-","hypothetical protein","STM14_2856","STM14_2856",NA,"-","Amplified"
"STM14_5372","STM14_5372",-2.32683123835441,4.18532114965438,32.0476201299399,0.00161905911127122,0.0691504533264215,0.0691504533264215,"holC","DNA polymerase III subunit chi","STM14_5372","SL1344_4406","protein_coding","-","Attenuated"
"STM14_0867","STM14_0867",-3.62756677956956,6.57234883804766,31.8972197607458,0.00163780215191367,0.0691504533264215,0.0691504533264215,"tolQ","colicin uptake protein TolQ","STM14_0867","SL1344_0727","protein_coding","-","Attenuated"
"STM14_1486","STM14_1486",2.03926417775323,7.15596243006912,31.8573211491376,0.00164282370649714,0.0691504533264215,0.0691504533264215,"-","putative cytoplasmic protein","STM14_1486","SL1344_1177","protein_coding","-","Amplified"
"STM14_3036","STM14_3036",2.7002941438871,8.37311628298417,31.729261096635,0.00165908283829757,0.0692528828086043,0.0692528828086043,"-","hypothetical protein","STM14_3036","STM14_3036",NA,"-","Amplified"
"STnc2090","STnc2090",-3.5277176669131,4.61942478805373,31.4997665259998,0.00168877098837654,0.0694852445580179,0.0694852445580179,"STnc2090","Overlap","STnc2090","ncRNA0281",NA,"-","Attenuated"
"STM14_3294","STM14_3294",-2.88782099226137,5.71901174464336,31.4376726119363,0.00169692736729607,0.0694852445580179,0.0694852445580179,"smpB","SsrA-binding protein","STM14_3294","SL1344_2660","protein_coding","-","Attenuated"
