"Molecule","locus_tag","gene_name","gene_func","COG","description","theme","FDR_liver","logFC_liver","FDR_spleen","logFC_spleen"
"Chromosome","ncRNA0224","STnc1150","non-coding",NA,"no category","no theme",0.552652118115622,0.59024973789878,0.415202250948873,0.774946659289255
"Chromosome","ncRNA0255","STnc1590","non-coding",NA,"no category","no theme",0.999204941602324,0.234065618669878,0.995125012877387,0.0849861674326935
"Chromosome","ncRNA0256","STnc1600","non-coding",NA,"no category","no theme",0.999204941602324,0.192428967021986,0.885203850809693,0.628972292515724
"Chromosome","ncRNA0284","STnc2130","non-coding",NA,"no category","no theme",0.999204941602324,-0.348224369146053,0.679331108519857,-0.793654832651482
"Chromosome","rRNA","rRNA","-",NA,"no category","no theme",0.879401167276974,-0.171973841609447,0.865126948636248,-0.228721914856717
"Chromosome","RyeA","RyeA","-",NA,"no category","no theme",0.916731424815044,-0.117992561716507,0.929173962911884,0.121707145820374
"Chromosome","RyhB2","RyhB2","-",NA,"no category","no theme",0.69038000748525,0.410311549633041,0.926990998338825,0.123906591694492
"Chromosome","SL1344_0002","thrA","ACT domain","E","Amino acid transport and metabolism","Metabolism",0.354138944323347,0.932088733079347,0.122424947501111,1.17214270684517
"Chromosome","SL1344_0004","thrC","Threonine synthase N terminus","E","Amino acid transport and metabolism","Metabolism",0.661450539492798,0.463670813208288,0.498093282091946,0.712158003176049
"Chromosome","SL1344_0006","yaaJ","Sodium:alanine symporter family","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.893827917505501,0.149981823183906,0.963458668184584,0.0700008222527854
"Chromosome","SL1344_0007","talB","Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway","F","Nucleotide transport and metabolism","Metabolism",0.999204941602324,-0.358064805558895,0.794624301890709,-0.752853564705091
"Chromosome","SL1344_0008","mog","Probable molybdopterin binding domain","H","Coenzyme transport and metabolism","Metabolism",0.999204941602324,-0.0265583031482926,0.996188712105698,0.0754100909615034
"Chromosome","SL1344_0010","htgA","Domain of unknown function (DUF3944)","S","Function Unknown","Poorly characterised",0.478832694154082,-0.726467903017435,0.591042280054692,-0.553915667585046
"Chromosome","SL1344_0011","yaaI","Protein of unknown function (DUF2541)","S","Function Unknown","Poorly characterised",0.666213193826363,0.518620494897992,0.526072778945411,0.801863887945154
"Chromosome","SL1344_0014","SL1344_0014","Bacterial regulatory helix-turn-helix protein, lysR family","K","Transcription","Information storage and processing",0.367308005089256,-0.830542247589187,0.145960053091594,-1.15530435174147
"Chromosome","SL1344_0015","SL1344_0015","LydA holin phage, holin superfamily III","S","Function Unknown","Poorly characterised",0.452455405743973,-0.793328734293317,0.347925087229543,-0.837217018953207
"Chromosome","SL1344_0016","SL1344_0016","Predicted Peptidoglycan domain","S","Function Unknown","Poorly characterised",0.817528519979431,0.288833876055074,0.779010775393493,0.425437197851489
"Chromosome","SL1344_0017","SL1344_0017","Transcriptional regulatory protein, C terminal","K","Transcription","Information storage and processing",0.757082518285902,-0.305715020751245,0.64261596917294,-0.506928580068475
"Chromosome","SL1344_0018","chiA","Glyco_18","G","Carbohydrate transport and metabolism","Metabolism",0.396159451401483,-0.844909108827212,0.263019543146998,-1.05461309570079
"Chromosome","SL1344_0019","SL1344_0019","chitinase","S","Function Unknown","Poorly characterised",0.5362861067137,0.604382792437979,0.137524350400623,1.14506154064493
"Chromosome","SL1344_0020","SL1344_0020","Winged helix-turn-helix DNA binding","T","Signal transduction mechanisms","Cellular processes and signaling",0.387253792459789,-0.823673614567578,0.610386851563685,-0.500746102449699
"Chromosome","SL1344_0021","bcfA","Fimbrial protein","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.522164621329285,-0.606899338692061,0.290282483391714,-0.88491184872644
"Chromosome","SL1344_0022","bcfB","Pili assembly chaperone PapD, C-terminal domain","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling",0.971053502546263,0.0436349425153356,0.926559391674238,-0.124581845179637
"Chromosome","SL1344_0023","bcfC","PapC C-terminal domain","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.274917681191853,1.03740554248791,0.220720930888664,1.07398480152119
"Chromosome","SL1344_0024","bcfD","Fimbrial protein","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.675402672425719,0.45289942207023,0.514221451332381,0.643879731165166
"Chromosome","SL1344_0026","bcfF","Fimbrial protein","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.999204941602324,0.285223070227221,0.961785572332725,0.404862189729837
"Chromosome","SL1344_0027","bcfG","Pili assembly chaperone PapD, C-terminal domain","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.999204941602324,-0.140772631704096,0.988369206293153,-0.243823842203207
"Chromosome","SL1344_0029","SL1344_0029","-","-","no category","no theme",0.832554695606845,-0.242328935745193,0.572588286550515,-0.661405338260424
"Chromosome","SL1344_0030","SL1344_0030","Transcriptional regulatory protein, C terminal","K","Transcription","Information storage and processing",8.8e-44,7.15130927817523,8.04e-35,7.56290282400091
"Chromosome","SL1344_0031","SL1344_0031","Bacterial regulatory helix-turn-helix protein, lysR family","K","Transcription","Information storage and processing",0.261898189198775,-0.954455408713149,0.159980758309811,-1.17997481138053
"Chromosome","SL1344_0032","SL1344_0032","Transcriptional regulator","K","Transcription","Information storage and processing",0.573403360046463,0.532453323387268,0.203874434832333,0.99717309348901
"Chromosome","SL1344_0033","SL1344_0033","Arylsulfotransferase Ig-like domain","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling",0.306392403056014,-0.936404355735539,0.252482260633906,0.967434022454219
"Chromosome","SL1344_0034","SL1344_0034","Belongs to the 5'-nucleotidase family","F","Nucleotide transport and metabolism","Metabolism",0.448287004626174,0.678380607712909,0.66063526393479,0.497489488987049
"Chromosome","SL1344_0035","SL1344_0035","Nucleoside-specific channel-forming protein, Tsx","S","Function Unknown","Poorly characterised",0.314782199835645,0.946924878233192,0.284442206341908,0.902451504299144
"Chromosome","SL1344_0036","SL1344_0036","Type I phosphodiesterase / nucleotide pyrophosphatase","P","Inorganic ion transport and metabolism","Metabolism",0.999204941602324,0.463316247980345,0.999304589921669,-0.00393205388022089
"Chromosome","SL1344_0037","SL1344_0037","Iron-sulfur cluster-binding domain","C","Energy production and conversion","Metabolism",0.865642991975347,-0.190800550502167,0.863994900100787,0.707759990020357
"Chromosome","SL1344_0038","SL1344_0038","Transposase","L","Replication, recombination and repair ","Information storage and processing",0.407127189172595,-0.739287843537166,0.29569033260236,-0.932439762792649
"Chromosome","SL1344_0039","SL1344_0039","Arylsulfotransferase Ig-like domain","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling",0.190015841656864,1.05399255272251,0.018029592795077,1.60861297045947
"Chromosome","SL1344_0040","nhaA",") H( ) antiporter that extrudes sodium in exchange for external protons","P","Inorganic ion transport and metabolism","Metabolism",0.999204941602324,-0.277598151701208,0.935137128960497,0.562525599710444
"Chromosome","SL1344_0042","SL1344_0042","Glycosyl hydrolases family 31","G","Carbohydrate transport and metabolism","Metabolism",0.76705961888226,-0.885063476191804,0.561336934684726,0.911539281009464
"Chromosome","SL1344_0043","SL1344_0043","MFS/sugar transport protein","P","Inorganic ion transport and metabolism","Metabolism",0.552385131656076,0.601021392088911,0.700534985949169,0.509844825024965
"Chromosome","SL1344_0049","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase","G","Carbohydrate transport and metabolism","Metabolism",0.984475934345696,-0.0294976068872391,0.929173962911884,-0.126496755029482
"Chromosome","SL1344_0051","SL1344_0051","-","-","no category","no theme",0.471796639212232,0.701137136548068,0.296060097812621,0.914333346052548
"Chromosome","SL1344_0052","rihC","Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity","G","Carbohydrate transport and metabolism","Metabolism",0.529395555580168,0.594539989270632,0.719882381320033,0.42901801367684
"Chromosome","SL1344_0054","citA2","Single cache domain 3","T","Signal transduction mechanisms","Cellular processes and signaling",0.547531019212458,0.630274222804556,0.524459860644199,-0.653265845860254
"Chromosome","SL1344_0055","SL1344_0055","Catalyzes the formation of pyruvate from oxaloacetate","C","Energy production and conversion","Metabolism",0.529395555580168,-0.586702969851982,0.525947642162961,-0.619408317988476
"Chromosome","SL1344_0057","oadG","Lyase and sodium transporter","C","Energy production and conversion","Metabolism",0.999204941602324,-0.314788446274115,0.95097892587716,-0.533424263770506
"Chromosome","SL1344_0058","SL1344_0058","Uptake of citrate across the boundary membrane with the concomitant uptake of a sodium ion (symport system)","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.833909477544915,0.919972416398098,0.894441390976599,-0.179881562267392
"Chromosome","SL1344_0059","citC2","Acetylation of prosthetic group (2-(5''-phosphoribosyl)- 3'-dephosphocoenzyme-A) of the gamma subunit of citrate lyase","H","Coenzyme transport and metabolism","Metabolism",0.579690277068608,-0.570239776011205,0.498093282091946,-0.720443399340972
"Chromosome","SL1344_0061","citE2","C-C_Bond_Lyase of the TIM-Barrel fold","G","Carbohydrate transport and metabolism","Metabolism",0.999204941602324,0.404162554758552,0.884380058163345,0.681723087524437
"Chromosome","SL1344_0062","citF2","Citrate lyase, alpha subunit (CitF)","C","Energy production and conversion","Metabolism",0.736082892674682,0.350070650447405,0.74504056905346,-0.832222073046418
"Chromosome","SL1344_0064","citG2","ATP:dephospho-CoA triphosphoribosyl transferase","F","Nucleotide transport and metabolism","Metabolism",0.999204941602324,-0.00499056586188066,0.993028307167897,-0.149500674522954
"Chromosome","SL1344_0066A","SL1344_0066A","hypothetical viral protein (pseudogene)",NA,"no category","no theme",0.999204941602324,-0.0983359019152593,0.995125012877387,0.0662882031750797
"Chromosome","SL1344_0067","carA","Carbamoyl-phosphate synthase small chain, CPSase domain","F","Nucleotide transport and metabolism","Metabolism",0.573403360046463,0.550148031261848,0.0789856664726833,1.26263440262692
"Chromosome","SL1344_0068","carB","Carbamoyl-phosphate synthetase large chain, oligomerisation domain","F","Nucleotide transport and metabolism","Metabolism",0.334766584731054,-0.945459805958792,0.5226832752587,-0.665845571496333
"Chromosome","SL1344_0071","caiD","Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA","H","Coenzyme transport and metabolism","Metabolism",0.393152697202256,0.768313029249898,0.433576447705495,0.799263591152095
"Chromosome","SL1344_0072","caiC","Could catalyze the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle","IQ","Lipid transport and metabolism;Secondary metabolites biosynthesis, transport, and catabolism","Metabolism",0.330376950205476,0.87842468661475,0.497068187514352,0.667435748829061
"Chromosome","SL1344_0073","caiB","Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl- CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl- CoA or L-carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA","C","Energy production and conversion","Metabolism",0.387253792459789,0.838593933934552,0.205265220202391,1.10761200573761
"Chromosome","SL1344_0075","caiT","Catalyzes the exchange of L-carnitine for gamma- butyrobetaine and related betaines","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling",0.999204941602324,-0.15681090551801,0.98048630995855,0.318467804748942
"Chromosome","SL1344_0076","fixA","Required for anaerobic carnitine reduction. May bring reductant to CaiA","C","Energy production and conversion","Metabolism",0.999204941602324,0.00431690019865948,0.999304589921669,0.00651101214045056
"Chromosome","SL1344_0077","fixB","Required for anaerobic carnitine reduction. May bring reductant to CaiA","C","Energy production and conversion","Metabolism",0.615231134652736,0.495142123366423,0.802277377943199,0.326357222472718
"Chromosome","SL1344_0078","fixC","part of an electron transfer system required for anaerobic carnitine reduction","C","Energy production and conversion","Metabolism",0.852625974939323,-0.199417403286399,0.991437571817461,0.150441232141907
"Chromosome","SL1344_0079","fixX","Could be a 3Fe-4S cluster-containing protein","C","Energy production and conversion","Metabolism",0.831170099689677,-0.233849685668145,0.539398276629973,-0.658984547526
"Chromosome","SL1344_0080","yaaU","Sugar (and other) transporter","G","Carbohydrate transport and metabolism","Metabolism",0.999204941602324,0.0701538565647987,0.995125012877387,0.0988528788734595
"Chromosome","SL1344_0082","SL1344_0082","-","-","no category","no theme",0.768768114005475,-0.309854345865936,0.786617485852821,-0.341250540556984
"Chromosome","SL1344_0083","SL1344_0083","Protein of unknown function (DUF1471)","S","Function Unknown","Poorly characterised",0.582512726158816,0.592878478655951,0.541984352155569,0.693771567960871
"Chromosome","SL1344_0083A","SL1344_0083A","hypothetical membrane protein (pseudogene)",NA,"no category","no theme",0.493453113893851,0.743307092674075,0.108129351987132,1.3791056387242
"Chromosome","SL1344_0084","SL1344_0084","Sulfatase","P","Inorganic ion transport and metabolism","Metabolism",0.629439970957777,0.508358550062173,0.407871297226608,0.772562613885315
"Chromosome","SL1344_0087","kefC","Pore-forming subunit of a potassium efflux system that confers protection against electrophiles. Catalyzes K( ) H( ) antiport","P","Inorganic ion transport and metabolism","Metabolism",0.344853649376132,0.856884016597367,0.275912694490291,0.95392832544975
"Chromosome","SL1344_0089","apaH","Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP","T","Signal transduction mechanisms","Cellular processes and signaling",4.84e-18,-6.47507857279099,7.9e-10,-4.98291111973229
"Chromosome","SL1344_0090","apaG","ApaG domain","P","Inorganic ion transport and metabolism","Metabolism",0.999204941602324,0.521632131915327,0.988369206293153,0.195530684726303
"Chromosome","SL1344_0092","pdxAa","Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP)","H","Coenzyme transport and metabolism","Metabolism",0.7500629562998,0.341168444723956,0.642262425158506,0.506672206545104
"Chromosome","SL1344_0093","surA","Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling",7.26e-10,-3.68069791392088,6.32e-07,-3.41495228836191
"Chromosome","SL1344_0095","djlA","Regulatory DnaK co-chaperone. Direct interaction between DnaK and DjlA is needed for the induction of the wcaABCDE operon, involved in the synthesis of a colanic acid polysaccharide capsule, possibly through activation of the RcsB RcsC phosphotransfer signaling pathway. The colanic acid capsule may help the bacterium survive conditions outside the host","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling",0.999204941602324,-0.0406195269505736,0.987001138894578,-0.27644133400401
"Chromosome","SL1344_0097","hepA","Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair","K","Transcription","Information storage and processing",0.536640531715843,0.584409991838104,0.611566709556234,0.539549203719849
"Chromosome","SL1344_0098","polB","DNA polymerase type-B family","L","Replication, recombination and repair ","Information storage and processing",0.910162871682374,0.137822656530362,0.778201475475823,0.351777859178602
"Chromosome","SL1344_0099","SL1344_0099","DUF218 domain","S","Function Unknown","Poorly characterised",0.33706405002254,0.914818545355155,0.37883667659321,0.854956657218345
"Chromosome","SL1344_0101","araD","Class II Aldolase and Adducin N-terminal domain","G","Carbohydrate transport and metabolism","Metabolism",0.474963539409461,-0.653858587610592,0.625711569675721,-0.516434189612742
"Chromosome","SL1344_0102","araA","Catalyzes the conversion of L-arabinose to L-ribulose","G","Carbohydrate transport and metabolism","Metabolism",0.83105602781514,0.221573299710617,0.925380796243146,0.136033585857967
"Chromosome","SL1344_0103","araB","FGGY family of carbohydrate kinases, C-terminal domain","F","Nucleotide transport and metabolism","Metabolism",0.999204941602324,0.0699476555852544,0.988369206293153,0.251543057716235
"Chromosome","SL1344_0104","araC","AraC-like ligand binding domain","K","Transcription","Information storage and processing",0.999204941602324,0.175789309877598,0.960906097861678,0.468556735273922
"Chromosome","SL1344_0105","yabI","SNARE associated Golgi protein","S","Function Unknown","Poorly characterised",0.999204941602324,0.444286202385479,0.993614942857309,-0.140394141488814
"Chromosome","SL1344_0106","thiQ","Part of the ABC transporter complex ThiBPQ involved in thiamine import. Responsible for energy coupling to the transport system","H","Coenzyme transport and metabolism","Metabolism",0.977283591666363,-0.0388198705040408,0.863789085154203,-0.252258953503002
"Chromosome","SL1344_0108","tbpA","Bacterial extracellular solute-binding protein","H","Coenzyme transport and metabolism","Metabolism",0.999204941602324,0.177601956356643,0.862611579622889,0.652698729818765
"Chromosome","SL1344_0109","yabN","Activates the small RNA gene sgrS under glucose- phosphate stress conditions as well as yfdZ. Represses its own transcription under both stress and non-stress conditions. Might act as a sensor of the intracellular accumulation of phosphoglucose by binding these molecules in its C-terminal solute-binding domain","K","Transcription","Information storage and processing",0.999204941602324,-0.455125904529952,0.729236964728518,-0.888577312052447
"Chromosome","SL1344_0110","leuD","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","E","Amino acid transport and metabolism","Metabolism",0.999204941602324,0.373383720432345,0.974165979876778,0.393925175251176
"Chromosome","SL1344_0111","leuC","Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate","E","Amino acid transport and metabolism","Metabolism",0.999204941602324,-0.03974429087393,0.988369206293153,-0.182630701149794
"Chromosome","SL1344_0112","leuB","Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate","CE","Energy production and conversion;Amino acid transport and metabolism","Metabolism",0.989084899372673,-0.0165251700826006,0.704807124004958,-0.419904100711642
"Chromosome","SL1344_0113","leuA","Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)","E","Amino acid transport and metabolism","Metabolism",0.597151720264697,0.504714279221571,0.955182507265558,0.0856612337731287
"Chromosome","SL1344_0115","leuO","LysR substrate binding domain","K","Transcription","Information storage and processing",0.343188678801273,0.930274619861852,0.0180555424456971,1.52773059342148
"Chromosome","SL1344_0116","ilvI","Thiamine pyrophosphate enzyme, central domain","H","Coenzyme transport and metabolism","Metabolism",0.630031788271243,0.843351253575051,0.960906097861678,0.412512076381211
"Chromosome","SL1344_0118","fruR","Bacterial regulatory proteins, lacI family","K","Transcription","Information storage and processing",2.42e-08,-2.98746496210042,7.74e-10,-3.92686762895357
"Chromosome","SL1344_0136","secA","Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",8.55e-28,-7.60579897521382,1.97e-20,-6.85596492893463
"Chromosome","SL1344_0137","mutT","NUDIX domain","L","Replication, recombination and repair ","Information storage and processing",0.999204941602324,0.15189496940509,0.961480477113868,0.423686428926474
"Chromosome","SL1344_0139","yacF","Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling",0.999204941602324,-0.514360384650228,0.592278371787936,-1.06203774091253
"Chromosome","SL1344_0141","guaC","Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides","F","Nucleotide transport and metabolism","Metabolism",0.883589825397413,0.163522343032823,0.820014668088668,0.281024680164151
"Chromosome","SL1344_0142","pilC","Type II secretion system (T2SS), protein F","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.557142609151888,0.634541546570921,0.305704844554962,0.915865869191468
"Chromosome","SL1344_0143","pilB","Type II secretion system (T2SS), protein E, N-terminal domain","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.901056376659825,-0.139826300051129,0.921424719250145,0.148970168774579
"Chromosome","SL1344_0144","pilA","Prokaryotic N-terminal methylation motif","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.999204941602324,-0.118896869630819,0.993614942857309,0.14469775190844
"Chromosome","SL1344_0145","nadC","Quinolinate phosphoribosyl transferase, C-terminal domain","H","Coenzyme transport and metabolism","Metabolism",0.877632536577194,-0.169744725188687,0.979164134091906,0.0466555142839414
"Chromosome","SL1344_0146","ampD","N-acetylmuramoyl-L-alanine amidase","V","Defense mechanisms","Cellular processes and signaling",0.999204941602324,-0.0162604110331489,0.995125012877387,0.0800025020641223
"Chromosome","SL1344_0147","ampE","Regulatory signalling modulator protein AmpE","V","Defense mechanisms","Cellular processes and signaling",0.999204941602324,-0.31069869203672,0.999304589921669,0.0232253299842086
"Chromosome","SL1344_0148","SL1344_0148","Glycosyl hydrolases family 43","G","Carbohydrate transport and metabolism","Metabolism",0.757082518285902,-0.313497053730055,0.456750076147631,0.95154374773717
"Chromosome","SL1344_0149","SL1344_0149","MFS/sugar transport protein","G","Carbohydrate transport and metabolism","Metabolism",0.414886528064142,0.799433077478809,0.473302336912695,0.707824449609782
"Chromosome","SL1344_0150","aroP","Amino acid permease","E","Amino acid transport and metabolism","Metabolism",0.999204941602324,0.216813318857178,0.957025288004469,0.440222569028306
"Chromosome","SL1344_0151","pdhR","Pyruvate dehydrogenase complex repressor","K","Transcription","Information storage and processing",1.67e-09,-4.2991649809167,7.53e-05,-3.387207028495
"Chromosome","SL1344_0155","SL1344_0155","-","-","no category","no theme",0.936413406915876,0.093601086637015,0.790184108637022,0.33049074148727
"Chromosome","SL1344_0156","SL1344_0156","Protein of unknown function (DUF2950)","N","Cell motility","Cellular processes and signaling",0.309146163402906,1.07652505107884,0.0474516805695039,1.59014914002297
"Chromosome","SL1344_0157","yacH","Protein of unknown function (DUF3300)","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling",0.999204941602324,0.0395517883038737,0.988369206293153,0.193373655658781
"Chromosome","SL1344_0159","acnB","Aconitate B N-terminal domain","C","Energy production and conversion","Metabolism",0.00101890207788907,-2.18936102355785,0.000326700557362962,-2.61272096351444
"Chromosome","SL1344_0162","kdgT","The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling",0.735556948730916,0.329840421987734,0.946622699208434,0.0991741267185188
"Chromosome","SL1344_0164","pdxAb","Belongs to the PdxA family","H","Coenzyme transport and metabolism","Metabolism",0.407662962890513,-1.20093840924058,0.47122173361377,-1.26660609472815
"Chromosome","SL1344_0165","SL1344_0165","DeoR C terminal sensor domain","K","Transcription","Information storage and processing",0.788196461202155,0.288812944900903,0.841345192708445,-0.271959291371781
"Chromosome","SL1344_0166","speD","Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine","F","Nucleotide transport and metabolism","Metabolism",0.999204941602324,-0.295197867097216,0.988369206293153,-0.226909685463721
"Chromosome","SL1344_0167","speE","Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine","E","Amino acid transport and metabolism","Metabolism",0.539024647608862,0.588996229006374,0.657840025321541,0.498221889183281
"Chromosome","SL1344_0169","cueO","Multicopper oxidase","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism",0.522164621329285,-0.617696616328119,0.415629229281767,-0.766753440716614
"Chromosome","SL1344_0170","gcd","PQQ-like domain","G","Carbohydrate transport and metabolism","Metabolism",0.508293460485249,0.687638659458832,0.884286176366815,0.24359851803565
"Chromosome","SL1344_0174","yadH","ABC-2 type transporter","V","Defense mechanisms","Cellular processes and signaling",0.933136608865202,0.0957745832599249,0.936595255894611,-0.113210681774747
