## Thu Feb  2 18:08:01 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_k4bajabd --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_k4bajabd --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_k4bajabd/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence all --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
SL1344_0002	90371.CY43_00005	0.0	1596.0	COG0460@1|root,COG0527@1|root,COG0460@2|Bacteria,COG0527@2|Bacteria,1MW3H@1224|Proteobacteria,1RN1G@1236|Gammaproteobacteria,3ZK6B@590|Salmonella	1236|Gammaproteobacteria	E	ACT domain	thrA	GO:0000166,GO:0003674,GO:0003824,GO:0004072,GO:0004412,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006553,GO:0006566,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009070,GO:0009085,GO:0009088,GO:0009089,GO:0009090,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016772,GO:0016774,GO:0017076,GO:0019202,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046451,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.1.1.3,2.7.2.4	ko:K12524,ko:K12525	ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01230	M00016,M00017,M00018,M00526,M00527	R00480,R01773,R01775	RC00002,RC00043,RC00087	ko00000,ko00001,ko00002,ko01000	-	-	iECDH1ME8569_1439.ECDH1ME8569_0002,iEcDH1_1363.EcDH1_3594,iSFV_1184.SFV_0001	AA_kinase,ACT,ACT_7,Homoserine_dh,NAD_binding_3
SL1344_0013	220341.16501296	4.43e-239	661.0	COG0484@1|root,COG0484@2|Bacteria,1MVMS@1224|Proteobacteria,1RNHY@1236|Gammaproteobacteria,3ZK36@590|Salmonella	1236|Gammaproteobacteria	O	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins	dnaJ	GO:0000166,GO:0000988,GO:0000989,GO:0003674,GO:0003756,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006457,GO:0006458,GO:0006725,GO:0006807,GO:0006950,GO:0008144,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010556,GO:0015035,GO:0015036,GO:0016020,GO:0016032,GO:0016043,GO:0016491,GO:0016667,GO:0016853,GO:0016860,GO:0016864,GO:0016989,GO:0017076,GO:0019219,GO:0019222,GO:0022607,GO:0030554,GO:0031072,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0042026,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051704,GO:0055114,GO:0060255,GO:0061077,GO:0065003,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:0140096,GO:0140110,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1903506,GO:2001141	-	ko:K03686	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	DnaJ,DnaJ_C,DnaJ_CXXCXGXG
SL1344_0014	90371.CY43_00065	3.5e-222	613.0	COG0583@1|root,COG0583@2|Bacteria,1MWME@1224|Proteobacteria,1RNCJ@1236|Gammaproteobacteria,3ZKWP@590|Salmonella	1236|Gammaproteobacteria	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
SL1344_0015	90371.CY43_00070	1.03e-72	218.0	2BFIP@1|root,329CK@2|Bacteria,1RIQQ@1224|Proteobacteria,1S841@1236|Gammaproteobacteria,3ZMBT@590|Salmonella	1236|Gammaproteobacteria	S	LydA holin phage, holin superfamily III	-	-	-	-	-	-	-	-	-	-	-	-	Phage_holin_3_3
SL1344_0016	90371.CY43_00075	1.77e-135	382.0	COG3926@1|root,COG3926@2|Bacteria,1MVXW@1224|Proteobacteria,1RRB6@1236|Gammaproteobacteria,3ZM1J@590|Salmonella	1236|Gammaproteobacteria	S	Predicted Peptidoglycan domain	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_108,PG_binding_3
SL1344_0017	90371.CY43_00080	2.45e-98	286.0	COG3710@1|root,COG3710@2|Bacteria,1RBIU@1224|Proteobacteria,1S32V@1236|Gammaproteobacteria,3ZKJV@590|Salmonella	1236|Gammaproteobacteria	K	Transcriptional regulatory protein, C terminal	-	-	-	-	-	-	-	-	-	-	-	-	Trans_reg_C
SL1344_0018	90371.CY43_00085	0.0	1226.0	COG3325@1|root,COG3979@1|root,COG3325@2|Bacteria,COG3979@2|Bacteria,1MWAR@1224|Proteobacteria,1RPNS@1236|Gammaproteobacteria,3ZM1G@590|Salmonella	1236|Gammaproteobacteria	G	Glyco_18	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_18
SL1344_0019	90371.CY43_00090	0.0	1987.0	COG3979@1|root,COG3979@2|Bacteria,1R9UM@1224|Proteobacteria,1RR48@1236|Gammaproteobacteria,3ZJ06@590|Salmonella	1236|Gammaproteobacteria	S	chitinase	-	-	-	-	-	-	-	-	-	-	-	-	-
SL1344_0020	90371.CY43_00095	2.14e-171	478.0	COG0664@1|root,COG0664@2|Bacteria,1R9C0@1224|Proteobacteria,1S11H@1236|Gammaproteobacteria,3ZM34@590|Salmonella	1236|Gammaproteobacteria	T	Winged helix-turn-helix DNA binding	-	-	-	-	-	-	-	-	-	-	-	-	HTH_46
SL1344_0021	90371.CY43_00100	4.26e-115	331.0	COG3539@1|root,COG3539@2|Bacteria,1RFEW@1224|Proteobacteria,1S5AF@1236|Gammaproteobacteria,3ZKK1@590|Salmonella	1236|Gammaproteobacteria	NU	Fimbrial protein	elfA	GO:0005575,GO:0005623,GO:0007155,GO:0008150,GO:0009289,GO:0009987,GO:0022610,GO:0031589,GO:0042710,GO:0042995,GO:0043708,GO:0043709,GO:0044010,GO:0044464,GO:0044764,GO:0051704,GO:0090605,GO:0090609	-	-	-	-	-	-	-	-	-	-	Fimbrial
SL1344_0022	90371.CY43_00105	3.96e-155	436.0	COG3121@1|root,COG3121@2|Bacteria,1R3T9@1224|Proteobacteria,1RS56@1236|Gammaproteobacteria,3ZJWR@590|Salmonella	1236|Gammaproteobacteria	M	Pili assembly chaperone PapD, C-terminal domain	bcfB	-	-	ko:K07346	-	-	-	-	ko00000,ko02035,ko02044,ko03110	-	-	-	PapD_C,PapD_N
SL1344_0023	90371.CY43_00110	0.0	1745.0	COG3188@1|root,COG3188@2|Bacteria,1MUHE@1224|Proteobacteria,1RMPU@1236|Gammaproteobacteria,3ZIV3@590|Salmonella	1236|Gammaproteobacteria	NU	PapC C-terminal domain	elfC	GO:0003674,GO:0005215,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0006810,GO:0008150,GO:0008201,GO:0009279,GO:0009297,GO:0009987,GO:0015267,GO:0015288,GO:0015473,GO:0016020,GO:0016021,GO:0016043,GO:0019867,GO:0022607,GO:0022803,GO:0022829,GO:0022857,GO:0030030,GO:0030031,GO:0030312,GO:0030313,GO:0031224,GO:0031975,GO:0043167,GO:0043168,GO:0043711,GO:0044085,GO:0044425,GO:0044462,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071840,GO:0071944,GO:0097367,GO:1901681	-	ko:K07347	ko05133,map05133	-	-	-	ko00000,ko00001,ko02000,ko02035,ko02044	1.B.11.3	-	-	PapC_C,PapC_N,Usher
SL1344_0024	90371.CY43_00115	2.08e-240	660.0	COG3539@1|root,COG3539@2|Bacteria,1N6IB@1224|Proteobacteria,1SBUA@1236|Gammaproteobacteria,3ZKR1@590|Salmonella	1236|Gammaproteobacteria	NU	Fimbrial protein	bcfD	-	-	-	-	-	-	-	-	-	-	-	Fimbrial
SL1344_0025	90371.CY43_00120	4.3e-129	366.0	COG3539@1|root,COG3539@2|Bacteria,1RBMU@1224|Proteobacteria,1S7H4@1236|Gammaproteobacteria,3ZJ4P@590|Salmonella	1236|Gammaproteobacteria	NU	Fimbrial protein	bcfE	-	-	-	-	-	-	-	-	-	-	-	Fimbrial
SL1344_0026	90371.CY43_00125	5.94e-118	337.0	COG3539@1|root,COG3539@2|Bacteria,1N3AG@1224|Proteobacteria,1SBD7@1236|Gammaproteobacteria,3ZJ5C@590|Salmonella	1236|Gammaproteobacteria	NU	Fimbrial protein	bcfF	GO:0005575,GO:0005623,GO:0007155,GO:0008150,GO:0009289,GO:0009987,GO:0022610,GO:0031589,GO:0042710,GO:0042995,GO:0043708,GO:0043709,GO:0044010,GO:0044464,GO:0044764,GO:0051704,GO:0090605,GO:0090609	-	-	-	-	-	-	-	-	-	-	Fimbrial
SL1344_0027	90371.CY43_00130	9.86e-177	491.0	COG3121@1|root,COG3121@2|Bacteria,1RAQF@1224|Proteobacteria,1S585@1236|Gammaproteobacteria,3ZJJW@590|Salmonella	1236|Gammaproteobacteria	NU	Pili assembly chaperone PapD, C-terminal domain	ycbF	GO:0005575,GO:0005623,GO:0006457,GO:0008150,GO:0009987,GO:0016043,GO:0030030,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0043711,GO:0044464,GO:0045229,GO:0061077,GO:0071554,GO:0071555,GO:0071840	-	-	-	-	-	-	-	-	-	-	PapD_C,PapD_N
SL1344_0028	90371.CY43_00135	5.91e-197	546.0	COG1651@1|root,COG1651@2|Bacteria,1MY3H@1224|Proteobacteria,1RS9Y@1236|Gammaproteobacteria,3ZJAG@590|Salmonella	1236|Gammaproteobacteria	O	DSBA-like thioredoxin domain	-	-	-	-	-	-	-	-	-	-	-	-	DSBA
SL1344_0029	90371.CY43_00140	4.6e-64	196.0	2ESU5@1|root,33KCK@2|Bacteria,1NJGI@1224|Proteobacteria,1SHJY@1236|Gammaproteobacteria,3ZMP8@590|Salmonella	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SL1344_0030	90371.CY43_00145	2.96e-100	291.0	COG3710@1|root,COG3710@2|Bacteria,1RBIU@1224|Proteobacteria,1S32V@1236|Gammaproteobacteria,3ZMGK@590|Salmonella	1236|Gammaproteobacteria	K	Transcriptional regulatory protein, C terminal	-	-	-	-	-	-	-	-	-	-	-	-	Trans_reg_C
SL1344_0031	90371.CY43_00150	2.25e-239	658.0	COG0583@1|root,COG0583@2|Bacteria,1MWME@1224|Proteobacteria,1RNCJ@1236|Gammaproteobacteria,3ZMRW@590|Salmonella	1236|Gammaproteobacteria	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
SL1344_0032	220341.16501315	2.25e-59	186.0	COG3710@1|root,COG3710@2|Bacteria	2|Bacteria	K	Transcriptional regulator	toxR	-	-	-	-	-	-	-	-	-	-	-	Trans_reg_C
