seq,start,end,strand,locus_tag,com_id,type,description,locus_tag,WT_INPUT_R1,WT_INPUT_R2,WT_INPUT_R3,WT_OUTPUT_R1,WT_OUTPUT_R2,WT_OUTPUT_R3,WT_INPUT_R4,WT_OUTPUT_R4,WT_INPUT_R5,WT_OUTPUT_R5,WT_INPUT_R6,WT_OUTPUT_R6,WT_INPUT_R7,WT_OUTPUT_R7,WT_INPUT_R8,WT_OUTPUT_R8,WT_INPUT_R9,WT_OUTPUT_R9
FQ312003.1,1958512,1958819,-1,ncRNA0066,RyeF,sRNA,non-coding,ncRNA0066,165,145,145,142,73,113,151,148,134,133,154,76,115,121,162,110,156,109
FQ312003.1,2672650,2672945,1,ncRNA0067,RyfA,sRNA,non-coding,ncRNA0067,444,278,227,347,174,234,293,216,229,216,286,132,305,209,380,279,290,242
FQ312003.1,2805081,2805222,-1,ncRNA0068,RyfD,sRNA,non-coding,ncRNA0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
FQ312003.1,3736722,3736817,-1,ncRNA0069,RyhB,sRNA,non-coding,ncRNA0069,164,99,81,165,72,69,74,74,107,98,118,65,86,78,127,100,82,62
FQ312003.1,1662189,1662282,-1,ncRNA0070,RyjB,sRNA,non-coding,ncRNA0070,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
FQ312003.1,2071342,2071409,1,ncRNA0071,Sar,sRNA,non-coding,ncRNA0071,93,48,53,75,40,60,59,36,57,30,65,24,61,51,95,55,81,69
FQ312003.1,128576,128815,1,ncRNA0073,SgrS,sRNA,non-coding,ncRNA0073,401,350,221,341,160,207,295,239,276,247,306,117,318,293,465,262,405,252
FQ312003.1,2211622,2211781,1,ncRNA0074,SibA,sRNA,non-coding,ncRNA0074,52,63,55,46,29,39,60,21,20,38,41,40,25,16,84,46,43,54
FQ312003.1,3243668,3243814,1,ncRNA0075,SibC,sRNA,non-coding,ncRNA0075,37,15,16,37,25,3,20,21,16,27,18,8,29,12,22,17,14,26
FQ312003.1,3382992,3383144,-1,ncRNA0076,SibD,sRNA,non-coding,ncRNA0076,169,153,96,179,76,103,106,121,120,103,154,72,133,144,133,140,101,94
FQ312003.1,4230503,4230612,1,ncRNA0077,Spf,sRNA,non-coding,ncRNA0077,48,43,37,73,24,46,28,46,48,33,70,18,67,38,71,39,30,23
FQ312003.1,504868,504976,-1,ncRNA0078,SraA,sRNA,non-coding,ncRNA0078,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
FQ312003.1,1231269,1231378,1,ncRNA0079,SraB,sRNA,non-coding,ncRNA0079,203,154,131,119,76,76,139,77,103,106,113,45,137,77,131,79,143,71
FQ312003.1,1925542,1925852,1,ncRNA0080,SraC,sRNA,non-coding,ncRNA0080,51,40,40,15,18,12,32,42,20,43,69,22,17,36,82,35,54,46
FQ312003.1,3412773,3412960,1,ncRNA0081,SraF,sRNA,non-coding,ncRNA0081,320,200,173,251,125,145,200,143,159,128,240,113,167,131,217,199,262,150
FQ312003.1,3472127,3472312,1,ncRNA0082,SraG,sRNA,non-coding,ncRNA0082,18,20,9,31,17,11,4,5,10,2,19,3,4,4,11,11,17,14
FQ312003.1,4526161,4526302,-1,ncRNA0083,SraL,sRNA,non-coding,ncRNA0083,120,101,63,119,60,56,84,65,63,66,93,42,60,71,109,59,98,60
FQ312003.1,126713,126802,-1,ncRNA0084,SroA,sRNA,non-coding,ncRNA0084,6,3,0,4,0,3,0,12,0,2,1,0,13,3,0,8,1,4
FQ312003.1,728172,728327,-1,ncRNA0085,SroC,sRNA,non-coding,ncRNA0085,178,177,147,149,72,108,166,97,142,104,123,87,211,141,218,116,182,84
FQ312003.1,1872739,1872842,-1,ncRNA0086,SroD,sRNA,non-coding,ncRNA0086,112,85,60,138,46,56,50,57,85,50,90,36,134,43,87,58,110,67
FQ312003.1,2855135,2855498,1,ncRNA0088,SsrA,sRNA,non-coding,ncRNA0088,78,59,54,31,10,21,56,8,34,18,48,8,59,13,50,15,29,12
FQ312003.1,3242818,3243000,1,ncRNA0089,SsrS,sRNA,non-coding,ncRNA0089,195,128,87,135,67,88,152,87,93,107,150,82,138,117,181,138,206,100
FQ312003.1,4797968,4798032,1,ncRNA0090,SymR,sRNA,non-coding,ncRNA0090,92,153,125,52,92,92,152,83,108,91,79,59,93,80,130,88,106,92
FQ312003.1,254125,254276,1,ncRNA0091,Tff,sRNA,non-coding,ncRNA0091,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FQ312003.1,3704121,3704235,-1,ncRNA0092,YrlA,sRNA,non-coding,ncRNA0092,15,18,3,11,3,15,0,6,6,3,15,7,12,13,23,6,17,4
FQ312003.1,3704352,3704443,-1,ncRNA0093,YrlB,sRNA,non-coding,ncRNA0093,23,11,17,6,3,12,0,6,6,4,0,6,5,9,11,5,5,0
FQ312003.1,756376,756432,-1,ncRNA0095,tp28,sRNA,non-coding,ncRNA0095,0,1,5,2,1,0,0,0,0,2,4,0,0,0,0,1,0,0
FQ312003.1,4238587,4238764,1,ncRNA0096,tpk3,sRNA,non-coding,ncRNA0096,266,194,133,306,142,141,214,124,140,177,200,76,187,179,246,133,205,189
FQ312003.1,13513,13576,1,ncRNA0097,tpke11,sRNA,non-coding,ncRNA0097,148,110,94,155,52,103,129,97,90,113,72,45,111,95,88,109,89,89
FQ312003.1,2513323,2513722,-1,ncRNA0098,tpke70,sRNA,non-coding,ncRNA0098,119,105,111,97,63,116,127,107,93,71,160,51,84,122,157,104,105,69
FQ312003.1,4461057,4461442,-1,ncRNA0099,lysC-leader,sRNA,non-coding,ncRNA0099,541,353,232,335,223,267,268,268,251,242,326,154,341,337,396,309,409,236
FQ312003.1,3566009,3566249,-1,ncRNA0100,mreB-leader,sRNA,non-coding,ncRNA0100,28,47,30,26,19,23,34,28,50,25,38,23,58,36,71,48,45,57
FQ312003.1,3624231,3624439,-1,ncRNA0101,rpsL-leader,sRNA,non-coding,ncRNA0101,34,13,12,26,15,14,5,2,4,1,3,2,5,1,4,1,19,3
FQ312003.1,2539668,2539837,-1,ncRNA0103,zipA-leader,sRNA,non-coding,ncRNA0103,80,86,66,24,15,19,51,3,69,13,68,5,56,4,49,17,92,9
FQ312003.1,3603179,3603249,1,ncRNA0105,asarfA,sRNA,non-coding,ncRNA0105,642,462,340,588,292,383,358,392,367,469,366,194,407,415,527,435,470,382
FQ312003.1,3459585,3459745,-1,ncRNA0106,asyhbQ,sRNA,non-coding,ncRNA0106,199,209,111,209,73,133,146,103,161,160,194,98,196,158,243,152,242,123
FQ312003.1,4179407,4179646,1,ncRNA0108,GO-10704,sRNA,non-coding,ncRNA0108,316,279,190,311,120,160,156,171,155,130,116,58,245,144,238,168,213,154
FQ312003.1,257716,257816,1,ncRNA0109,sRNA1,sRNA,non-coding,ncRNA0109,33,28,23,41,21,3,17,28,21,29,22,15,39,17,32,14,26,11
FQ312003.1,2311207,2311408,1,ncRNA0110,sRNA2,sRNA,non-coding,ncRNA0110,77,127,125,73,54,91,89,89,139,98,159,46,106,79,128,94,110,97
FQ312003.1,3295803,3295990,-1,ncRNA0112,sRNA7,sRNA,non-coding,ncRNA0112,184,184,145,197,65,131,187,111,113,106,172,70,167,145,99,144,157,133
FQ312003.1,679291,679410,-1,ncRNA0113,sRNA10,sRNA,non-coding,ncRNA0113,122,68,41,98,54,48,70,52,71,93,106,41,54,74,59,74,74,73
FQ312003.1,139456,139729,1,ncRNA0114,sRNA11,sRNA,non-coding,ncRNA0114,809,777,773,649,437,521,731,467,529,459,659,251,604,449,746,540,754,421
FQ312003.1,3755043,3755124,-1,ncRNA0115,sRNA12,sRNA,non-coding,ncRNA0115,18,12,13,12,6,4,5,5,8,9,0,4,18,3,2,11,7,10
FQ312003.1,1648524,1648804,1,ncRNA0116,sRNA15,sRNA,non-coding,ncRNA0116,0,3,8,3,1,5,0,0,1,3,3,1,1,5,0,1,4,4
FQ312003.1,1291394,1291605,-1,ncRNA0117,sRNA16,sRNA,non-coding,ncRNA0117,708,1620,1322,610,828,1117,846,618,791,698,891,395,1050,757,830,703,954,714
FQ312003.1,2631707,2631786,1,ncRNA0119,sRNA19,sRNA,non-coding,ncRNA0119,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
FQ312003.1,4582489,4583009,1,ncRNA0120,sRNA21,sRNA,non-coding,ncRNA0120,789,1918,1557,684,989,1267,1312,940,1199,928,1221,617,1246,1040,1308,1071,1273,863
FQ312003.1,3549919,3550072,-1,ncRNA0121,sRNA22,sRNA,non-coding,ncRNA0121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FQ312003.1,1584388,1584661,-1,ncRNA0124,sRNA25,sRNA,non-coding,ncRNA0124,71,287,130,67,155,168,162,80,129,108,161,74,93,97,144,103,171,103
FQ312003.1,4336599,4336886,-1,ncRNA0127,sRNA29,sRNA,non-coding,ncRNA0127,3,141,132,12,92,151,43,31,32,44,56,26,70,16,54,27,44,35
FQ312003.1,3576377,3576534,-1,ncRNA0128,sRNA31,sRNA,non-coding,ncRNA0128,6,6,4,7,1,0,6,1,4,5,9,1,1,0,6,0,2,3
FQ312003.1,610436,610589,-1,ncRNA0129,sRNA32,sRNA,non-coding,ncRNA0129,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FQ312003.1,52093,52272,1,ncRNA0132,STnc20,sRNA,non-coding,ncRNA0132,506,551,593,489,360,408,448,390,372,353,517,170,434,341,659,419,536,360
FQ312003.1,58791,58923,1,ncRNA0133,STnc30,sRNA,non-coding,ncRNA0133,247,179,122,178,93,127,143,140,116,131,134,60,164,80,188,125,133,121
FQ312003.1,161416,161558,1,ncRNA0134,STnc40,sRNA,non-coding,ncRNA0134,478,350,250,387,165,227,318,259,247,230,324,152,374,284,406,361,349,254
FQ312003.1,182461,182543,-1,ncRNA0135,STnc50,sRNA,non-coding,ncRNA0135,0,4,1,3,2,1,13,1,6,3,3,2,5,6,6,3,0,6
FQ312003.1,669615,669786,1,ncRNA0137,STnc70,sRNA,non-coding,ncRNA0137,79,56,59,54,24,41,39,33,31,22,46,33,60,37,57,49,83,55
FQ312003.1,1070212,1070327,1,ncRNA0139,STnc140,sRNA,non-coding,ncRNA0139,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
FQ312003.1,1282502,1282686,-1,ncRNA0140,STnc150,sRNA,non-coding,ncRNA0140,317,599,423,299,278,375,374,282,355,284,381,163,282,270,427,349,421,267
FQ312003.1,1562636,1562969,-1,ncRNA0141,STnc170,sRNA,non-coding,ncRNA0141,8,118,95,20,65,84,53,40,53,46,72,45,39,73,80,57,105,59
FQ312003.1,1895062,1895216,1,ncRNA0142,STnc190,sRNA,non-coding,ncRNA0142,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
FQ312003.1,1937122,1937193,-1,ncRNA0143,STnc200,sRNA,non-coding,ncRNA0143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FQ312003.1,1974402,1974566,-1,ncRNA0144,STnc205,sRNA,non-coding,ncRNA0144,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0
FQ312003.1,1989986,1990148,1,ncRNA0145,STnc210,sRNA,non-coding,ncRNA0145,99,106,105,80,56,71,81,98,78,68,123,41,95,62,139,73,129,70
FQ312003.1,2036561,2036659,-1,ncRNA0146,STnc220,sRNA,non-coding,ncRNA0146,12,2,10,1,4,2,6,8,1,11,5,2,2,5,1,2,33,0
FQ312003.1,2113059,2113174,1,ncRNA0147,STnc230,sRNA,non-coding,ncRNA0147,257,250,174,168,138,139,145,114,201,125,170,113,173,153,246,164,189,184
FQ312003.1,2145049,2145161,-1,ncRNA0148,STnc240,sRNA,non-coding,ncRNA0148,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FQ312003.1,2988648,2988823,1,ncRNA0149,STnc260,sRNA,non-coding,ncRNA0149,71,77,59,72,13,38,57,29,75,37,84,32,54,81,72,53,34,42
FQ312003.1,3200937,3201079,1,ncRNA0150,STnc280,sRNA,non-coding,ncRNA0150,23,13,21,22,9,4,2,10,22,14,19,13,16,4,18,12,25,7
FQ312003.1,3215638,3215781,-1,ncRNA0151,STnc290,sRNA,non-coding,ncRNA0151,78,33,41,49,21,31,28,42,27,46,35,24,15,40,61,41,85,22
FQ312003.1,3304509,3304577,-1,ncRNA0152,STnc300,sRNA,non-coding,ncRNA0152,45,89,66,32,46,55,27,41,38,38,50,26,62,27,47,46,73,21
FQ312003.1,3413965,3414055,-1,ncRNA0153,STnc310,sRNA,non-coding,ncRNA0153,78,49,51,62,33,23,56,52,51,34,46,15,43,42,21,32,34,28
FQ312003.1,3425409,3425649,1,ncRNA0154,STnc320,sRNA,non-coding,ncRNA0154,19,16,16,17,9,3,7,13,12,10,8,4,0,19,11,11,43,13
FQ312003.1,3657243,3657392,-1,ncRNA0155,STnc340,sRNA,non-coding,ncRNA0155,57,166,151,50,113,139,78,62,108,96,112,59,102,59,87,77,147,89
FQ312003.1,3782699,3782856,-1,ncRNA0156,STnc350,sRNA,non-coding,ncRNA0156,58,55,33,70,21,30,40,41,59,26,33,26,29,35,71,28,40,39
FQ312003.1,3801578,3801727,1,ncRNA0157,STnc360,sRNA,non-coding,ncRNA0157,558,366,329,421,244,256,301,228,321,242,336,168,389,255,320,328,303,244
FQ312003.1,3906943,3907051,-1,ncRNA0159,STnc380,sRNA,non-coding,ncRNA0159,45,22,29,31,30,19,36,12,26,10,24,20,47,24,35,31,35,39
FQ312003.1,3923912,3923975,-1,ncRNA0160,STnc390,sRNA,non-coding,ncRNA0160,62,144,92,66,81,103,53,51,69,59,88,23,61,40,47,49,101,51
FQ312003.1,4093817,4094041,1,ncRNA0161,STnc410,sRNA,non-coding,ncRNA0161,63,56,40,69,30,35,57,33,56,44,68,40,66,37,68,27,69,46
FQ312003.1,4272915,4272977,-1,ncRNA0162,STnc420,sRNA,non-coding,ncRNA0162,102,40,64,69,51,55,73,47,65,53,99,35,77,33,67,66,51,44
FQ312003.1,4463193,4463343,-1,ncRNA0163,STnc430,sRNA,non-coding,ncRNA0163,73,82,99,43,66,83,44,45,57,56,110,42,69,59,72,48,56,68
FQ312003.1,4580484,4580565,1,ncRNA0164,STnc440,sRNA,non-coding,ncRNA0164,299,284,189,616,244,390,255,394,173,348,241,190,298,363,271,352,265,408
FQ312003.1,4665598,4665699,-1,ncRNA0165,STnc450,sRNA,non-coding,ncRNA0165,39,52,43,50,19,41,77,39,54,30,72,29,100,53,44,46,56,52
FQ312003.1,4778769,4778915,-1,ncRNA0166,STnc460,sRNA,non-coding,ncRNA0166,2,61,51,0,32,19,10,6,13,5,0,3,4,10,18,1,2,5
FQ312003.1,94652,94771,-1,ncRNA0167,STnc470,sRNA,non-coding,ncRNA0167,182,350,319,130,181,304,245,210,205,153,243,100,241,242,252,200,206,203
FQ312003.1,587339,587395,-1,ncRNA0169,STnc480,sRNA,non-coding,ncRNA0169,41,55,38,19,26,25,30,34,34,36,41,26,24,48,79,44,40,31
FQ312003.1,981623,981711,-1,ncRNA0170,STnc490a,sRNA,non-coding,ncRNA0170,16,9,15,25,10,9,15,11,16,14,19,3,14,15,22,14,16,10
FQ312003.1,1270919,1271007,-1,ncRNA0171,STnc490b,sRNA,non-coding,ncRNA0171,19,12,14,26,13,14,19,8,13,14,28,5,15,13,21,15,26,15
FQ312003.1,1872587,1872675,1,ncRNA0172,STnc490c,sRNA,non-coding,ncRNA0172,20,21,20,23,22,9,20,16,22,14,14,3,21,18,24,20,24,12
FQ312003.1,2003752,2003840,1,ncRNA0173,STnc490d,sRNA,non-coding,ncRNA0173,24,13,14,24,17,9,15,20,15,25,31,8,13,13,19,20,14,11
FQ312003.1,2577496,2577584,1,ncRNA0174,STnc490e,sRNA,non-coding,ncRNA0174,19,21,19,26,18,8,18,9,15,17,24,7,12,14,23,18,15,9
FQ312003.1,3485886,3485974,1,ncRNA0175,STnc490f,sRNA,non-coding,ncRNA0175,24,13,14,19,13,12,23,10,23,25,21,10,13,15,21,15,24,11
FQ312003.1,3657128,3657216,1,ncRNA0176,STnc490g,sRNA,non-coding,ncRNA0176,26,23,19,22,12,10,24,16,8,11,22,9,14,18,14,11,19,19
FQ312003.1,1172560,1172641,-1,ncRNA0177,STnc500,sRNA,non-coding,ncRNA0177,81,136,114,64,60,88,151,78,92,86,58,37,91,118,122,88,126,74
FQ312003.1,1288533,1289103,1,ncRNA0178,STnc510,sRNA,non-coding,ncRNA0178,484,851,617,562,500,686,458,452,365,589,556,306,508,577,580,478,498,435
FQ312003.1,1290589,1290674,-1,ncRNA0179,STnc520,sRNA,non-coding,ncRNA0179,434,525,382,410,257,354,338,310,334,244,409,143,414,309,361,310,366,268
FQ312003.1,1317057,1317158,-1,ncRNA0180,STnc530,sRNA,non-coding,ncRNA0180,202,212,207,137,122,214,151,118,175,186,165,85,193,124,218,142,237,156
FQ312003.1,1376237,1376364,1,ncRNA0181,STnc540,sRNA,non-coding,ncRNA0181,62,47,42,73,30,28,22,45,30,54,39,19,26,70,43,48,50,28
FQ312003.1,3033414,3033542,-1,ncRNA0182,STnc590,sRNA,non-coding,ncRNA0182,37,74,71,48,24,54,38,31,39,38,44,33,54,44,50,35,72,26
FQ312003.1,3041344,3041651,1,ncRNA0183,STnc600,sRNA,non-coding,ncRNA0183,33,716,518,44,339,445,202,134,131,134,188,81,175,118,137,124,186,151
FQ312003.1,3479057,3479185,-1,ncRNA0184,STnc610,sRNA,non-coding,ncRNA0184,38,36,37,24,12,11,27,2,16,11,19,6,55,21,35,24,22,8
FQ312003.1,4498082,4498195,1,ncRNA0185,STnc620,sRNA,non-coding,ncRNA0185,828,502,444,714,260,367,452,371,348,438,545,249,499,403,591,402,582,367
FQ312003.1,1282750,1282935,1,ncRNA0186,STnc640,sRNA,non-coding,ncRNA0186,89,131,90,85,39,72,81,51,78,79,80,47,86,74,124,72,92,59
FQ312003.1,898556,898793,1,ncRNA0187,STnc650,sRNA,non-coding,ncRNA0187,255,240,166,262,100,132,238,164,170,159,230,83,149,203,230,192,157,143
