Gene ID,Gene,Product,Ins_count,read_count,Ins_count,read_count,Ins_count,read_count,,,Ins_count,read_count,Ins_count,read_count,Ins_count,read_count,,,Ins_count,read_count,Ins_count,read_count,Ins_count,read_count,,,,
STM14_0027,-,hypothetical protein,1,36,0,0,0,0,-4.52,,1,36,1,47,0,0,-2.84,,1,48,0,0,0,0,-4.27,,0.07,
STM14_0028,bcfA,fimbrial subunit,2,124,1,33,1,68,-1.32,,4,419,2,915,1,902,1.53,,2,132,1,35,1,58,-1.27,,0.43,
STM14_0029,bcfB,fimbrial chaparone,9,813,5,390,4,152,-1.36,,18,1409,17,1508,10,1282,0,,9,829,5,355,3,138,-1.4,,0.71,
STM14_0030,bcfC,fimbrial usher,22,2203,13,1869,10,1045,-0.83,,44,3485,32,3165,18,3570,-0.03,,20,2338,12,1852,10,1074,-0.78,,0.52,
STM14_0031,bcfD,fimbrial subunit,7,399,3,658,3,770,-1.49,,20,892,10,774,7,931,-0.7,,6,461,3,733,3,759,-1.32,,0.85,
STM14_0032,bcfE,fimbrial subunit,2,274,2,226,2,101,-1.1,,7,400,3,393,1,252,-0.4,,2,282,2,210,2,94,-1.11,,0.68,
STM14_0033,bcfF,fimbrial subunit,5,2017,3,2858,3,2364,2.25,,7,282,5,308,2,612,-0.61,,4,2182,3,3007,3,2381,2.34,,0.04,
STM14_0034,bcfG,fimbrial chaparone,6,1450,5,1039,1,597,0.42,,10,1034,8,803,5,534,0,,6,1529,4,1066,1,598,0.47,,0.2,
STM14_0035,bcfH,putative thiol-disulfide isomerase,8,917,3,784,2,803,-0.1,,10,318,4,298,3,225,-1.62,,9,872,3,800,2,757,-0.14,,0.56,
STM14_0036,-,hypothetical protein,3,734,1,619,1,857,0.02,,4,604,4,617,3,725,-0.18,,3,631,1,619,1,783,-0.13,,0.33,
STM14_0037,-,putative transcriptional regulator,0,0,0,0,0,0,-7.28,,2,155,2,53,0,0,-1.18,,0,0,0,0,0,0,-7.28,,0,essential
STM14_0038,-,putative transcriptional regulator,3,136,2,160,1,384,-0.78,,2,91,2,47,0,0,-2.51,,3,116,2,189,1,340,-0.86,,0.98,
STM14_0039,-,putative transcriptional regulator,3,20,0,0,0,0,-4.75,,4,129,4,193,3,118,-0.19,,3,27,0,0,0,0,-4.49,,0.2,
STM14_0040,-,hypothetical protein,0,0,0,0,0,0,-2.38,,0,0,0,0,0,0,-2.38,,0,0,0,0,0,0,-2.38,,0.48,
STM14_0041,-,putative arylsulfatase,10,708,7,969,5,476,-1.37,,32,3846,25,2235,13,1670,0.63,,10,719,6,879,5,463,-1.4,,0.6,
STM14_0042,-,putative 5'-nucleotidase,13,4704,9,3273,7,1921,0.42,,28,3879,21,3633,16,3868,0.4,,13,4898,9,3244,6,1958,0.45,,0.17,
STM14_0043,-,putative outer membrane/exported protein,3,156,2,185,1,181,-1.83,,6,442,5,359,3,503,-0.49,,3,170,2,192,1,173,-1.74,,0.96,
STM14_0044,-,putative arylsulfatase,12,1756,8,1216,6,915,-0.78,,24,1950,15,1656,11,2061,-0.44,,13,1736,8,1254,6,800,-0.79,,0.58,
STM14_0045,-,putative arylsulfatase regulator,8,2795,5,2058,4,1969,0.28,,13,1914,11,2467,8,2443,0.06,,8,2758,5,2140,3,2102,0.3,,0.23,
STM14_0046,-,putative cytoplasmic protein,7,500,5,1006,4,1258,-0.99,,17,991,12,995,8,882,-0.46,,7,491,5,1094,4,1313,-0.96,,0.65,
STM14_0047,-,putative arylsulfatase,14,2704,10,1920,5,1622,-0.29,,32,2583,27,2339,15,2195,-0.2,,14,2708,11,1989,5,1753,-0.26,,0.39,
STM14_0048,nhaA,pH-dependent sodium/proton antiporter,4,176,0,0,0,0,-5.36,,8,831,6,244,2,121,-0.95,,3,174,0,0,0,0,-5.37,,0.07,
STM14_0049,nhaR,transcriptional activator NhaR,7,1559,4,1579,3,498,0.34,,13,734,12,1423,6,1041,-0.25,,7,1602,5,1651,3,472,0.38,,0.24,
STM14_0050,-,putative glycosyl hydrolase,11,4244,7,3383,6,4353,1.04,,24,1830,20,1725,13,1792,-0.11,,10,4197,6,3426,6,4503,1.04,,0.12,
STM14_0051,-,putative sodium galactoside symporter,6,863,4,655,3,429,-0.7,,15,984,11,1298,7,1009,-0.16,,6,908,4,716,3,381,-0.63,,0.5,
STM14_0052,rpsT,30S ribosomal protein S20,0,0,0,0,0,0,-3.92,,1,17,1,24,1,55,0.56,,0,0,0,0,0,0,-3.92,,0.46,
STM14_0053,yaaY,putative cytoplasmic protein,2,55,0,0,0,0,-5.13,,3,214,2,143,2,210,-1.05,,2,55,0,0,0,0,-5.13,,0.08,
STM14_0054,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,0,0,0,0,0,0,-1.31,,0,0,0,0,0,0,-1.31,,0,0,0,0,0,0,-1.31,,0.94,
STM14_0055,ileS,isoleucyl-tRNA synthetase,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0056,lspA,lipoprotein signal peptidase,0,0,0,0,0,0,-6.34,,1,54,1,35,0,0,-1.31,,0,0,0,0,0,0,-6.34,,0.02,essential
STM14_0057,-,hypothetical protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0058,slpA,FKBP-type peptidyl-prolyl cis-trans isomerase,0,0,0,0,0,0,-4.86,,1,16,1,63,1,118,0.07,,0,0,0,0,0,0,-4.86,,0.18,
STM14_0059,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0060,-,putative nitrite reductase,11,2460,5,1778,5,1262,-0.01,,27,1733,18,1573,9,1613,-0.33,,11,2464,5,1866,4,1299,0.02,,0.33,
STM14_0061,rihC,ribonucleoside hydrolase RihC,6,7268,6,6106,6,5167,3.45,,9,710,8,510,4,544,0.04,,6,7003,6,5855,5,4986,3.39,,0.01,
STM14_0062,-,putative transcriptional regulator,6,656,4,1004,4,1477,-1.03,,15,1129,12,844,7,614,-0.76,,5,682,4,968,4,1341,-1.03,,0.72,
STM14_0063,-,putative transcriptional regulator,17,2777,8,2380,6,2623,-0.06,,30,3638,24,2884,16,1868,0.21,,17,2803,9,2391,6,2751,-0.04,,0.28,
STM14_0064,-,putative oxalacetate decarboxylase subunit beta,2,247,2,472,1,720,0.44,,4,355,3,290,2,302,0.41,,2,234,2,407,1,711,0.32,,0.18,
STM14_0065,-,pyruvate carboxylase subunit B,1,26,1,10,0,0,-1.83,,1,44,1,156,1,267,0.56,,1,35,1,12,0,0,-1.51,,0.71,
STM14_0066,-,oxaloacetate decarboxylase subunit gamma,0,0,0,0,0,0,-6.63,,2,25,0,0,0,0,-3.81,,0,0,0,0,0,0,-6.63,,0,essential
STM14_0067,-,putative citrate-sodium symporter,8,297,3,483,3,422,-2.01,,18,1222,13,854,7,663,-0.48,,6,314,3,454,3,404,-2,,0.96,
STM14_0068,-,hypothetical protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0069,citC2,putative citrate lyase synthetase,6,3210,5,2947,4,1670,0.59,,11,2138,10,1887,7,1744,0.05,,6,3104,5,3017,4,1707,0.58,,0.18,
STM14_0070,citD2,citrate lyase subunit gamma,0,0,0,0,0,0,-5.25,,2,50,1,68,1,98,0.64,,0,0,0,0,0,0,-5.25,,0.17,
STM14_0071,citE2,putative citrate lyase beta chain,6,612,4,327,3,194,-1.12,,12,998,11,1464,9,1535,0.24,,7,606,4,352,3,163,-1.13,,0.58,
STM14_0072,citF2,putative citrate lyase alpha chain/citrate-ACP transferase,6,788,3,1010,4,558,-0.3,,10,1002,9,870,4,648,-0.13,,5,764,3,1014,3,588,-0.32,,0.39,
STM14_0073,citX2,putative cytoplasmic protein,1,33,0,0,0,0,-4.24,,3,51,3,46,0,0,-2.2,,1,53,0,0,0,0,-3.84,,0.14,
STM14_0074,citG2,triphosphoribosyl-dephospho-CoA synthase,4,571,3,586,2,593,-0.81,,9,909,8,920,5,700,-0.19,,4,573,3,614,2,638,-0.77,,0.54,
STM14_0075,dapB,dihydrodipicolinate reductase,0,0,0,0,0,0,-3.06,,1,9,1,2,0,0,-0.62,,0,0,0,0,0,0,-3.06,,0.54,
STM14_0076,-,hypothetical protein,0,0,0,0,0,0,-6.1,,2,29,1,13,0,0,-2.03,,0,0,0,0,0,0,-6.1,,0.01,essential
STM14_0077,carA,carbamoyl phosphate synthase small subunit,1,62,1,73,1,17,-2.93,,3,116,1,90,0,0,-2.72,,1,64,1,74,1,25,-2.85,,0.3,
STM14_0078,carB,carbamoyl phosphate synthase large subunit,9,1538,6,1483,4,1622,-0.84,,21,962,13,681,4,442,-1.77,,9,1492,6,1461,5,1568,-0.88,,0.85,
STM14_0079,-,hypothetical protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0080,tnpA_1,transposase,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0081,caiF,DNA-binding transcriptional activator CaiF,1,1230,1,726,1,280,1.72,,5,608,4,393,2,77,0.66,,1,1103,1,705,1,289,1.62,,0.04,
STM14_0082,caiE,carnitine operon protein CaiE,7,668,4,272,4,415,-1.12,,10,796,8,959,6,1270,-0.27,,7,667,4,319,3,436,-1.05,,0.65,
STM14_0083,caiD,carnitinyl-CoA dehydratase,5,214,4,122,2,78,-1.69,,8,719,7,435,4,629,0.2,,5,183,3,121,1,64,-1.86,,0.82,
STM14_0084,caiC,putative crotonobetaine/carnitine-CoA ligase,11,4361,8,4989,7,5236,0.62,,23,2619,21,2660,15,2837,-0.18,,10,4321,8,5000,8,5333,0.61,,0.19,
STM14_0085,caiB,crotonobetainyl-CoA:carnitine CoA-transferase,8,1073,5,1619,5,530,-0.31,,23,1373,21,1269,12,1420,-0.06,,7,1109,5,1639,5,534,-0.27,,0.37,
STM14_0086,-,hypothetical protein,2,60,2,318,2,365,-0.03,,1,99,2,141,1,77,-0.18,,2,75,2,328,2,377,0.17,,0.3,
STM14_0087,caiA,crotonobetainyl-CoA dehydrogenase,7,561,4,280,2,154,-1.36,,16,658,11,601,6,473,-0.73,,7,533,4,269,2,155,-1.42,,0.85,
STM14_0088,caiT,L-carnitine/gamma-butyrobetaine antiporter,12,1559,10,1781,8,1296,-0.73,,25,3127,19,3120,13,3737,0.27,,13,1681,10,1772,10,1194,-0.67,,0.44,
STM14_0089,-,conserved hypothetical protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0090,fixA,putative electron transfer flavoprotein FixA,6,1229,5,1520,4,653,0.48,,9,652,8,834,6,1311,-0.22,,6,1225,4,1521,3,701,0.49,,0.22,
STM14_0091,fixB,putative electron transfer flavoprotein FixB,2,178,1,55,1,39,-2.59,,6,347,3,256,2,166,-1.15,,2,104,1,35,1,17,-3.36,,0.48,
STM14_0092,fixC,putative oxidoreductase FixC,6,865,3,685,2,646,-0.63,,10,1129,10,2002,8,2414,0.25,,6,933,3,773,2,700,-0.5,,0.4,
STM14_0093,fixX,putative ferredoxin,3,4018,2,2673,2,903,3.41,,3,158,3,45,0,0,-2.13,,2,4159,2,2636,2,953,3.44,,0.03,
STM14_0094,yaaU,putative transport protein,8,964,6,1188,6,752,-0.68,,17,1677,13,1178,8,1199,-0.13,,8,1054,5,1271,6,763,-0.57,,0.48,
STM14_0095,-,putative outer membrane lipoprotein,1,34,0,0,0,0,-5.61,,4,159,3,188,1,103,-1.37,,1,39,0,0,0,0,-5.5,,0.04,essential
STM14_0096,-,putative secreted protein,4,2217,3,2711,3,3153,1.45,,11,760,10,1527,6,1923,0.21,,5,2233,3,2744,3,3134,1.46,,0.07,
STM14_0097,-,hypothetical protein,1,52,1,88,1,101,1.11,,1,19,1,63,1,35,-0.02,,1,59,1,99,1,133,1.3,,0.1,
STM14_0098,-,putative secreted protein,1,171,1,37,1,29,-1.53,,4,1619,3,1020,2,681,2.28,,1,179,1,28,1,39,-1.57,,0.4,
STM14_0099,-,putative inner membrane protein,0,0,0,0,0,0,-4.25,,1,6,1,7,0,0,-1.62,,0,0,0,0,0,0,-4.25,,0.15,
STM14_0100,-,putative sulfatase,15,1713,10,1637,9,1419,-0.84,,38,3203,31,4453,17,5266,0.33,,14,1740,10,1679,11,1515,-0.8,,0.47,
STM14_0101,-,hypothetical protein,1,181,1,61,1,36,0,,2,95,1,111,1,157,-0.1,,1,220,1,74,1,33,0.23,,0.28,
STM14_0102,-,hypothetical protein,1,3,0,0,0,0,-7.06,,5,530,4,440,3,432,0.71,,1,3,0,0,0,0,-7.13,,0.02,
STM14_0103,yabF,glutathione-regulated potassium-efflux system ancillary protein KefF,3,179,2,70,0,0,-2.25,,8,133,3,106,2,15,-1.92,,3,205,2,61,0,0,-2.19,,0.61,
STM14_0104,kefC,glutathione-regulated potassium-efflux system protein KefC,1,1,0,0,0,0,-7.88,,9,312,6,299,3,478,-0.27,,1,3,0,0,0,0,-7.32,,0.01,
STM14_0105,-,hypothetical protein,1,5,1,2,0,0,-4.15,,1,11,1,7,0,0,-3.04,,0,0,0,0,0,0,-6.07,,0.03,essential
STM14_0106,folA,dihydrofolate reductase,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0107,apaH,diadenosine tetraphosphatase,3,24,1,16,0,0,-5.38,,5,82,2,9,0,0,-4.62,,2,25,1,14,0,0,-5.43,,0.01,essential
STM14_0108,apaG,ApaG,1,52,0,0,0,0,-5.79,,3,72,2,93,0,0,-3.56,,1,49,0,0,0,0,-5.86,,0.01,essential
STM14_0109,ksgA,dimethyladenosine transferase,4,468,4,279,2,36,-1.55,,12,238,7,239,3,108,-2.05,,4,437,4,319,2,42,-1.53,,0.83,
STM14_0110,pdxA_1,4-hydroxythreonine-4-phosphate dehydrogenase,3,436,3,541,2,259,1.02,,3,164,2,158,1,180,-0.41,,3,429,3,499,2,245,0.96,,0.15,
STM14_0111,surA,peptidyl-prolyl cis-trans isomerase SurA,4,69,1,25,0,0,-4.96,,8,160,3,44,1,10,-3.67,,3,58,1,25,0,0,-5.11,,0.02,essential
STM14_0112,imp,organic solvent tolerance protein,0,0,0,0,0,0,-5.7,,1,68,1,68,1,57,0.39,,0,0,0,0,0,0,-5.7,,0.1,
STM14_0113,-,hypothetical protein,1,124,1,333,1,156,-0.82,,4,764,2,214,1,40,0.37,,1,94,1,321,1,187,-1.04,,0.49,
STM14_0114,djlA,DNA-J like membrane chaperone protein,0,0,0,0,0,0,-8.67,,7,409,6,456,5,450,0.07,,0,0,0,0,0,0,-8.67,,0,
STM14_0115,rluA,23S rRNA/tRNA pseudouridine synthase A,5,1674,2,1788,2,2048,1.07,,8,718,7,383,4,289,-0.61,,5,1716,2,1899,2,2214,1.13,,0.15,
STM14_0116,hepA,ATP-dependent helicase HepA,11,987,5,940,5,484,-1.38,,23,1107,13,366,1,17,-2.17,,11,1069,5,920,5,500,-1.31,,0.88,
STM14_0117,polB,DNA polymerase II,18,2184,13,1941,13,1247,-0.04,,30,2430,26,2771,17,2393,0.3,,18,2330,13,1994,13,1241,0.03,,0.26,
STM14_0118,-,putative secreted protein,5,197,4,390,2,852,-1.54,,19,444,11,456,5,698,-0.8,,7,176,3,347,2,838,-1.69,,0.95,
STM14_0119,-,putative cytoplasmic protein,4,7645,3,6263,1,5251,3.67,,7,531,6,464,4,268,-0.19,,4,7223,3,6066,1,4948,3.6,,0.01,
STM14_0120,araD,L-ribulose-5-phosphate 4-epimerase,6,330,3,285,2,191,-1.49,,15,1466,11,1611,9,1472,0.85,,5,363,3,295,2,190,-1.39,,0.58,
STM14_0121,araA,L-arabinose isomerase,7,640,6,302,2,37,-1.74,,13,812,7,824,4,766,-0.67,,8,578,5,335,1,42,-1.77,,0.98,
STM14_0122,araB,ribulokinase,6,983,1,1036,1,983,-0.18,,15,1085,11,1002,5,924,-0.11,,4,898,1,1106,1,1040,-0.22,,0.36,
STM14_0123,araC,DNA-binding transcriptional regulator AraC,8,4313,7,3321,5,2469,1.51,,15,1485,14,3489,7,4596,0.7,,8,4306,7,3352,5,2405,1.51,,0.05,
STM14_0124,yabI,hypothetical protein,4,1368,4,972,4,531,0.25,,6,954,5,1408,4,1532,0.25,,4,1336,4,935,4,511,0.21,,0.22,
STM14_0125,thiQ,thiamine transporter ATP-binding subunit,2,196,2,130,1,89,-1.93,,4,257,3,190,1,320,-1.35,,2,207,2,116,1,93,-1.92,,0.82,
STM14_0126,thiP,thiamine transporter membrane protein,2,848,1,423,1,252,0.83,,6,205,5,163,1,11,-1.24,,2,922,1,408,1,277,0.9,,0.24,
STM14_0127,tbpA,thiamine transporter substrate binding subunit,6,297,3,454,3,256,-1.24,,8,857,8,558,6,481,-0.15,,5,283,3,465,3,279,-1.26,,0.69,
STM14_0128,-,putative lipoprotein,1,96,1,164,1,67,1.07,,1,529,1,399,1,336,3.15,,1,87,1,137,1,66,0.9,,0.02,
STM14_0129,yabN,transcriptional regulator SgrR,9,1727,6,2056,3,1622,1.04,,13,1379,11,1221,5,1045,0.55,,9,1786,5,2009,3,1578,1.05,,0.09,
STM14_0130,-,hypothetical protein,4,236,3,367,3,714,-0.94,,7,295,7,366,3,213,-0.93,,4,252,3,374,3,688,-0.89,,0.71,
STM14_0131,leuD,isopropylmalate isomerase small subunit,0,0,0,0,0,0,-6.39,,2,38,2,48,0,0,-1.53,,0,0,0,0,0,0,-6.39,,0.01,essential
STM14_0132,leuC,isopropylmalate isomerase large subunit,6,837,3,764,2,735,-0.03,,14,894,10,749,7,624,0,,6,853,3,791,2,777,0.01,,0.3,
STM14_0133,leuB,3-isopropylmalate dehydrogenase,6,545,4,411,3,208,-1.51,,11,954,10,771,5,408,-0.66,,7,583,4,418,4,184,-1.46,,0.88,
STM14_0134,leuA,2-isopropylmalate synthase,12,2393,9,2238,6,1650,0.37,,18,1503,16,1326,9,991,-0.33,,11,2342,9,2300,7,1645,0.36,,0.25,
STM14_0135,leuL,leu operon leader peptide,0,0,0,0,0,0,-7.03,,2,47,2,102,2,300,-0.85,,0,0,0,0,0,0,-7.03,,0.01,
STM14_0136,-,hypothetical protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0137,-,hypothetical protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0138,leuO,leucine transcriptional activator,6,331,3,95,1,1,-2.92,,11,1167,10,1063,7,1267,0.13,,6,415,3,108,1,1,-2.66,,0.77,
STM14_0139,ilvI,acetolactate synthase 3 catalytic subunit,15,1500,11,1127,11,770,-1.14,,28,4957,24,4680,14,4294,0.76,,15,1433,12,1192,9,771,-1.15,,0.5,
STM14_0140,ilvH,acetolactate synthase 3 regulatory subunit,3,587,2,916,2,766,0.97,,6,194,6,202,4,432,-0.72,,3,664,2,931,2,793,1.09,,0.17,
STM14_0141,-,hypothetical protein,1,44,0,0,0,0,-4.07,,2,207,2,238,1,22,0.08,,1,59,0,0,1,3,-3.61,,0.41,
STM14_0142,fruR,DNA-binding transcriptional regulator FruR,6,7003,3,1236,1,313,1.84,,12,375,5,60,0,0,-2.83,,6,7161,3,1287,1,343,1.89,,0.2,
STM14_0143,-,hypothetical protein,1,531,1,306,1,172,1.81,,1,128,1,63,1,90,-0.19,,1,586,1,307,1,153,1.88,,0.06,
STM14_0144,-,hypothetical protein,1,9,0,0,0,0,-3.13,,1,112,1,91,1,22,1.34,,1,14,0,0,0,0,-2.79,,0.94,
STM14_0145,yabB,cell division protein MraZ,1,150,1,71,1,101,-1.04,,2,168,1,43,0,0,-1.82,,1,156,1,61,1,119,-1.05,,0.93,
STM14_0146,mraW,S-adenosyl-methyltransferase MraW,0,0,0,0,0,0,-8.05,,1,19,1,11,0,0,-4.4,,0,0,0,0,0,0,-8.05,,0,essential
STM14_0147,ftsL,cell division protein FtsL,0,0,0,0,0,0,-6.17,,1,58,1,104,1,26,-0.15,,0,0,0,0,0,0,-6.17,,0.04,
STM14_0148,ftsI,division specific transpeptidase,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0149,murE,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0150,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,1,1,0,0,0.32,,0.26,
STM14_0151,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0152,murD,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,0,0,0,0,0,0,-4.74,,1,2,0,0,0,0,-3.94,,1,3,0,0,0,0,-3.54,,0.05,essential
STM14_0153,ftsW,cell division protein FtsW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0154,murG,N-acetylglucosaminyl transferase,1,5,0,0,0,0,-0.05,,0,0,0,0,0,0,-1.63,,1,13,0,0,0,0,0.64,,0.43,
STM14_0155,murC,UDP-N-acetylmuramate--L-alanine ligase,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
STM14_0156,ddl_2,D-alanine--D-alanine ligase,0,0,0,0,0,0,-0.76,,1,2,0,0,0,0,0.05,,0,0,0,0,0,0,-0.76,,0.49,
STM14_0157,ftsQ,cell division protein FtsQ,0,0,0,0,0,0,-1.62,,0,0,0,0,0,0,-1.62,,0,0,0,0,0,0,-1.62,,0.88,
STM14_0158,ftsA,cell division protein FtsA,0,0,0,0,0,0,-1.54,,0,0,0,0,0,0,-1.54,,0,0,0,0,0,0,-1.54,,0.93,
STM14_0159,ftsZ,cell division protein FtsZ,0,0,1,2,0,0,-6.22,,1,44,1,46,1,36,-1.22,,0,0,0,0,0,0,-6.71,,0.01,essential
STM14_0160,lpxC,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,0,0,0,0,0,0,-2.83,,0,0,0,0,0,0,-2.83,,0,0,0,0,0,0,-2.83,,0.3,
STM14_0161,yacA,SecA regulator SecM,0,0,0,0,0,0,-2.31,,0,0,0,0,0,0,-2.31,,0,0,0,0,0,0,-2.31,,0.51,
STM14_0162,secA,preprotein translocase subunit SecA,2,46,1,1,0,0,-3.66,,1,9,1,3,0,0,-4.69,,2,40,1,1,0,0,-3.76,,0.05,
STM14_0163,mutT,nucleoside triphosphate pyrophosphohydrolase,1,2,0,0,0,0,-6.13,,3,75,2,49,0,0,-1.67,,1,6,0,0,0,0,-5.43,,0.03,essential
STM14_0165,-,"putative transcriptional regulator, LysR family",2,232,2,49,2,45,-1.38,,4,223,3,247,2,156,-0.54,,2,226,2,58,2,34,-1.37,,0.81,
STM14_0166,yacG,zinc-binding protein,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.29,
