,,,Replicate_1,,,Replicate_2,,,Replicate_3,
STM14_0044,-,putative arylsulfatase,35,2547,,34,2583,,38,2448
STM14_0045,-,putative arylsulfatase regulator,20,2125,,18,1921,,21,2024
STM14_0046,-,putative cytoplasmic protein,24,1386,,23,1344,,24,1306
STM14_0047,-,putative arylsulfatase,45,2821,,45,2721,,46,2944
STM14_0048,nhaA,pH-dependent sodium/proton antiporter,9,860,,9,982,,10,907
STM14_0049,nhaR,transcriptional activator NhaR,16,1107,,17,1026,,18,1166
STM14_0050,-,putative glycosyl hydrolase,29,1851,,29,2078,,31,1872
STM14_0051,-,putative sodium galactoside symporter,17,1227,,17,1288,,18,1090
STM14_0052,rpsT,30S ribosomal protein S20,1,13,,1,17,,1,13
STM14_0053,yaaY,putative cytoplasmic protein,6,395,,6,406,,6,374
STM14_0054,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,1,2,,0,0,,1,3
STM14_0055,ileS,isoleucyl-tRNA synthetase,0,0,,0,0,,0,0
STM14_0056,lspA,lipoprotein signal peptidase,1,66,,1,89,,1,84
STM14_0057,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0058,slpA,FKBP-type peptidyl-prolyl cis-trans isomerase,1,31,,1,27,,1,27
STM14_0059,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,0,0,,0,0,,0,0
STM14_0060,-,putative nitrite reductase,30,2091,,31,2168,,32,2028
STM14_0061,rihC,ribonucleoside hydrolase RihC,15,576,,15,628,,16,623
STM14_0062,-,putative transcriptional regulator,18,1758,,17,1631,,17,1562
STM14_0063,-,putative transcriptional regulator,40,2525,,40,2909,,41,2810
STM14_0064,-,putative oxalacetate decarboxylase subunit beta,3,237,,4,266,,4,238
STM14_0065,-,pyruvate carboxylase subunit B,1,68,,1,29,,2,60
STM14_0066,-,oxaloacetate decarboxylase subunit gamma,3,100,,2,78,,2,115
STM14_0067,-,putative citrate-sodium symporter,27,1369,,26,1545,,28,1400
STM14_0068,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0069,citC2,putative citrate lyase synthetase,13,1978,,15,1960,,15,1896
STM14_0070,citD2,citrate lyase subunit gamma,2,26,,2,55,,2,31
STM14_0071,citE2,putative citrate lyase beta chain,13,1021,,13,1031,,13,909
STM14_0072,citF2,putative citrate lyase alpha chain/citrate-ACP transferase,15,1114,,14,881,,14,1033
STM14_0073,citX2,putative cytoplasmic protein,6,138,,5,166,,5,165
STM14_0074,citG2,triphosphoribosyl-dephospho-CoA synthase,12,1059,,12,999,,12,978
STM14_0075,dapB,dihydrodipicolinate reductase,1,7,,1,6,,1,10
STM14_0076,-,hypothetical protein,3,92,,2,38,,2,72
STM14_0077,carA,carbamoyl phosphate synthase small subunit,8,397,,9,502,,7,438
STM14_0078,carB,carbamoyl phosphate synthase large subunit,29,2708,,33,2743,,30,2759
STM14_0079,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0080,tnpA_1,transposase,0,0,,0,0,,0,0
STM14_0081,caiF,DNA-binding transcriptional activator CaiF,6,299,,6,241,,6,281
STM14_0082,caiE,carnitine operon protein CaiE,12,1142,,12,959,,12,1085
STM14_0083,caiD,carnitinyl-CoA dehydratase,11,514,,9,543,,10,535
STM14_0084,caiC,putative crotonobetaine/carnitine-CoA ligase,33,3068,,35,2947,,34,3026
STM14_0085,caiB,crotonobetainyl-CoA:carnitine CoA-transferase,26,1301,,27,1397,,29,1508
STM14_0086,-,hypothetical protein,3,112,,2,106,,3,147
STM14_0087,caiA,crotonobetainyl-CoA dehydrogenase,19,1062,,19,979,,18,1043
STM14_0088,caiT,L-carnitine/gamma-butyrobetaine antiporter,31,2773,,30,2552,,30,2577
STM14_0089,-,conserved hypothetical protein,0,0,,0,0,,0,0
STM14_0090,fixA,putative electron transfer flavoprotein FixA,10,776,,11,921,,11,937
STM14_0091,fixB,putative electron transfer flavoprotein FixB,5,681,,5,615,,5,665
STM14_0092,fixC,putative oxidoreductase FixC,13,1355,,13,1196,,13,1087
STM14_0093,fixX,putative ferredoxin,4,257,,3,312,,3,291
STM14_0094,yaaU,putative transport protein,22,1590,,21,1698,,22,1513
STM14_0095,-,putative outer membrane lipoprotein,6,453,,6,347,,6,443
STM14_0096,-,putative secreted protein,11,902,,11,915,,11,857
STM14_0097,-,hypothetical protein,2,23,,2,47,,3,19
STM14_0098,-,putative secreted protein,4,263,,4,282,,5,252
STM14_0099,-,putative inner membrane protein,2,16,,2,18,,2,20
STM14_0100,-,putative sulfatase,47,3016,,46,2960,,48,2903
STM14_0101,-,hypothetical protein,3,121,,3,140,,2,75
STM14_0102,-,hypothetical protein,7,305,,6,307,,7,287
STM14_0103,yabF,glutathione-regulated potassium-efflux system ancillary protein KefF,8,361,,8,442,,9,346
STM14_0104,kefC,glutathione-regulated potassium-efflux system protein KefC,10,410,,10,361,,10,393
STM14_0105,-,hypothetical protein,2,45,,2,59,,2,95
STM14_0106,folA,dihydrofolate reductase,0,0,,0,0,,0,0
STM14_0107,apaH,diadenosine tetraphosphatase,16,653,,17,678,,15,718
STM14_0108,apaG,ApaG,9,591,,9,623,,9,594
STM14_0109,ksgA,dimethyladenosine transferase,17,939,,18,879,,18,921
STM14_0110,pdxA_1,4-hydroxythreonine-4-phosphate dehydrogenase,6,215,,6,199,,6,238
STM14_0111,surA,peptidyl-prolyl cis-trans isomerase SurA,19,1188,,19,1104,,19,899
STM14_0112,imp,organic solvent tolerance protein,1,43,,2,62,,3,48
STM14_0113,-,hypothetical protein,4,292,,4,303,,4,307
STM14_0114,djlA,DNA-J like membrane chaperone protein,9,389,,10,390,,11,438
STM14_0115,rluA,23S rRNA/tRNA pseudouridine synthase A,14,796,,14,909,,13,776
STM14_0116,hepA,ATP-dependent helicase HepA,34,2249,,33,2293,,35,2525
STM14_0117,polB,DNA polymerase II,36,2042,,34,2053,,36,2056
STM14_0118,-,putative secreted protein,22,818,,21,808,,24,818
STM14_0119,-,putative cytoplasmic protein,11,594,,11,517,,12,519
STM14_0120,araD,L-ribulose-5-phosphate 4-epimerase,15,820,,17,798,,16,900
STM14_0121,araA,L-arabinose isomerase,19,1345,,18,1194,,18,1325
STM14_0122,araB,ribulokinase,18,1140,,18,1142,,19,1103
STM14_0123,araC,DNA-binding transcriptional regulator AraC,18,1321,,18,1383,,18,1262
STM14_0124,yabI,hypothetical protein,7,1057,,7,918,,7,859
STM14_0125,thiQ,thiamine transporter ATP-binding subunit,5,737,,5,573,,6,526
STM14_0126,thiP,thiamine transporter membrane protein,9,364,,10,297,,10,363
STM14_0127,tbpA,thiamine transporter substrate binding subunit,10,841,,9,755,,10,764
STM14_0128,-,putative lipoprotein,2,58,,2,48,,2,48
STM14_0129,yabN,transcriptional regulator SgrR,26,815,,24,1006,,26,825
STM14_0130,-,hypothetical protein,9,519,,9,579,,10,644
STM14_0131,leuD,isopropylmalate isomerase small subunit,2,91,,2,72,,2,85
STM14_0132,leuC,isopropylmalate isomerase large subunit,16,742,,15,871,,15,846
STM14_0133,leuB,3-isopropylmalate dehydrogenase,15,1344,,17,1197,,17,1347
STM14_0134,leuA,2-isopropylmalate synthase,25,1737,,25,1804,,25,1703
STM14_0135,leuL,leu operon leader peptide,3,106,,3,147,,3,136
STM14_0136,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0137,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0138,leuO,leucine transcriptional activator,14,946,,15,1019,,15,1176
STM14_0139,ilvI,acetolactate synthase 3 catalytic subunit,35,2785,,38,2936,,37,2786
STM14_0140,ilvH,acetolactate synthase 3 regulatory subunit,6,365,,6,340,,7,347
STM14_0141,-,hypothetical protein,2,160,,2,194,,2,138
STM14_0142,fruR,DNA-binding transcriptional regulator FruR,14,811,,14,959,,16,789
STM14_0143,-,hypothetical protein,2,86,,2,138,,4,118
STM14_0144,-,hypothetical protein,1,31,,1,42,,1,31
STM14_0145,yabB,cell division protein MraZ,3,206,,3,254,,3,251
STM14_0146,mraW,S-adenosyl-methyltransferase MraW,4,265,,4,290,,4,238
STM14_0147,ftsL,cell division protein FtsL,2,56,,2,84,,2,72
STM14_0148,ftsI,division specific transpeptidase,0,0,,0,0,,0,0
STM14_0149,murE,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",0,0,,0,0,,0,0
STM14_0150,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,0,0,,0,0,,0,0
STM14_0151,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,0,0,,0,0,,0,0
STM14_0152,murD,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,1,33,,1,27,,1,17
STM14_0153,ftsW,cell division protein FtsW,0,0,,0,0,,0,0
STM14_0154,murG,N-acetylglucosaminyl transferase,1,6,,0,0,,0,0
STM14_0155,murC,UDP-N-acetylmuramate--L-alanine ligase,0,0,,0,0,,0,0
STM14_0156,ddl_2,D-alanine--D-alanine ligase,0,0,,0,0,,1,2
STM14_0157,ftsQ,cell division protein FtsQ,1,3,,0,0,,1,4
STM14_0158,ftsA,cell division protein FtsA,1,3,,1,3,,0,0
STM14_0159,ftsZ,cell division protein FtsZ,1,126,,1,132,,1,54
STM14_0160,lpxC,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,1,8,,1,5,,1,6
STM14_0161,yacA,SecA regulator SecM,1,4,,1,5,,1,3
STM14_0162,secA,preprotein translocase subunit SecA,2,162,,3,140,,3,170
STM14_0163,mutT,nucleoside triphosphate pyrophosphohydrolase,5,157,,5,138,,3,115
STM14_0165,-,"putative transcriptional regulator, LysR family",6,355,,4,309,,5,308
STM14_0166,yacG,zinc-binding protein,0,0,,0,0,,0,0
STM14_0167,yacF,hypothetical protein,6,488,,6,521,,7,586
STM14_0168,coaE,dephospho-CoA kinase,4,65,,4,75,,7,96
STM14_0169,guaC,guanosine 5'-monophosphate oxidoreductase,16,1052,,13,965,,14,998
STM14_0170,hofC,type IV pilin biogenesis protein,13,588,,13,608,,15,584
STM14_0171,hofB,hypothetical protein,17,1218,,18,1410,,18,1238
STM14_0172,ppdD,putative major pilin subunit,4,489,,5,465,,6,539
STM14_0173,-,hypothetical protein,4,44,,4,82,,5,38
STM14_0174,nadC,quinolinate phosphoribosyltransferase,9,492,,7,604,,10,446
STM14_0175,ampD,N-acetyl-anhydromuranmyl-L-alanine amidase,11,697,,9,787,,11,672
STM14_0176,ampE,regulatory protein AmpE,14,982,,13,1208,,15,998
STM14_0177,-,putative cytoplasmic protein,19,1056,,17,955,,20,1027
STM14_0178,-,Na+/galactoside symporter,24,1864,,23,1921,,22,1717
STM14_0179,-,hypothetical protein,2,84,,3,99,,3,83
STM14_0180,aroP,aromatic amino acid transporter,23,1744,,22,1970,,24,1733
STM14_0181,-,hypothetical protein,3,161,,3,162,,2,71
STM14_0182,pdhR,transcriptional regulator PdhR,4,85,,5,97,,4,90
STM14_0183,aceE,pyruvate dehydrogenase subunit E1,23,325,,24,335,,30,349
STM14_0184,aceF,dihydrolipoamide acetyltransferase,10,154,,12,174,,9,149
STM14_0185,lpdA,dihydrolipoamide dehydrogenase,2,24,,1,24,,2,26
STM14_0186,-,hypothetical protein,1,153,,1,123,,1,147
STM14_0187,-,putative outer membrane protein,3,182,,3,166,,3,148
STM14_0188,-,putative periplasmic protein,11,644,,11,713,,12,648
STM14_0190,acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,18,732,,19,711,,21,792
STM14_0191,-,putative restriction endonuclease,3,132,,1,82,,2,94
STM14_0192,yacL,hypothetical protein,4,46,,3,33,,4,61
STM14_0193,kdgT,2-keto-3-deoxygluconate permease,10,493,,10,562,,11,630
STM14_0194,-,putative inner membrane protein,13,701,,13,714,,14,719
STM14_0195,pdxA_2,4-hydroxythreonine-4-phosphate dehydrogenase 2,20,1498,,18,1469,,20,1296
STM14_0196,-,putative transcriptional regulator,7,297,,6,222,,7,288
STM14_0197,speD,S-adenosylmethionine decarboxylase,18,1130,,18,1170,,17,1054
STM14_0198,speE,spermidine synthase,17,862,,17,903,,19,878
STM14_0199,yacC,putative periplasmic protein,8,809,,8,733,,8,760
STM14_0200,cueO,multicopper oxidase,24,1810,,22,1801,,23,1635
STM14_0201,gcd,glucose dehydrogenase,39,2557,,36,2522,,40,2596
STM14_0202,hpt,hypoxanthine-guanine phosphoribosyltransferase,12,668,,13,891,,13,801
STM14_0203,yadF,carbonic anhydrase,3,108,,1,88,,2,77
STM14_0204,yadG,putative ABC-type multidrug transport system ATPase component,16,787,,14,628,,16,762
STM14_0205,yadH,putative transport protein,17,651,,17,641,,18,675
STM14_0206,stiH,putative fimbrial protein precurosr,25,1357,,23,1324,,23,1209
STM14_0207,stiC,putativie fimbrial usher,45,2612,,45,2735,,48,2706
STM14_0208,stiB,putative fimbrial chaparone,7,964,,7,1074,,7,1003
STM14_0209,stiA,putative fimbrial subunit,7,405,,8,427,,8,416
STM14_0210,-,hypothetical protein,1,6,,1,8,,1,16
STM14_0211,yadI,putative PTS enzyme,7,314,,7,321,,7,284
STM14_0212,yadE,putative xylanase/chitin deacetylase,25,1253,,23,1202,,25,1315
STM14_0213,panD,aspartate alpha-decarboxylase,4,350,,4,356,,4,328
STM14_0214,panC,pantoate--beta-alanine ligase,6,493,,6,430,,6,435
STM14_0215,-,hypothetical protein,3,189,,3,158,,3,156
STM14_0216,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,7,836,,7,829,,7,722
STM14_0217,folK,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,2,4,,1,6,,1,2
STM14_0218,pcnB,poly(A) polymerase I,8,470,,9,413,,9,510
STM14_0219,yadB,glutamyl-Q tRNA(Asp) synthetase,15,745,,15,628,,16,695
STM14_0220,dksA,DnaK transcriptional regulator DksA,4,225,,4,290,,4,240
STM14_0221,sfsA,sugar fermentation stimulation protein A,13,830,,13,755,,14,825
STM14_0222,ligT,2'-5' RNA ligase,6,520,,6,386,,6,536
STM14_0223,hrpB,ATP-dependent RNA helicase HrpB,30,1860,,28,1925,,30,1735
STM14_0224,-,hypothetical protein,3,532,,3,535,,3,598
STM14_0225,-,hypothetical protein,1,32,,1,22,,2,38
STM14_0226,mrcB,penicillin-binding protein 1b,42,2777,,42,2866,,43,2654
STM14_0227,-,hypothetical protein,2,31,,2,29,,2,67
STM14_0228,fhuA,ferrichrome outer membrane transporter,46,2995,,44,3088,,44,2757
STM14_0229,fhuC,iron-hydroxamate transporter ATP-binding subunit,7,375,,8,431,,8,319
STM14_0230,fhuD,iron-hydroxamate transporter substrate-binding subunit,7,439,,7,504,,7,443
STM14_0231,fhuB,iron-hydroxamate transporter permease subunit,19,1583,,19,1690,,21,1616
STM14_0232,-,hypothetical protein,3,153,,3,183,,3,139
STM14_0233,-,hypothetical protein,2,17,,1,34,,2,45
STM14_0234,stfA,putative fimbrial subunit,7,305,,7,373,,7,314
STM14_0235,stfC,putative fimbrial outer membrane usher,51,4168,,51,4237,,51,4184
STM14_0236,stfD,putative periplasmic fimbrial chaperone,11,571,,11,632,,12,480
STM14_0237,stfE,putative minor fimbrial subunit,7,116,,7,138,,7,166
STM14_0238,stfF,putative minor fimbrial subunit,3,67,,4,85,,4,104
STM14_0239,stfG,putative minor fimbrial subunit,5,140,,5,117,,5,114
STM14_0240,-,putative outer membrane protein,25,2032,,26,2118,,26,1919
STM14_0241,hemL,glutamate-1-semialdehyde aminotransferase,12,202,,12,166,,12,195
STM14_0242,-,hypothetical protein,5,220,,5,245,,5,240
STM14_0243,yadQ,chloride channel protein,22,937,,20,753,,22,916
STM14_0244,yadR,iron-sulfur cluster insertion protein ErpA,0,0,,0,0,,0,0
STM14_0245,yadS,hypothetical protein,10,484,,10,441,,10,473
STM14_0246,btuF,vitamin B12-transporter protein BtuF,16,453,,14,430,,14,496
STM14_0247,pfs,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,0,0,,1,6,,1,2
STM14_0248,dgt,deoxyguanosinetriphosphate triphosphohydrolase,36,1832,,36,2019,,40,1754
STM14_0249,htrA,serine endoprotease,19,1195,,19,1105,,19,1134
STM14_0250,cdaR,carbohydrate diacid transcriptional activator CdaR,13,693,,12,793,,12,715
STM14_0251,yaeH,hypothetical protein,9,609,,8,674,,9,729
STM14_0253,dapD,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase",0,0,,0,0,,0,0
STM14_0254,glnD,PII uridylyl-transferase,27,501,,27,509,,33,542
STM14_0255,map,methionine aminopeptidase,1,5,,0,0,,1,4
STM14_0256,-,30S ribosomal protein S2,0,0,,0,0,,0,0
STM14_0257,rpsB,30S ribosomal protein S2,0,0,,0,0,,0,0
STM14_0258,tsf,elongation factor Ts,1,31,,1,48,,1,42
STM14_0259,pyrH,uridylate kinase,0,0,,1,2,,0,0
STM14_0260,frr,ribosome recycling factor,1,10,,0,0,,0,0
STM14_0261,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,0,0,,0,0,,0,0
STM14_0262,-,hypothetical protein,1,10,,1,10,,1,7
STM14_0263,uppS,undecaprenyl pyrophosphate synthase,0,0,,0,0,,0,0
STM14_0264,cdsA,CDP-diglyceride synthase,0,0,,1,3,,0,0
STM14_0265,yaeL,zinc metallopeptidase,5,161,,5,202,,5,130
STM14_0266,yaeT,outer membrane protein assembly factor YaeT,0,0,,0,0,,0,0
STM14_0267,hlpA,periplasmic chaperone,0,0,,0,0,,0,0
STM14_0268,lpxD,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,0,0,,0,0,,1,2
STM14_0269,fabZ,(3R)-hydroxymyristoyl-ACP dehydratase,0,0,,0,0,,0,0
STM14_0270,lpxA,UDP-N-acetylglucosamine acyltransferase,0,0,,0,0,,0,0
STM14_0271,lpxB,lipid-A-disaccharide synthase,1,77,,1,46,,1,63
STM14_0272,rnhB,ribonuclease HII,3,101,,3,114,,3,85
STM14_0273,dnaE,DNA polymerase III subunit alpha,0,0,,0,0,,0,0
STM14_0274,accA,acetyl-CoA carboxylase carboxyltransferase subunit alpha,0,0,,0,0,,0,0
STM14_0275,-,putative endochitinase,36,1902,,34,1711,,37,1785
STM14_0276,ldcC,lysine decarboxylase 2,43,2464,,44,2606,,46,2493
STM14_0277,yaeR,hypothetical protein,4,108,,4,153,,4,140
STM14_0278,tilS,tRNA(Ile)-lysidine synthetase,0,0,,1,4,,2,4
STM14_0279,rof,Rho-binding antiterminator,5,419,,5,404,,5,395
STM14_0280,yaeP,hypothetical protein,7,301,,6,325,,7,329
STM14_0281,yaeQ,putative cytoplasmic protein,8,239,,7,270,,8,179
STM14_0282,yaeJ,hypothetical protein,7,513,,8,551,,8,505
STM14_0284,proS,prolyl-tRNA synthetase,0,0,,1,5,,1,7
STM14_0285,yaeB,putative regulatory protein,6,565,,6,567,,8,576
STM14_0286,rcsF,outer membrane lipoprotein,4,148,,4,204,,5,129
STM14_0287,metQ,DL-methionine transporter substrate-binding subunit,10,730,,11,637,,11,815
STM14_0288,yaeE,DL-methionine transporter permease subunit,11,664,,10,678,,11,659
STM14_0289,metN,DL-methionine transporter ATP-binding subunit,14,915,,13,944,,13,1023
STM14_0290,yaeD,"D,D-heptose 1,7-bisphosphate phosphatase",11,449,,11,493,,12,455
STM14_0291,-,hypothetical protein,2,128,,2,81,,2,146
STM14_0292,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0296,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0300,dkgB,"2,5-diketo-D-gluconate reductase B",13,684,,13,694,,13,720
STM14_0301,yafC,putative transcriptional regulator,12,755,,12,680,,14,781
STM14_0302,-,putative drug efflux protein,14,769,,12,789,,14,802
STM14_0303,yafD,hypothetical protein,17,909,,18,932,,18,897
STM14_0304,yafE,putative methyltransferase,14,731,,13,616,,14,680
STM14_0305,dniR,membrane-bound lytic murein transglycosylase D,36,1731,,39,1905,,39,1874
STM14_0306,gloB,hydroxyacylglutathione hydrolase,10,427,,9,334,,10,361
STM14_0307,yafS,putative SAM-dependent methyltransferase,19,829,,17,797,,19,778
STM14_0308,rnhA,ribonuclease H,7,518,,6,505,,6,386
STM14_0309,dnaQ,DNA polymerase III subunit epsilon,4,108,,6,169,,6,131
STM14_0310,-,hypothetical protein,1,42,,1,51,,1,27
STM14_0312,-,hypothetical protein,1,72,,1,99,,1,78
STM14_0313,-,putative cytoplasmic protein,10,668,,11,624,,12,716
STM14_0314,-,putative cytoplasmic protein,6,488,,6,591,,6,538
STM14_0315,-,putative cytoplasmic protein,19,2262,,18,2380,,19,2303
STM14_0316,-,putative cytoplasmic protein,8,537,,9,542,,8,568
STM14_0317,-,putative cytoplasmic protein,9,716,,9,665,,9,597
STM14_0318,-,putative cytoplasmic protein,15,1353,,15,1329,,14,1204
STM14_0319,-,putative chaperone ATPase,23,1485,,22,1483,,23,1636
STM14_0320,-,putative cytoplasmic protein,6,219,,6,212,,7,235
STM14_0321,-,putative cytoplasmic protein,21,1602,,22,1486,,22,1500
STM14_0322,-,invasol SirA,1,63,,2,57,,2,68
STM14_0323,-,putative cytoplasmic protein,6,412,,6,356,,6,345
STM14_0324,-,putative cytoplasmic protein,3,117,,3,53,,3,116
STM14_0325,-,putative cytoplasmic protein,9,301,,9,326,,8,300
STM14_0326,-,putative periplasmic protein,4,200,,4,229,,4,259
STM14_0327,-,putative cytoplasmic protein,2,225,,2,264,,2,231
STM14_0328,-,putative outer membrane lipoprotein,6,197,,5,244,,6,167
STM14_0329,-,putative cytoplasmic protein,16,1143,,16,1200,,17,1156
STM14_0330,-,hypothetical protein,19,2828,,20,3499,,20,2521
STM14_0331,-,putative inner membrane protein,20,2376,,19,2335,,20,2335
STM14_0332,-,putative Shiga-like toxin A subunit,1,79,,1,94,,1,66
STM14_0333,-,putative inner membrane protein,29,2590,,27,2459,,29,2526
STM14_0334,-,putative cytoplasmic protein,6,211,,6,260,,7,263
STM14_0335,-,putative periplasmic protein,11,1286,,11,1110,,11,1169
STM14_0336,-,putative cytoplasmic protein,11,702,,10,656,,11,652
STM14_0337,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0338,-,putative cytoplasmic protein,26,1760,,28,1960,,26,1844
STM14_0339,-,putative cytoplasmic protein,9,411,,9,368,,8,449
STM14_0340,-,putative RHS-like protein,55,4558,,54,4709,,54,4703
STM14_0341,-,putative RHS-like protein,11,543,,11,563,,13,602
STM14_0342,-,putative cytoplasmic protein,7,386,,7,422,,7,420
STM14_0343,-,hypothetical protein,3,101,,1,109,,3,96
STM14_0344,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0345,-,putative cytoplasmic protein,0,0,,0,0,,0,0
STM14_0346,-,hypothetical protein,5,226,,4,193,,4,205
STM14_0348,-,putative cytoplasmic protein,0,0,,0,0,,0,0
STM14_0350,-,putative transposase,5,256,,5,267,,5,310
STM14_0352,safA,putative outer membrane protein,5,142,,4,123,,5,143
STM14_0353,safB,putative fimbrial assembly chaparone,16,1489,,16,1553,,16,1482
STM14_0354,safC,putative fimbrial usher,42,3589,,41,3684,,42,3488
STM14_0355,safD,putative fimbrial subunit,11,875,,11,820,,11,762
STM14_0356,ybeJ,putative xylanase/chitin deacetylase,12,517,,13,399,,15,476
STM14_0357,-,hypothetical protein,3,244,,3,317,,3,308
STM14_0358,sinR,transcriptional regulator,11,613,,10,463,,12,543
STM14_0359,-,putative cytoplasmic protein,4,294,,5,211,,5,202
STM14_0360,-,SapA-like protein,19,1601,,19,1735,,20,1653
STM14_0361,-,hypothetical protein,5,167,,4,172,,3,181
STM14_0362,-,VirG-like protein,7,336,,6,296,,7,328
STM14_0363,-,hypothetical protein,1,25,,1,31,,1,51
STM14_0364,yafV,hypothetical protein,15,892,,14,846,,15,967
STM14_0365,fadE,acyl-CoA dehydrogenase,36,1997,,40,2006,,39,2026
STM14_0366,gmhA,phosphoheptose isomerase,6,57,,6,58,,7,50
STM14_0367,yafJ,putative glutamine amidotransferase,13,337,,13,541,,11,448
STM14_0368,yafK,putative periplasmic protein,17,948,,16,923,,16,893
STM14_0369,dinP,DNA polymerase IV,14,637,,14,742,,14,721
STM14_0371,prfH,peptide chain release factor-like protein,6,470,,6,501,,6,481
STM14_0372,pepD,aminoacyl-histidine dipeptidase,21,1798,,22,1713,,24,1780
STM14_0373,gpt,xanthine-guanine phosphoribosyltransferase,2,188,,2,136,,2,230
STM14_0374,frsA,fermentation/respiration switch protein,13,471,,13,587,,13,625
STM14_0375,crl,DNA-binding transcriptional regulator Crl,2,32,,2,38,,2,28
STM14_0376,phoE,outer membrane phosphoporin protein E,25,1436,,27,1485,,29,1431
